"Concentrations moyennes de dioxyde d’azote à l’échelle régionale, Canada, 2009 à 2023",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Canada atlantique,Canada atlantique,Canada atlantique,Sud du Québec ,Sud du Québec ,Sud du Québec ,Sud de l'Ontario,Sud de l'Ontario ,Sud de l'Ontario,Prairies et nord de l'Ontario ,Prairies et nord de l'Ontario ,Prairies et nord de l'Ontario,Colombie-Britannique ,Colombie-Britannique ,Colombie-Britannique 
Année,Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard)
2009,3.6,1,5.1,10.9,4.4,18.4,10,5.6,14.9,7.8,2.8,13.4,11.2,6.6,15.5
2010,3.5,0.9,6.9,10,6.6,12.7,9.4,5,15.6,7.7,2.8,12.2,9.5,6,13.4
2011,3.3,1.7,5.9,11.3,7.4,17.5,9.2,4.3,15.2,6.9,2.8,11.6,9.1,5.1,13.3
2012,2.9,1.5,6,9.4,6.1,15.9,8.2,3.9,13.4,6.5,2.7,10.5,9.4,5.1,14
2013,3.6,1.5,6,9.3,6.3,15.6,8.2,4.4,12.9,6.8,2.4,11.3,9.1,5.3,14.1
2014,3.2,1.5,5.2,8.4,2.7,15.2,8.4,3.9,14,6.8,2.5,11,9.1,4.9,14
2015,3,1.4,5,7.8,5.3,10.4,8.2,4.4,12.9,6,2.1,9.7,9.4,5.5,13.8
2016,2.4,1.2,3.7,7.9,3.1,11.6,7.6,4.1,12,6,2.6,9.3,8.5,5.4,12.2
2017,2.8,0.9,6.9,7.9,2.7,11.6,7.3,4.3,11.5,5.9,2.2,9.8,9.2,4.9,14.1
2018,2.5,1.2,3.9,8.1,3.1,11.4,7.1,3.7,11,6.7,2.6,10.9,8.7,4.3,12.5
2019,2.6,1.2,3.6,7.5,3.1,11.2,7.2,3.5,11.3,6.4,2.2,10.4,8.6,4.5,12.6
2020,2.4,1.1,3.3,6.7,3.1,9.8,6,3.5,9.5,5.7,2.2,9.3,7.4,3.9,10.6
2021,2.2,1,3.5,6.5,2.8,9.7,6.3,3.3,10,5.8,2.1,9,7.7,4.2,10.8
2022,2.4,1,4.1,6.9,4.4,10.6,6.5,3.5,10.2,5.8,2.4,10.1,7.8,4.1,11.7
2023,2.3,1,4.1,6.3,2.3,9.2,5.9,3.1,9.9,6.4,2.5,11.1,7.3,4,11.1
Norme de 2020,17,s/o,s/o,17,s/o,s/o,17,s/o,s/o,17,s/o,s/o,17,s/o,s/o
Tendance annuelle,-0.1,s/o,s/o,-0.31,s/o,s/o,-0.27,s/o,s/o,-0.11,s/o,s/o,-0.18,s/o,s/o
,,,,,,,,,,,,,,,
"Remarque : s/o = sans objet. L’indicateur sur la concentration moyenne à l’échelle régionale de NO2 est basé sur la moyenne annuelle des concentrations horaires relevées à 12 stations de surveillance dans la région du Canada atlantique, 16 stations de surveillance dans la région du sud du Québec, 32 stations de surveillance dans la région du sud de l’Ontario, 34 stations de surveillance dans la région des Prairies et du nord de l’Ontario et 32 stations de surveillance en Colombie-Britannique. Il n’y avait pas assez de stations pour rapporter des résultats pour la région des territoires du Nord. La comparaison avec la norme canadienne de qualité de l’air ambiant est fournie à titre d’exemple seulement. Une tendance statistiquement significative est signalée lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 %. Pour plus de renseignements, consultez la section sur les Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,,,,,,,,,,,,,
Source: Environnement et Changement climatique Canada (2025) Programme de surveillance nationale de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert. (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b),,,,,,,,,,,,,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,,,,,,,,,,,,,
