"Concentrations moyennes de dioxyde de soufre à l’échelle régionale, Canada, 2009 à 2023",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Canada atlantique,Canada atlantique,Canada atlantique,Sud du Québec,Sud du Québec,Sud du Québec,Sud de l'Ontario,Sud de l'Ontario,Sud de l'Ontario,Prairies et nord de l'Ontario,Prairies et nord de l'Ontario,Prairies et nord de l'Ontario,Colombie-Britannique,Colombie-Britannique,Colombie-Britannique
Année,Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard)
2009,1.1,0.5,2,1.9,0.2,4.5,2.3,0.6,4.5,0.7,0.2,1.4,1.9,0.5,3.2
2010,0.9,0.3,1.5,1.7,0.2,3.5,2.1,0.2,3.9,0.6,0.1,1.2,1.7,0.3,2.7
2011,0.9,0.4,1.4,1.4,0.1,4.7,2.9,0.4,5.3,0.6,0.2,1.1,1.4,0.3,2.9
2012,1,0.5,2.4,1.8,0.2,6.1,2.2,0.3,4.8,0.5,0.2,1.1,1.4,0.2,2.4
2013,1,0.3,1.8,1.6,0.2,5.4,2.2,0.4,4.9,0.6,0.2,1.3,1.3,0.2,2.4
2014,0.9,0.1,2.4,1.5,0.4,6.1,2.2,0.4,5.1,0.6,0.1,1.2,1.1,0.2,2.3
2015,0.7,0.2,2,1.3,0.3,5.4,1.9,0.3,4.3,0.5,0.1,1,1,0.2,1.1
2016,0.7,0.1,1.7,1.3,0.2,5.8,1.2,0,3.2,0.5,0,1,1,0.2,1.9
2017,0.6,0.1,1.1,1.3,0.1,6.3,1.3,0.2,3.6,0.5,0.1,1,1,0.2,1.1
2018,0.8,0.3,2,1.1,0.1,5.3,1.4,0.2,5,0.5,0.1,0.9,0.7,0.2,1.4
2019,0.8,0.4,1.8,1.1,0.1,5.5,1.4,0.2,4.8,0.5,0.1,0.9,0.8,0.2,1.2
2020,0.7,0.3,2.9,1,0.1,5.4,1.2,0.1,3.7,0.6,0.1,1,0.7,0.1,1
2021,0.7,0.2,3.2,1,0.1,4.9,1.3,0.2,3.8,0.5,0.1,1,0.6,0.1,1.6
2022,0.7,0.1,2.5,1.3,0.1,6,1.4,0.3,3.7,0.5,0.1,1,0.6,0.1,1.4
2023,0.5,0.2,1.5,1.4,0.1,5.7,1.3,0.4,3.4,0.5,0.1,1.1,0.6,0.1,1.3
Norme 2020,5,s/o,s/o,5,s/o,s/o,5,s/o,s/o,5,s/o,s/o,5,s/o,s/o
Tendance annuelle,-0.03,s/o,s/o,-0.06,s/o,s/o,-0.09,s/o,s/o,-0.01,s/o,s/o,-0.09,s/o,s/o
,,,,,,,,,,,,,,,
"Remarque : s/o = sans objet. L’indicateur sur la concentration moyenne à l’échelle régionale de SO2 est basé sur la moyenne annuelle des concentrations horaires relevées à 10 stations de surveillance dans la région du Canada atlantique, 9 stations dans la région du sud du Québec, 10 stations dans la région du sud de l’Ontario, 31 stations dans la région des Prairies et du nord de l’Ontario, 26 stations en Colombie-Britannique. Il n’y avait pas assez de stations pour rapporter des résultats pour la région des territoires du Nord. La comparaison avec la norme canadienne de qualité de l’air ambiant est fournie à titre d’exemple seulement. Une tendance statistiquement significative est signalée lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 %. Pour plus de renseignements, consultez la section sur les Méthodes. (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,,,,,,,,,,,,,
Source: Environnement et Changement climatique Canada (2025) Programme de surveillance national de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert. (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b),,,,,,,,,,,,,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,,,,,,,,,,,,,
