"Concentrations moyennes de particules fines à l’échelle régionale, Canada, 2009 à 2023 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Canada atlantique ,Canada atlantique ,Canada atlantique ,Sud du Québec ,Sud du Québec ,Sud du Québec,Sud de l'Ontario ,Sud de l'Ontario,Sud de l'Ontario ,Prairies et nord de l'Ontario ,Prairies et nord de l'Ontario ,Prairies et nord de l'Ontario ,Colombie-Britannique ,Colombie-Britannique,Colombie-Britannique ,Territoires du Nord,Territoires du Nord,Territoires du Nord
Année,Concentration moyenne (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube),Concentration moyenne (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube)
2009,6,3.7,7.9,7.8,4,12.4,5.5,3.8,6.7,4.7,3.3,6.8,5.5,3.9,6.7,4.9,4.3,5.5
2010,5.6,3.9,7.2,7.9,4.7,11.4,5.9,4,7.7,7.5,4.4,14.5,5.8,3.7,9.2,3.4,1.9,4.9
2011,6.1,5,8.5,7.7,4,10.5,6,4.2,7.7,6.6,3.6,10.4,5,3.3,8,4.4,2.5,6.2
2012,5.6,3.9,6.9,7.7,3.9,10,6,4.1,7.4,6.4,4.1,9.4,5.2,3.3,8,5.1,3.5,6.2
2013,6.1,4.5,7.3,7.5,4.6,10.1,7.8,5.6,9.4,6.4,4,8.2,6.6,3.9,8.9,5.4,3.5,6.4
2014,6.2,5.2,8.1,7.2,4.9,9.5,8.1,5.8,9.9,6.9,4.6,9,6.6,4.6,9,9.8,3.7,15.8
2015,6,5.5,7.4,7.1,5,9.1,7.8,5.7,9.4,7.2,4.9,9.4,7.2,5,9.3,6.2,4.6,8.5
2016,5.6,4.5,6.7,6.3,4.4,8.4,6.5,4.8,8.1,6.8,4.4,9.5,5.5,3.8,7.8,4.6,2.6,7.8
2017,5.6,4.5,6.8,6.5,4.3,8.5,6.4,4.6,7.8,6.8,5.1,8.8,8.3,5.8,11.8,4,3.2,4.5
2018,5.1,4.3,5.8,6.5,4.3,8.8,6.8,5.4,8.2,8.8,6.5,11.6,8.8,5.4,13.8,3.5,2.9,4.3
2019,5,4.4,5.5,6.2,4.5,7.7,6.5,4.5,7.8,6.2,4.6,7.8,6.3,4.5,8.6,4.4,4.3,4.4
2020,5.1,4,5.7,6.3,4.5,7.6,6.2,4.5,7.4,5.2,4,6.7,6.9,5.7,8.2,4.7,4,5.6
2021,5.1,4.2,5.8,6.8,5.1,8.5,6.9,5.4,8.3,7.3,5.4,9.1,6.6,4.4,11.5,5.2,4.5,6.6
2022,5.1,3.8,5.7,6.3,4.5,7.8,6.4,4.7,7.7,6.3,5,7.8,6.7,5,8.8,5.6,5.1,6
2023,5.4,4.4,6.2,8.3,6.7,10.1,8.8,7.6,10.1,16.1,9.1,23.3,7,4.3,12.1,15.7,5.6,25.7
Norme de 2020,8.8,s/o,s/o,8.8,s/o,s/o,8.8,s/o,s/o,8.8,s/o,s/o,8.8,s/o,s/o,8.8,s/o,s/o
Tendance annuelle,-0.07,s/o,s/o,-0.12,s/o,s/o,Aucune tendance ,s/o,s/o,Aucune tendance ,s/o,s/o,0.15,s/o,s/o,Aucune tendance,s/o,s/o
,,,,,,,,,,,,,,,,,,
"Remarque : s/o = sans objet. L’indicateur sur la concentration moyenne à l’échelle régionale de PM2,5 est basé sur la moyenne annuelle des concentrations moyennes quotidiennes sur 24 heures relevées à 16 stations dans la région du Canada atlantique, 35 stations dans la région du le sud du Québec, 37 stations dans la région du le sud de l’Ontario, 35 stations dans la région des Prairies et du nord de l’Ontario, 35 stations en Colombie-Britannique et 3 stations dans la région des territoires du Nord. La comparaison avec la norme canadienne de qualité de l’air ambiant est fournie à titre d’exemple seulement. Une tendance est considérée statistiquement significative lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 %. Pour plus de renseignements, consultez la section sur les Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,,,,,,,,,,,,,,,,
Source : Environnement et Changement climatique Canada (2025) Programme de surveillance national de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b).,,,,,,,,,,,,,,,,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,,,,,,,,,,,,,,,,
