"Concentrations moyennes de pointe de particules fines à l’échelle nationale, Canada, 2009 à 2023",,,
,,,
Année,Concentration moyenne de pointe (98e centile) sur 24 heures (microgrammes par mètre cube),10e centile (microgrammes par mètre cube),90e centile (microgrammes par mètre cube)
2009,16.9,11.3,25.2
2010,22.5,12.6,33.1
2011,18.2,10,26.8
2012,17.8,11.1,27
2013,19,13.1,25.2
2014,21.1,12.8,31
2015,21.7,13.5,30.8
2016,18.4,9.9,22.2
2017,25.3,11.5,44.9
2018,30.8,12.3,60.5
2019,17.1,10.6,23.4
2020,19,10.8,30.8
2021,23.6,11.4,37.9
2022,18.7,11.1,26.3
2023,45.1,13.8,101.1
Norme de 2020,27,s/o,s/o
Tendance annuelle,Aucune tendance,s/o,s/o
,,,
"Remarque : s/o = sans objet. L’indicateur national sur la concentration moyenne de pointe de PM2,5 est basé sur le 98e centile des concentrations moyennes quotidiennes sur 24 heures relevées dans 161 stations réparties à travers le au Canada. La comparaison avec les normes canadiennes de qualité de l’air ambiant est fournie à titre d’exemple seulement. Une tendance est considérée statistiquement significative lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95%. Pour plus de renseignements, consultez la section sur les Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,
Source : Environnement et Changement climatique Canada (2025) Programme de surveillance national de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b). ,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,
