"Concentrations moyennes d’ozone à l’échelle nationale, Canada, 2009 à 2023",,,
,,,
Année,Concentration moyenne (parties par milliard),10e centile (parties par milliard),90e centile (parties par milliard)
2009,31.9,26,37
2010,33.2,27,39
2011,33.2,28,39
2012,33.7,28,39
2013,33,26,38
2014,33,28,38
2015,33.2,27,38
2016,32.5,27,39
2017,33.7,29,38
2018,34,29,38
2019,32.9,27,37
2020,32.7,28,37
2021,34,30,39
2022,33.4,28,39
2023,34.2,28,39
Tendance annuelle,Aucune tendance,s/o,s/o
,,,
"Remarque : s/o = sans objet. L’indicateur national sur la concentration moyenne d’O3 est basé sur la moyenne annuelle des concentrations moyennes quotidiennes maximales sur 8 heures enregistrées à 169 stations à travers le Canada. Aucune comparaison avec les NCQAA n’est présentée car il n’existe aucune norme pour l’O3. Une tendance est considérée statistiquement significative lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 %. Pour plus de renseignements, consultez la section sur les Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,
Source : Environnement et Changement climatique Canada (2025) Programme de surveillance national de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b) et Réseau canadien d'échantillonnage des précipitations et de l'air (https://www.canada.ca/fr/environnement-changement-climatique/services/pollution-atmospherique/reseau-surveillance-donnees/canadien-echantillonnage-precipitations-air.html).,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,
