"Concentrations moyennes d’ozone à l’échelle régionale au Canada, de 2009 à 2023",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Canada atlantique,Canada atlantique,Canada atlantique,Sud du Québec,Sud du Québec,Sud du Québec,Sud de l'Ontario,Sud de l'Ontario,Sud de l'Ontario,Prairies et nord de l'Ontario,Prairies et nord de l'Ontario,Prairies et nord de l'Ontario,Colombie-Britannique,Colombie-Britannique,Colombie-Britannique,Territoires du Nord,Territoires du Nord,Territoires du Nord
Année,Concentration moyenne (parties par milliard),10e centile  (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile  (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile  (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile  (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile  (parties par milliard),90e centile (parties par milliard),Concentration moyenne (parties par milliard),10e centile  (parties par milliard),90e centile (parties par milliard)
2009,31.7,30,35,30.4,26,34,35.5,32,39,33.7,29,40,28,24,32,28.7,27,32
2010,33.1,31,35,33.2,29,37,37.8,33,41,33,29,37,27.5,25,32,31.8,29,34
2011,32.9,31,36,32.3,29,35,36.6,33,40,35.6,31,40,28,24,32,31,29,33
2012,32.9,30,35,33.6,30,37,38.1,35,41,33.5,28,39,29.2,26,34,31,28,33
2013,33.3,29,37,33.8,31,36,36.6,33,39,34.2,29,38,26.5,23,30,28.7,25,32
2014,33.5,29,36,33,30,36,36.6,32,40,33.2,29,37,28.3,25,32,30,28,33
2015,33.5,30,36,33.8,31,36,36.8,33,40,33.5,28,37,27.9,24,32,30.7,29,33
2016,32.3,30,34,33.1,31,35,37.4,34,40,31.8,28,35,26.9,24,31,31,28,34
2017,34.5,32,37,33.5,31,36,36.5,33,39,35.2,31,38,29.2,25,34,29,20,34
2018,34.3,31,37,34.8,32,37,36.7,34,39,35.3,31,38,28.5,25,32,31.7,30,33
2019,33.8,30,37,33.7,31,36,35.8,33,38,33.9,31,37,27.1,23,31,32.3,31,34
2020,33.6,31,37,33.3,32,35,35.6,33,38,33.4,30,37,27.6,22,30,29.7,27,32
2021,34.1,32,36,33.6,31,36,36.7,33,39,35.6,32,40,30,26,33,30,26,33
2022,33.7,31,37,33.7,32,36,36.7,33,40,35.2,32,39,27.9,24,31,29,26,31
2023,33.8,30,37,34.6,32,37,37.1,34,40,36.6,33,41,28.9,25,33,29.3,23,34
Tendance annuelle,0.09,s/o,s/o,0.1,s/o,s/o,Aucune tendance,s/o,s/o,Aucune tendance ,s/o,s/o,Aucune tendance ,s/o,s/o,Aucune tendance ,s/o,s/o
,,,,,,,,,,,,,,,,,,
"Remarque : s/o = sans objet. L’indicateur sur la concentration moyenne d’O3 à l’échelle régionale est basé sur la moyenne annuelle des concentrations moyennes quotidiennes maximales sur 8 heures relevées à 18 stations dans la région du Canada atlantique, 39 stations dans la région du sud du Québec, 40 stations dans la région du sud de l’Ontario, 34 stations dans la région des Prairies et du nord de l’Ontario, 34 stations en Colombie-Britannique et 4 aux territoires du Nord. Aucune comparaison avec les NCQAA n’est présentée car il n’existe aucune norme pour l’O3. Une tendance est considérée statistiquement significative lorsque le test de Mann-Kendall indique la présence d'une tendance avec un niveau de confiance de 95 %. Pour plus de renseignements, consultez la section sur les Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#Methodes).",,,,,,,,,,,,,,,,,,
Source : Environnement et Changement climatique Canada (2025) Programme de surveillance national de la pollution atmosphérique (SNPA) – Portail du Gouvernement Ouvert (https://ouvert.canada.ca/data/fr/dataset/1b36a356-defd-4813-acea-47bc3abd859b) et Réseau canadien d’échantillonnage des précipitations et de l’air (https://www.canada.ca/fr/environnement-changement-climatique/services/pollution-atmospherique/reseau-surveillance-donnees/canadien-echantillonnage-precipitations-air.html).,,,,,,,,,,,,,,,,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,,,,,,,,,,,,,,,,
