,PUMA Number,PUMA Name,Latitude,Longitude,Elevation,Time Zone
0,G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",34.65,-87.765,221,-6
1,G01000200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,34.812,-86.803,229,-6
2,G01000301,Huntsville (North) & Madison (East) Cities PUMA,34.759,-86.692,218,-6
3,G01000302,Huntsville City (Central & South) PUMA,34.688,-86.564,251,-6
4,G01000400,DeKalb & Jackson Counties PUMA,34.644,-85.906,415,-6
5,G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,34.421,-86.356,181,-6
6,G01000600,Morgan & Lawrence Counties--Decatur City PUMA,34.489,-87.097,200,-6
7,G01000700,Cullman & Winston Counties PUMA,34.149,-87.098,260,-6
8,G01000800,St. Clair & Blount Counties PUMA,33.836,-86.432,399,-6
9,G01000900,Etowah County PUMA,34.048,-86.034,238,-6
10,G01001100,Calhoun County PUMA,33.772,-85.823,205,-6
11,G01001200,Shelby County PUMA,33.263,-86.678,183,-6
12,G01001301,Birmingham City (West) PUMA,33.49,-86.883,166,-6
13,G01001302,Birmingham City (East) PUMA,33.556,-86.756,184,-6
14,G01001304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",33.714,-86.802,166,-6
15,G01001305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",33.435,-87.081,117,-6
16,G01001400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA",33.835,-87.725,127,-6
17,G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,33.281,-87.757,64,-6
18,G01001600,Tuscaloosa & Northport (Southeast) Cities PUMA,33.201,-87.521,79,-6
19,G01001700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA",32.589,-87.597,50,-6
20,G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",32.89,-86.052,227,-6
21,G01001900,Lee County--Auburn City PUMA,32.604,-85.353,215,-6
22,G01002000,Montgomery City & Pike Road Town (North) PUMA,32.342,-86.223,82,-6
23,G01002100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",32.357,-86.411,48,-6
24,G01002200,Southwest Alabama PUMA,31.6,-87.613,54,-6
25,G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",31.503,-86.376,89,-6
26,G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",32.062,-85.57,130,-6
27,G01002500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",31.298,-85.499,115,-6
28,G01002600,Baldwin County PUMA,30.659,-87.746,47,-6
29,G01002701,Mobile City (East) PUMA,30.68,-88.071,10,-6
30,G01002702,Mobile City (West) PUMA,30.692,-88.167,46,-6
31,G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",33.545,-85.742,302,-6
32,G01001303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",33.475,-86.711,176,-6
33,G01002703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA",30.904,-88.315,69,-6
34,G02000101,Anchorage Municipality (North) PUMA,61.245,-148.997,1115,-9
35,G02000102,Anchorage Municipality (South) PUMA,61.01,-149.318,1025,-9
36,G02000200,Matanuska-Susitna & Kenai Peninsula Boroughs PUMA,61.217,-150.624,0,-9
37,G02000300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA",62.149,-143.287,2256,-9
38,G02000400,Subsistence Alaska PUMA,63.608,-155.28,318,-9
39,G04000103,Maricopa County--Mesa City (West) PUMA,33.392,-111.851,371,-7
40,G04000104,Maricopa County--Mesa City (South Central) PUMA,33.4,-111.744,390,-7
41,G04000105,Maricopa County--Gilbert Town (North) PUMA,33.347,-111.762,382,-7
42,G04000106,Maricopa County--Chandler City (Northeast) PUMA,33.318,-111.849,368,-7
43,G04000107,Maricopa County--Chandler City (South) PUMA,33.238,-111.831,373,-7
44,G04000108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities PUMA,33.338,-111.934,360,-7
45,G04000109,Maricopa County--Tempe City (North) PUMA,33.413,-111.933,356,-7
46,G04000110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA,33.541,-111.93,398,-7
47,G04000111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA,33.724,-111.585,770,-7
48,G04000112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA",33.766,-111.932,662,-7
49,G04000113,Phoenix City (Northeast) PUMA,33.596,-111.986,421,-7
50,G04000114,Phoenix City (Northeast Central) PUMA,33.614,-112.037,449,-7
51,G04000115,Phoenix City (Northwest Central) PUMA,33.615,-112.09,486,-7
52,G04000116,Phoenix City (Uptown) PUMA,33.529,-112.087,353,-7
53,G04000117,Phoenix City (East) PUMA,33.492,-111.994,368,-7
54,G04000118,Phoenix City--Downtown & Sky Harbor International Airport PUMA,33.45,-112.044,334,-7
55,G04000119,Phoenix City (South) PUMA,33.397,-112.074,333,-7
56,G04000120,Phoenix City--Ahwatukee & South Mountain PUMA,33.326,-112.066,494,-7
57,G04000121,Phoenix (Southwest) & Tolleson Cities PUMA,33.41,-112.2,308,-7
58,G04000122,Phoenix City--Maryvale (East) PUMA,33.488,-112.15,337,-7
59,G04000123,Phoenix City--Maryvale (West) PUMA,33.486,-112.23,324,-7
60,G04000124,Maricopa County--Glendale City (South) PUMA,33.532,-112.226,337,-7
61,G04000125,Phoenix City (West) PUMA,33.569,-112.138,372,-7
62,G04000126,Maricopa County--Glendale City (North) PUMA,33.634,-112.188,379,-7
63,G04000127,Maricopa County--Peoria City (South & Central) PUMA,33.608,-112.24,355,-7
64,G04000128,Phoenix City (North) PUMA,33.647,-112.136,404,-7
65,G04000129,Phoenix (Far North) & Peoria (Northwest) Cities PUMA,33.846,-112.163,541,-7
66,G04000130,Maricopa County--El Mirage City & Sun City PUMA,33.626,-112.32,350,-7
67,G04000131,Maricopa County--Surprise City (Central) PUMA,33.621,-112.405,378,-7
68,G04000132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA",33.451,-112.41,303,-7
69,G04000133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA,33.446,-112.32,297,-7
70,G04000134,Maricopa County (West) & Gila River Indian Community (Northwest) PUMA,33.221,-112.799,322,-7
71,G04000201,Pima County (West) PUMA,32.085,-112.095,666,-7
72,G04000202,Tucson (West) & Marana Cities PUMA,32.364,-111.163,655,-7
73,G04000203,Pima County (North Central)--Oro Valley Town PUMA,32.426,-110.899,866,-7
74,G04000204,Pima County (Northeast) PUMA,32.406,-110.667,1865,-7
75,G04000100,Maricopa County--Gilbert (South) & Queen Creek Towns PUMA,33.26,-111.689,410,-7
76,G04000101,Maricopa County--Mesa City (East) PUMA,33.383,-111.641,440,-7
77,G04000102,Maricopa County--Mesa City (North Central) PUMA,33.452,-111.765,397,-7
78,G04000205,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town PUMA,31.983,-110.71,1063,-7
79,G04000206,Tucson City (Northeast) PUMA,32.242,-110.863,766,-7
80,G04000207,Tucson City (Northwest) PUMA,32.264,-110.968,714,-7
81,G04000208,Tucson City (South) PUMA,32.168,-110.955,763,-7
82,G04000209,Tucson City (Southeast) PUMA,32.183,-110.851,821,-7
83,G04000300,Navajo & Apache Counties PUMA,35.388,-109.88,1761,-7
84,G04000400,Coconino County--Flagstaff City PUMA,35.83,-111.774,2076,-7
85,G04000500,Yavapai County PUMA,34.63,-112.574,1848,-7
86,G04000600,Mohave & La Paz Counties--Lake Havasu City PUMA,35.202,-113.83,1247,-7
87,G04000700,Yuma County--Yuma City PUMA,32.774,-113.911,84,-7
88,G04000800,"Gila, Graham, Greenlee & Pinal (East) Counties PUMA",33.303,-110.231,1188,-7
89,G04000803,Pinal County (North)--Apache Junction City PUMA,33.352,-111.321,817,-7
