"Concentrations des polluants de l'air, Canada, 2002 à 2016",,,,,,,,,
,,,,,,,,,
Année,Concentration moyenne sur 8 heures d'ozone troposphérique (changement en pourcentage relatif à l'année 2002),Concentration de pointe d'ozone troposphérique(4e plus élevée) sur 8 heures (changement en pourcentage relatif à l'année 2002),Concentration moyenne de particules fines (changement en pourcentage relatif à l'année 2002),Concentration de pointe de particules fines (98e centile) sur 24 heures (changement en pourcentage relatif à l'année 2002),Concentration moyenne de dioxyde de soufre (changement en pourcentage relatif à l'année 2002),Concentration de pointe de dioxyde de soufre (99e centile) sur 1 heure (changement en pourcentage relatif à l'année 2002),Concentration moyenne de dioxyde d'azote (changement en pourcentage relatif à l'année 2002),Concentration de pointe de dioxyde d'azote (98e centile) sur 1 heure (changement en pourcentage relatif à l'année 2002),Concentration moyenne de composés organiques volatils (changement en pourcentage relatif à l'année 2002)
2002,0,0,0,0,0,0,0,0,0
2003,2,-0.6,-0.7,-1.5,-6.5,-1.7,1.8,-2.4,31.3
2004,-3.1,-12.4,-10.7,-8.7,-19.3,-1.1,-10.9,-4.2,18.9
2005,0.5,-7.1,-5.8,-2.3,-21,3.7,-12.3,-3.9,-7.2
2006,-0.3,-9.5,-14.9,-23.8,-23.9,-3.4,-17.9,-8.2,0.9
2007,1.1,-5.3,-16,-18.8,-22.5,-6.9,-18.3,-11.2,-4.6
2008,-0.9,-11.8,-15.8,-27.1,-30.7,-7.9,-20.5,-13,-7.1
2009,-3.1,-15.8,-18.3,-33,-40.2,-18.8,-25.4,-14.6,-0.5
2010,0.9,-12.6,-6.6,-10.1,-47.8,-17,-30.4,-15.9,-11.7
2011,1.2,-16,-8.7,-24.9,-46.4,-40,-31,-18.2,-17.2
2012,3.1,-10.9,-9.6,-27.5,-48,-38.1,-36.7,-21.6,-27.9
2013,1.3,-17,-0.7,-24.4,-52.7,-40.3,-36.2,-23.1,-23
2014,0.9,-20.2,3.3,-15,-54.7,-44.7,-36.6,-23.5,-28.7
2015,0.3,-13.4,2.5,-14.2,-59.7,-47.8,-38.6,-22.9,-25.7
2016,-0.9,-16.7,-12.2,-24.4,-63.5,-51.7,-42.7,-24.8,-36.1
,,,,,,,,,
"Remarque : Pour en savoir plus sur les indicateurs sur la Qualité de l'air, veuillez consulter les définitions des indicateurs sur la Qualité de l'air dans la section Méthodes (www.canada.ca/fr/environnement-changement-climatique/services/indicateurs-environnementaux/qualite-air.html#def).",,,,,,,,,
Source : Environnement et Changement climatique Canada (2018) Programme du Réseau national de surveillance de la pollution atmosphérique (www.canada.ca/fr/environnement-changement-climatique/services/pollution-atmospherique/reseau-surveillance-donnees/programme-national-pollution-atmospherique.html) et Réseau canadien d'échantillonnage des précipitations et de l'air (www.canada.ca/fr/environnement-changement-climatique/services/pollution-atmospherique/reseau-surveillance-donnees/canadien-echantillonnage-precipitations-air.html).,,,,,,,,,
Disponible sur le site Web des Indicateurs environnementaux (www.canada.ca/indicateurs-environnementaux).,,,,,,,,,
