License Type	Licensee Name	PRE ARRANGED FUNERAL PLAN SALES 	Address	City	Province	Postal Code	Location Geocode
Funeral Home	MACASKILL FUNERAL HOME	No	43 Grant ST.	BADDECK	NS	B0E 1B0	"43 Grant ST.
BADDECK, NS B0E 1B0
(46.09976, -60.75671)"
Funeral Home	MIDDLETON FUNERAL HOME	Trust & Insurance Funded Plans	398 MAIN ST.	MIDDLETON	NS	B0S 1P0	"398 MAIN ST.
MIDDLETON, NS B0S 1P0
(44.94463, -65.06448)"
Funeral Home	WHITE FAMILY FUNERAL HOME	Trust Funded Only	100 BRIDGE ST.	KENTVILLE	NS	B4N 2E4	"100 BRIDGE ST.
KENTVILLE, NS B4N 2E4
(45.07912, -64.49487)"
Funeral Home	A.H. BROWN FUNERAL SERVICES	Trust & Insurance Funded Plans	5 MCFARLANE ST.	SPRINGHILL	NS	B0M 1X0	"5 MCFARLANE ST.
SPRINGHILL, NS B0M 1X0
(45.64745, -64.05968)"
Funeral Home & Crematorium	SWEENY'S FUNERAL HOME AND CREMATORIUM LTD.	Insurance Funded Only	567 MAIN ST.	YARMOUTH	NS	B5A 1J6	"567 MAIN ST.
YARMOUTH, NS B5A 1J6
(43.8474, -66.11531)"
Funeral Home	ATLANTIC FUNERAL HOME (OAKRIDGE)	Trust & Insurance Funded Plans	1110 OLD SACKVILLE ROAD	MIDDLE SACKVILLE	NS	B4E 3A6	"1110 OLD SACKVILLE ROAD
MIDDLE SACKVILLE, NS B4E 3A6
(44.78071, -63.71416)"
Funeral Home	C.L. CURRY FUNERAL SERVICES LIMITED	Trust & Insurance Funded Plans	135 COLLEGE ST.	ANTIGONISH	NS	B2G 1X9	"135 COLLEGE ST.
ANTIGONISH, NS B2G 1X9
(45.62534, -61.99294)"
Funeral Home	JAYNE'S FUNERAL HOME	Trust & Insurance Funded Plans	5114 HIGHWAY 1 HWY.	WEYMOUTH NORTH	NS	B0W 3T0	"5114 HIGHWAY 1 HWY.
WEYMOUTH NORTH, NS B0W 3T0
(44.43289, -65.9943)"
Crematorium	H.M. HUSKILSON'S FUNERAL HOMES AND CREMATORIUM LIM	No	69 BROOKLYN RD.	BROOKLYN	NS	B0S 1P0	"69 BROOKLYN RD.
BROOKLYN, NS B0S 1P0
(43.86576, -66.08008)"
Funeral Home	DAVIS FUNERAL HOME	Trust Funded Only	256 PIG LOOP RD.	CHESTER	NS	B0J 1J0	"256 PIG LOOP RD.
CHESTER, NS B0J 1J0
(44.54209, -64.23817)"
Funeral Home	FILLMORE & WHITMAN FUNERAL HOME	Trust & Insurance Funded Plans	36205 CABOT TRAIL	INGONISH	NS	B0C 1K0	"36205 CABOT TRAIL
INGONISH, NS B0C 1K0
(46.69133, -60.37965)"
Funeral Home	DEMONT FAMILY FUNERAL HOME & CREMATION SERVICE	Trust & Insurance Funded Plans	419 ALBERT ST.	WINDSOR	NS	B0N 2T0	"419 ALBERT ST.
WINDSOR, NS B0N 2T0
(44.99063, -64.1345)"
Funeral Home	J. WILSON ALLEN FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	4646 HIGHWAY 215 HWY.	SUMMERVILLE	NS	B0N 2K0	"4646 HIGHWAY 215 HWY.
SUMMERVILLE, NS B0N 2K0
(45.09611, -64.15989)"
Funeral Home	CHANDLERS' FUNERAL HOME	Trust & Insurance Funded Plans	91 UNION ST.	LIVERPOOL	NS	B0T 1K0	"91 UNION ST.
LIVERPOOL, NS B0T 1K0
(44.03375, -64.7021)"
Funeral Home	D. S. CROWELL & SON FUNERAL HOME LIMITED	Trust Funded Only	22558 HIGHWAY 7 HWY.	SHEET HARBOUR	NS	B0J 3B0	"22558 HIGHWAY 7 HWY.
SHEET HARBOUR, NS B0J 3B0
(44.92303, -62.5367)"
Funeral Home	H.W.ANGUS FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	256 KING ST.	NEW GLASGOW	NS	B2H 4X8	"256 KING ST.
NEW GLASGOW, NS B2H 4X8
(45.58134, -62.64383)"
Funeral Home	TJ TRACEY CREMATION AND BURIAL SPECIALISTS	At Need Sales Only	6 CHURCHILL DR.	SYDNEY	NS	B1S 0M5	"6 CHURCHILL DR.
SYDNEY, NS B1S 0M5
(46.12305, -60.20137)"
Funeral Home & Crematorium	JONES FAMILY FUNERAL CENTER	Trust & Insurance Funded Plans	70 CHURCH ST.	AMHERST	NS	B4H 3B2	"70 CHURCH ST.
AMHERST, NS B4H 3B2
(45.8321, -64.21003)"
Cemetery	PLEASANT HILL CEMETERY	Cemetery Lots Only	593 SACKVILLE  DR.	SACKVILLE	NS	B4C2S4	"593 SACKVILLE  DR.
SACKVILLE, NS B4C2S4
(44.76811, -63.68532)"
Funeral Home	DENNIS HAVERSTOCK FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	26 CENTENNIAL ST.	ST. PETER'S	NS	B0E 3B0	"26 CENTENNIAL ST.
ST. PETER'S, NS B0E 3B0
(45.65791, -60.87762)"
Funeral Home	SMITH'S FUNERAL HOME	Trust Funded Only	403 MAIN ST.	PARRSBORO	NS	B0M 1S0	"403 MAIN ST.
PARRSBORO, NS B0M 1S0
(45.38179, -64.25448)"
Funeral Home & Crematorium	MACDIARMID'S FUNERAL HOME LIMITED	Trust & Insurance Funded Plans	5075  MAIN ST.	OXFORD	NS	B0M 1P0	"5075  MAIN ST.
OXFORD, NS B0M 1P0
(45.73364, -63.87083)"
Crematorium	SYDNEY CREMATORIUM	Trust & Insurance Funded Plans	400 GEORGE ST.	SYDNEY	NS	B1P 1K3	"400 GEORGE ST.
SYDNEY, NS B1P 1K3
(46.13827, -60.19256)"
Funeral Home	A.L. MATTATALL FUNERAL HOME	Trust & Insurance Funded Plans	217 PORTLAND ST.	DARTMOUTH	NS	B2Y 1J5	"217 PORTLAND ST.
DARTMOUTH, NS B2Y 1J5
(44.66805, -63.56138)"
Funeral Home	PATTEN FUNERAL HOME	Trust & Insurance Funded Plans	69 UNION ST.	GLACE BAY	NS	B1A 2P6	"69 UNION ST.
GLACE BAY, NS B1A 2P6
(46.19537, -59.95879)"
Funeral Home	ATLANTIC FUNERAL HOME (HALIFAX)	Trust & Insurance Funded Plans	6552 BAYERS RD.	HALIFAX	NS	B3L 2B3	"6552 BAYERS RD.
HALIFAX, NS B3L 2B3
(44.65254, -63.61361)"
Crematorium	SOUTH SHORE CREMATORIUM AND REMOVAL SERVICES LIMIT	No	20 COOK RD.	BRIDGEWATER	NS	B4V 3W7	"20 COOK RD.
BRIDGEWATER, NS B4V 3W7
(44.38713, -64.53429)"
Funeral Home	DENNIS HAVERSTOCK FUNERAL HOMES LIMITED	Trust & Insurance Funded Plans	121 SCHOOL ST.	CANSO	NS	B0H 1H0	"121 SCHOOL ST.
CANSO, NS B0H 1H0
(45.33538, -60.99551)"
Crematorium & Cemetery	FOREST HAVEN MEMORIAL GARDENS (2005)	Trust Funded Plans & Lots	1510 GRAND LAKE RD.	SYDNEY	NS	B1M 1A1	"1510 GRAND LAKE RD.
SYDNEY, NS B1M 1A1
(46.17443, -60.07271)"
Funeral Home	MUNDLE'S FUNERAL HOME	Trust & Insurance Funded Plans	10235 DURHAM ST.	PUGWASH	NS	B0K 1L0	"10235 DURHAM ST.
PUGWASH, NS B0K 1L0
(45.85003, -63.66055)"
Funeral Home	DANA L. SWEENY FUNERAL HOME (1988) LIMITED	Trust Funded Only	11213 HIGHWAY 3 HWY.	CENTRE	NS	B0J 2C0	"11213 HIGHWAY 3 HWY.
CENTRE, NS B0J 2C0
(44.37719, -64.33801)"
Funeral Home	EASTERN PASSAGE COMMUNITY FUNERAL HOME	Trust Funded Only	5 COW BAY RD.	EASTERN PASSAGE	NS	B3G  1A2	"5 COW BAY RD.
EASTERN PASSAGE, NS B3G  1A2
(44.61184, -63.49358)"
