Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Average Liabilities by farm type	Average Liabilities by farm type	Average Liabilities by farm type					
Farm Type	Average Liabilities (£ per farm)	95% Confidence Interval (£) (±)					
Dairy	259,700	40,400					
LFA Grazing Livestock	54,100	13,400					
Lowland Grazing Livestock	67,000	12,800					
Cereals	155,200	27,500					
General cropping	242,600	77,000					
Pigs & Poultry	282,000	88,900					
Mixed	132,000	39,500					
Horticulture	144,800	40,400					
Distribution of Liabilites by farm type	Distribution of Liabilites by farm type	Distribution of Liabilites by farm type	Distribution of Liabilites by farm type	Distribution of Liabilites by farm type	Distribution of Liabilites by farm type		
	Percentage of farm businesses						
	Liabilities  bands						
Farm Type	<£10,000	£10,000-<£50,000	£50,000-<£150,000	£150,000-<£400,000	£400,000+		
Dairy	10	13	25	28	23		
LFA Grazing Livestock	35	41	16	6	2		
Lowland Grazing Livestock	34	33	19	12	2		
Cereals	24	28	20	16	11		
General cropping	25	21	25	14	15		
Pigs & Poultry	17	17	31	15	20		
Mixed	19	44	14	13	10		
Horticulture	37	20	21	10	12		
Average Liabilities by farm size	Average Liabilities by farm size	Average Liabilities by farm size					
Farm Size	Average Liabilities (£ per farm)	95% Confidence Interval (£) (±)					
Spare & part-time	52,800	18,100					
Small	81,600	14,200					
Medium	122,000	18,000					
Large	184,500	27,300					
Very large	482,700	75,800					
Average Liabilities per hectare(a) by farm size	Average Liabilities per hectare(a) by farm size	Average Liabilities per hectare(a) by farm size					
Farm Size	Average Liabilities per hectare (£ per hectare)	95% Confidence Interval (£ per hectare) (±)					
Spare & part-time	800	300					
Small	800	100					
Medium	900	100					
Large	1,000	200					
Very large	1,500	200					
Distribution of Liabilites by farm size	Distribution of Liabilites by farm size	Distribution of Liabilites by farm size	Distribution of Liabilites by farm size	Distribution of Liabilites by farm size	Distribution of Liabilites by farm size		
	Percentage of farm businesses						
	Liabilities  bands						
Farm Size	<£10,000	£10,000-<£50,000	£50,000-<£150,000	£150,000-<£400,000	£400,000+		
Spare & part-time	45	32	15	5	3		
Small	28	34	23	12	4		
Medium	23	29	20	21	8		
Large	7	25	29	24	14		
Very large	4	16	19	24	38		
Average Liabilities by farm tenure	Average Liabilities by farm tenure	Average Liabilities by farm tenure					
Farm Tenure	Average Liabilities (£ per farm)	95% Confidence Interval (£) (±)					
Owner occupied	137,200	26,700					
Mixed - mainly owner occupied	172,300	25,700					
Mixed - mainly tenanted	176,300	40,100					
Tenanted	98,600	30,600					
Distribution of Liabilites by farm tenure							
	Percentage of farm businesses						
	Liabilities  bands						
Farm Tenure	<£10,000	£10,000-<£50,000	£50,000-<£150,000	£150,000-<£400,000	£400,000+		
Owner occupied	35	25	19	13	8		
Mixed - mainly owner occupied	22	30	17	17	13		
Mixed - mainly tenanted	19	26	25	17	14		
Tenanted	20	38	28	11	4		
Net Worth	Net Worth	Net Worth	Net Worth	Net Worth			
Average net worth by farm type	Average net worth by farm type	Average net worth by farm type					
