Date de demande de service,Mois et année ,Exercice financier du gouvernement du Canada (EF),Année civile,Province/territoire du concessionnaire,Code postal du concessionnaire,Achat ou location,Année-modèle,Marque du véhicule,Modèle du véhicule,Marque du véhicule et modèle,"Batterie, hybride rechargeable ou à hydrogène (VÉ, VHR ou VÉPC)",Classe de véhicule,Type de véhicule,Montant d'incitatif admissible (en dollars),Province/territoire du bénéficiaire ,Pays 
2022-10-03,Octobre 2022,2022-2023,2022,Ontario,L6J 2X7,Location,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Ontario,Canada
2022-10-03,Octobre 2022,2022-2023,2022,Ontario,N0M 2S0,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Ontario,Canada
2022-10-03,Octobre 2022,2022-2023,2022,Ontario,K2B 6R7,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Ontario,Canada
2022-10-03,Octobre 2022,2022-2023,2022,Québec ,G6V 6C7,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Québec ,Canada
2022-10-03,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V2P 2N1,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-03,Octobre 2022,2022-2023,2022,Ontario,M1B 5V7,Achat,2023,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Ontario,Canada
2022-10-04,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Achat,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Québec ,Canada
2022-10-04,Octobre 2022,2022-2023,2022,Québec ,J3L 3R8,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Québec ,Canada
2022-10-04,Octobre 2022,2022-2023,2022,Île-du-Prince-Édouard ,C1A 5P4,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Île-du-Prince-Édouard ,Canada
2022-10-04,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V9B 1H8,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-04,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V9B 1H8,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-05,Octobre 2022,2022-2023,2022,Québec ,J3L 3R8,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Québec ,Canada
2022-10-05,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Achat,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Québec ,Canada
2022-10-05,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Achat,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Québec ,Canada
2022-10-05,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Location,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Québec ,Canada
2022-10-05,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Location,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Québec ,Canada
2022-10-05,Octobre 2022,2022-2023,2022,Terre-Neuve-et-Labrador ,A1B 4G8,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Terre-Neuve-et-Labrador ,Canada
2022-10-06,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Achat,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Colombie-Britannique ,Canada
2022-10-06,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Achat,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Colombie-Britannique ,Canada
2022-10-06,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Achat,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Colombie-Britannique ,Canada
2022-10-06,Octobre 2022,2022-2023,2022,Ontario,L9C 3A5,Location,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Ontario,Canada
2022-10-06,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V1E 4N6,Location,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-06,Octobre 2022,2022-2023,2022,Québec ,J0Z 2G0,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Québec ,Canada
2022-10-07,Octobre 2022,2022-2023,2022,Ontario,L8H 5Y3,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Ontario,Canada
2022-10-07,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V5B 2Z9,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-07,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V5B 2Z9,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-08,Octobre 2022,2022-2023,2022,Ontario,L8H 5Y3,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Ontario,Canada
2022-10-11,Octobre 2022,2022-2023,2022,Québec ,J7Y 5G2,Location,2022,Lion,Lion6,Lion Lion6,VÉ ,Classe 6,Camion ,100 000,Colombie-Britannique ,Canada
2022-10-11,Octobre 2022,2022-2023,2022,Nouvelle-Écosse ,B2W 2M3,Achat,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Nouvelle-Écosse ,Canada
2022-10-11,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V5C 3Z5,Location,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-11,Octobre 2022,2022-2023,2022,Colombie-Britannique ,V5C 3Z5,Location,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Colombie-Britannique ,Canada
2022-10-11,Octobre 2022,2022-2023,2022,Québec ,J4Y 1A1,Location,2022,Ford,E-Transit,Ford E-Transit,VÉ ,Classe 2B,Fourgon,10 000,Québec ,Canada
