"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","NC","Percentage","2020/2021_Q1","2020-04-01","2020-06-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","NC","Percentage","2020/2021","2020-04-01","2021-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","NC","Percentage","2020/2021_Q2","2020-07-01","2020-09-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","NC","Percentage","2020/2021_Q3","2020-10-01","2020-12-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","NC","Percentage","2020/2021_Q4","2021-01-01","2021-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","30.00 %","Percentage","2021/2022","2021-04-01","2022-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","20.00 %","Percentage","2021/2022_Q1","2021-04-01","2021-06-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","20.00 %","Percentage","2021/2022_Q2","2021-07-01","2021-09-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","28.00 %","Percentage","2021/2022_Q3","2021-10-01","2021-12-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","30.00 %","Percentage","2021/2022_Q4","2022-01-01","2022-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","47.05 %","Percentage","2022/2023","2022-04-01","2023-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","41.20 %","Percentage","2022/2023_Q3","2022-10-01","2022-12-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","47.05 %","Percentage","2022/2023_Q4","2023-01-01","2023-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","48.00 %","Percentage","2023/2024_Q1","2023-04-01","2023-06-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","56.00 %","Percentage","2023/2024","2023-04-01","2024-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","48.00 %","Percentage","2023/2024_Q2","2023-07-01","2023-09-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","51.00 %","Percentage","2023/2024_Q3","2023-10-01","2023-12-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","56.00 %","Percentage","2023/2024_Q4","2024-01-01","2024-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","60.00 %","Percentage","2024/2025_Q1","2024-04-01","2024-06-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","69.00 %","Percentage","2024/2025","2024-04-01","2025-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","65.00 %","Percentage","2024/2025_Q2","2024-07-01","2024-09-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","65.00 %","Percentage","2024/2025_Q3","2024-10-01","2024-12-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","69.00 %","Percentage","2024/2025_Q4","2025-01-01","2025-03-31","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","NA","Percentage","2025/2026_Q1","2025-04-01","2025-06-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","79.00 %","Percentage","2025/2026_Q2","2025-07-01","2025-09-30","Quarterly"
"CAN37a","% of low emission vehicles in CYC Fleet, operating in York (Electric, Hybrid and Euro 6)","82.00 %","Percentage","2025/2026_Q3","2025-10-01","2025-12-31","Quarterly"
