################################################################################,,,,,,,
#,,,,,,,
# Graph type: time series,,,,,,,
#,,,,,,,
# Database time resolution: 15 Minute,,,,,,,
#,,,,,,,
# 190101 00:00 - 200101 00:00,,,,,,,
#,,,,,,,
# Selected time series:,,,,,,,
# Metstation, Wind dir, 012[M], Value (Deg.M) (),,,,
# Metstation, Wind spee, 012[M], Value (m/s) (),,,,
# Metstation, Std wdir, 012[M], Value (deg.M) (),,,,
# Metstation, Temp, 002[M], Value (deg.C) (),,,,
# Metstation, Temp, 008[M], Value (deg.C) (),,,,
# Metstation, Glob. rad, 002[M], Value (W/m2) (),,,,
# Metstation, Rel hum, 002[M], Value (%RH) (),,,,
# Metstation, Diff temp, 008[M], Value (deg.C) (),,,,
,,,,,,,
,,,,,,,
,,,,,,,
, 012[M], 012[M], 012[M], 002[M], 008[M], 002[M], 002[M]
#, Wind dir, Wind spee, Std wdir, Temp, Temp, Glob. rad, Rel hum
01/01/2019 00:15,282.3,8.57001,14.3,9.836,10.1,,78.6
01/01/2019 00:30,284.2,7.64,12.12,9.803,10.05,,79.5
01/01/2019 00:45,277.6,8.07001,11.18,9.732,9.98,,80.1
01/01/2019 01:00,271.8,7.48,9.58,9.63999,9.89999,,81.4
01/01/2019 01:15,270.4,6.186,11.36,9.565,9.84,,81.6
01/01/2019 01:30,262.4,5.658,13.59,9.509,9.78,,83.2
01/01/2019 01:45,248.4,5.307,15.14,9.419,9.73,,82.8
01/01/2019 02:00,257,4.851,16.54,9.445,9.77,,83
01/01/2019 02:15,263.1,4.439,16,9.54301,9.85001,,83.1
01/01/2019 02:30,272.6,4.57,15.22,9.572,9.86,,83.4
01/01/2019 02:45,284.3,3.929,15.48,9.617,9.91,,84
01/01/2019 03:00,295.2,4.541,17.48,9.722,10.02,,83.8
01/01/2019 03:15,293.4,4.746,14.72,9.814,10.11,,83.8
01/01/2019 03:30,287.9,4.615,15.47,9.87,10.15,,83.9
01/01/2019 03:45,290.9,4.894,13.74,9.869,10.13,,84.7
01/01/2019 04:00,290.9,6.75,13.91,9.752,10.06,,86.1
01/01/2019 04:15,288.7,5.81,12.98,9.689,10.01,,85.6
01/01/2019 04:30,287.7,5.744,12.7,9.646,9.97,,84.8
01/01/2019 04:45,295.8,4.603,15.16,9.58801,9.99001,,83
01/01/2019 05:00,295,4.083,18.85,9.924,10.32,,82.2
01/01/2019 05:15,295.2,4.514,17.96,10.193,10.53,,81.8
01/01/2019 05:30,308.8,3.736,25.38,10.376,10.64,,81.7
01/01/2019 05:45,290.9,5.531,12.71,10.36,10.61,,83
01/01/2019 06:00,290,5.752,13.69,10.262,10.51,,82.7
01/01/2019 06:15,289.9,5.777,13.02,10.179,10.43,,83
01/01/2019 06:30,285.3,5.139,13.64,10.121,10.38,,83.9
01/01/2019 06:45,285.5,4.725,11.6,10.145,10.43,,83.2
01/01/2019 07:00,295.1,4.048,16.54,10.185,10.5,,83.1
01/01/2019 07:15,293.9,5,12.98,10.352,10.63,,82.6
01/01/2019 07:30,288.9,6.52,12.47,10.262,10.51,,83.2
01/01/2019 07:45,292.8,6.495,13.16,10.062,10.35,,83.3
01/01/2019 08:00,295,4.574,15.34,10.012,10.29,,83.1
01/01/2019 08:15,309.9,3.858,22.07,9.996,10.29,,82.3
01/01/2019 08:30,290.2,3.924,18.3,9.869,10.11,,83.1
01/01/2019 08:45,294.3,2.616,18.98,9.489,9.77,,83.8
01/01/2019 09:00,315.5,3.291,22.42,9.54,9.86,,83
01/01/2019 09:15,334.2,3.276,26.37,9.57901,9.82001,,83.7
01/01/2019 09:30,331.1,3.182,16.73,9.511,9.78,,82.7
01/01/2019 09:45,354.2,3.971,10.99,8.996,9.34,,73.1
01/01/2019 10:00,344.6,4.289,13.8,8.616,8.89,,71
01/01/2019 10:15,350.5,3.256,18.44,8.27199,8.53999,,70.7
01/01/2019 10:30,349.3,4.164,14.18,8.016,8.38,59.37,67.15
01/01/2019 10:45,341.8,4.207,14.61,7.841,8.17,61.71,67.52
01/01/2019 11:00,356,3.362,17.14,7.529,7.88,58.81,68.26
01/01/2019 11:15,347.8,3.495,16.46,7.36,7.7,56.75,69.28
01/01/2019 11:30,347.6,2.559,18.53,7.152,7.54,88.2,69.08
01/01/2019 11:45,353.8,3.329,17.12,8.105,8.37,203.5,67.12
01/01/2019 12:00,354.3,3.892,15.49,8.228,8.44,89.6,68.41
01/01/2019 12:15,5.375,3.451,14.26,7.796,8.11,141.3,66.45
01/01/2019 12:30,8.14,2.904,14.67,8.324,8.48,174.2,63.61
01/01/2019 12:45,1.922,3.797,17.65,8.44601,8.60001,172.8,60.91
01/01/2019 13:00,11.11,3.163,17.26,8.68201,8.74001,172.8,61.46
01/01/2019 13:15,355.5,4.253,15.81,8.537,8.73,171.7,58.96
01/01/2019 13:30,1.042,3.334,13.39,8.709,8.83,164.2,58.35
01/01/2019 13:45,354.1,3.272,22.04,8.76,8.88,150.1,58.86
01/01/2019 14:00,344,3.324,16.98,8.352,8.56,121.4,58.82
01/01/2019 14:15,358.6,3.043,15.33,8.28001,8.46001,107.9,59.73
01/01/2019 14:30,342.9,2.648,17.57,8.063,8.28,78.2,60.1
01/01/2019 14:45,346.6,3.535,17.52,7.873,8.14,80.7,59.77
01/01/2019 15:00,347.4,3.617,16.98,7.585,7.87,44.03,59.63
01/01/2019 15:15,339.1,2.719,17.58,7.449,7.72,38.34,60.28
01/01/2019 15:30,359,1.584,23.33,7.069,7.31,15.16,62.48
01/01/2019 15:45,9.36,3.142,14.17,6.528,6.855,8.97,62.01
01/01/2019 16:00,359.1,2.449,15.36,6.315,6.624,2.718,63.96
01/01/2019 16:15,0.099,2.227,16.84,5.924,6.255,,66.13
01/01/2019 16:30,356.7,1.538,15,5.527,5.97,,67.27
01/01/2019 16:45,350,2.388,12.12,5.354,5.856,,66.9401
01/01/2019 17:00,350.6,2.82,12.7,5.546,5.954,,67.01
01/01/2019 17:15,348.6,2.743,9.07001,5.587,5.979,,67.7
01/01/2019 17:30,353.9,3.629,15.73,5.904,6.305,,67.53
01/01/2019 17:45,23.1,3.491,20.62,5.989,6.265,,67.8
01/01/2019 18:00,11.73,3.457,14.93,5.675,6.051,,65.71
01/01/2019 18:15,4.792,4.082,13.44,5.521,5.856,,64.3199
01/01/2019 18:30,7.91,4.136,13.61,5.307,5.666,,62.64
01/01/2019 18:45,5.621,4.123,16.85,5.288,5.623,,60.88
01/01/2019 19:00,351.7,3.226,14.88,4.886,5.238,,59.46
01/01/2019 19:15,344.2,2.698,13.64,4.759,5.109,,60.07
01/01/2019 19:30,345,3.31,13.86,4.485,4.91,,58.85
01/01/2019 19:45,332.9,2.431,15.27,4.361,4.751,,59.46
01/01/2019 20:00,340.1,2.647,12.73,4.383,4.83,,59.46
01/01/2019 20:15,341.3,2.568,15.12,4.482,4.842,,59.73
01/01/2019 20:30,335.3,2.291,15.63,4.092,4.478,,61.62
01/01/2019 20:45,331.2,2.285,12.98,3.739,4.257,,61.76
01/01/2019 21:00,327.5,2.434,12.28,3.856,4.34,,62.74
01/01/2019 21:15,337.5,2.072,16.24,4.087,4.552,,62.31
01/01/2019 21:30,335.2,2.187,14.16,4.216,4.698,,61.53
01/01/2019 21:45,332.7,2.311,15.88,4.418,4.817,,62.13
01/01/2019 22:00,324.8,2.049,14.37,4.283,4.735,,61.83
01/01/2019 22:15,338.2,2.085,16.49,4.246,4.716,,61.18
01/01/2019 22:30,326.6,1.826,20.83,4.333,4.8,,61.22
01/01/2019 22:45,322.4,2.258,21.29,4.375,4.774,,61.89
01/01/2019 23:00,327.3,1.963,18.83,4.184,4.682,,61.28
01/01/2019 23:15,357.9,3.471,14.99,4.529,5.007,,58.72
01/01/2019 23:30,357.1,3.55,17.7,4.714,5.084,,58.48
01/01/2019 23:45,357.9,1.704,20.78,4.573,5.007,,57.84
02/01/2019 00:00,339.5,1.578,14.72,4.494,4.975,,57.91
