Federal Jurisdiction Workplace Survey 2004 Table 12: Proportion of overtime compensated with pay and with time off during calendar year 2004,,,,,,,,,,,,,,,,,,,,,,,,
, Number of companies (1) from the employer’s perspective which compensated 0-25% of overtime with pay and 75-100% with time off ,Q, Number of employees from the employer’s perspective working (8) for companies (1) which compensated 0-25% of overtime with pay and 75-100% with time off ,Q, Number of companies (1) from the employer’s perspective which compensated 25-50% of overtime with pay and 50-75% with time off ,Q, Number of employees from the employer’s perspective working (8) for companies (1) which compensated 25-50% of overtime with pay and 50-75% with time off ,Q, Number of companies (1) from the employer’s perspective which compensated 50-75% of overtime with pay and 25-50% with time off ,Q, Number of employees from the employer’s perspective working (8) for companies (1) which compensated 50-75% of overtime with pay and 25-50% with time off ,Q, Number of companies (1) from the employer’s perspective which compensated 75-100% of overtime with pay and 0-25% with time off ,Q, Number of employees from the employer’s perspective working (8) for companies (1) which compensated 75-100% of overtime with pay and 0-25% with time off ,Q, Total number of companies (1) from the employer’s perspective declaring employees working overtime for compensation during calendar year 2004 ,Q, Total number of employees from the employer’s perspective working (8) for companies (1) declaring employees working overtime for compensation during calendar year 2004 ,Q, Average of percentage of overtime compensated by time off  from the employer’s perspective ,Q,,
Overall,738,4.6%,66781,38.4%,348,5.8%,53228,14.8%,218,6.3%,123950,28.6%,2642,2.5%,576555,15.2%,4005,2.0%,772225,12.3%,26,74.3%,,
Region,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,64,9.2%,3052,23.4%,32,13.1%,5294,104.6%,13,28.3%,11123,23.4%,217,5.8%,41024,20.3%,324,4.4%,54295,12.2%,29,164.9%,,
Quebec,164,8.8%,35778,69.0%,99,10.6%,14776,19.9%,67,9.9%,11102,26.5%,715,4.4%,118766,28.7%,1090,3.9%,156381,24.2%,24,129.0%,,
Ontario,254,9.1%,7715,13.4%,64,12.9%,11959,29.0%,63,13.1%,64691,44.8%,774,4.1%,237324,30.9%,1167,3.4%,315311,25.3%,28,152.8%,,
West and Territories,256,7.7%,20238,34.3%,154,9.4%,21198,15.7%,75,10.8%,37034,53.8%,936,4.9%,179440,17.7%,1424,3.6%,246238,14.1%,26,127.9%,,
Sector,,,,,,,,,,,,,,,,,,,,,,,,
Air transport,153,8.4%,11285,112.7%,76,10.5%,4070,136.0%,43,15.1%,7870,160.8%,370,5.0%,70618,53.9%,650,3.5%,89978,48.3%,34,154.4%,,
Rail transport,2,52.6%,6130,52.6%,3,0.0%,1635,0.0%,0,0.0%,0,0.0%,24,8.8%,43739,18.7%,29,7.3%,51504,16.8%,17,237.3%,,
Road transport,97,14.0%,3612,17.4%,50,19.6%,2177,19.7%,17,32.1%,2117,29.8%,1059,4.8%,69943,6.8%,1269,4.6%,74501,6.3%,13,115.3%,,
