Federal Jurisdiction Workplace Survey 2004 Table 13: Overtime in companies (1) with weekly time and a half pay threshold at 35 hours,,,,,,,,,,,,
, Average weekly overtime hours of employees working paid overtime only (3) ,Q, Average weekly overtime hours typically worked by employees working paid overtime only (4) ,Q, Number of employees typically working overtime for pay (4) ,Q, Number of employees working overtime where an average of 5 hours or more of paid overtime per week is typical (4) ,Q, Number of companies with employees working overtime where an average of 5 hours or more of paid overtime per week is typical (4) ,Q,,
Overall,4,5.2%,5,4.9%,217,18.4%,x,x,x,x,,
Region,,,,,,,,,,,,
Atlantic,x,x,x,x,x,x,x,x,x,x,,
Quebec,x,x,x,x,x,x,0,0.0%,0,0.0%,,
Ontario,x,x,x,x,x,x,x,x,x,x,,
West and Territories,x,x,x,x,x,x,0,0.0%,0,0.0%,,
Sector,,,,,,,,,,,,
Air transport,x,x,x,x,x,x,0,0.0%,0,0.0%,,
Rail transport,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Road transport,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Maritime transport,x,x,x,x,x,x,0,0.0%,0,0.0%,,
Postal services and pipelines,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Banks,x,x,x,x,x,x,0,0.0%,0,0.0%,,
"Feed, flour, seed and grain",0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Telecommunications and broadcasting,2,20.1%,x,x,x,x,x,x,x,x,,
Others: fisheries and mines,x,x,x,x,x,x,x,x,x,x,,
Company size,,,,,,,,,,,,
1 employee (road transport only),0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
1 to 5 employees,x,x,x,x,x,x,0,0.0%,0,0.0%,,
6 to 19 employees,x,x,x,x,x,x,x,x,x,x,,
20 to 99 employees,5,4.2%,5,3.9%,172,19.6%,x,x,x,x,,
100 or more employees,x,x,x,x,x,x,0,0.0%,0,0.0%,,
Unionization,,,,,,,,,,,,
Companies(1) with unionized employees,x,x,x,x,x,x,x,x,x,x,,
Companies(1) with no unionized employees,5,4.4%,5,4.4%,x,x,x,x,x,x,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 18",,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,
