"Federal Jurisdiction Workplace Survey 2004 Table 19A: Average percentage of permanent employees working ?30 hours per week by shiftwork type as at survey date,Averages weighted by companies",,,,,,
Shiftwork type: , Regular day shifts only ,Q," Regular evening, night or weekend shifts ",Q," Irregular, rotating and other shifts ",Q
Overall,57,1.5%,9,5.2%,33,2.6%
Region,,,,,,
Atlantic,50,3.0%,11,8.7%,37,4.2%
Quebec,62,3.0%,9,10.9%,29,6.7%
Ontario,63,2.3%,7,8.5%,30,4.8%
West and Territories,51,2.8%,9,9.5%,39,3.8%
Sector,,,,,,
Air transport,62,2.1%,7,7.1%,30,4.2%
Rail transport,74,3.1%,2,12.7%,29,14.7%
Road transport,44,3.1%,10,7.5%,45,3.2%
Maritime transport,50,3.8%,11,10.1%,39,5.1%
Postal services and pipelines,78,1.7%,11,8.8%,10,9.7%
Banks,94,1.0%,3,20.3%,3,25.0%
"Feed, flour, seed and grain",79,1.3%,12,7.2%,8,10.8%
Telecommunications and broadcasting,84,1.3%,7,10.2%,10,9.7%
Others: fisheries and mines,84,1.8%,0,8.8%,16,9.6%
Company size,,,,,,
1 employee (road transport only),37,8.9%,15,15.2%,45,7.7%
1 to 5 employees,51,2.9%,8,9.8%,40,3.8%
6 to 19 employees,66,1.6%,9,7.0%,25,3.9%
20 to 99 employees,61,1.7%,11,5.4%,28,4.1%
100 or more employees,66,1.8%,10,6.7%,24,5.2%
Unionization,,,,,,
Companies(1) with unionized employees,59,2.2%,16,6.6%,25,5.1%
Companies(1) with no unionized employees,57,1.6%,8,6.1%,34,2.8%
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 21",,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,
