"Federal Jurisdiction Workplace Survey 2004 Table 21B: Average percentage of non-permanent employees by shiftwork type as at survey date,Averages weighted by employees",,,,,,,,,,,,,,
Shiftwork type: , Regular day shifts only , Q (SE) ," Regular evening, night or weekend shifts ", Q (SE) ," Irregular, rotating and other shifts ", Q (SE) ,,,,,,,,
Overall,47,6.26,13,1.69,40,5.77,,,,,,,,
Region,,,,,,,,,,,,,,
Atlantic,67,1.33,20,2.03,13,2.81,,,,,,,,
Quebec,37,11.06,14,2.38,49,9.85,,,,,,,,
Ontario,51,15.70,4,2.08,45,14.61,,,,,,,,
"Prairies, NT & NU",37,5.79,18,3.32,45,8.32,,,,,,,,
Sector,,,,,,,,,,,,,,
Air transport,63,17.15,17,6.30,20,19.94,,,,,,,,
Rail transport,36,3.90,58,3.43,6,2.92,,,,,,,,
Road transport,27,2.74,13,2.63,60,4.12,,,,,,,,
Maritime transport,12,1.59,20,1.77,68,2.70,,,,,,,,
Postal services and pipelines,30,8.43,6,2.03,64,10.34,,,,,,,,
Banks,93,2.01,2,0.16,5,2.06,,,,,,,,
"Feed, floor, seed and grain",48,1.27,46,1.88,7,3.02,,,,,,,,
Telecommunications and broadcasting,34,23.42,10,3.88,57,19.87,,,,,,,,
Others: fisheries and mines,65,3.84,27,3.70,7,1.37,,,,,,,,
Company size,,,,,,,,,,,,,,
1 employee (road transport only),4,1.92,0,0.00,96,1.92,,,,,,,,
1 to 5 employees,48,2.79,8,0.91,43,2.86,,,,,,,,
6 to 19 employees,35,2.79,16,2.06,49,3.62,,,,,,,,
20 to 99 employees,23,2.06,21,2.56,56,3.30,,,,,,,,
100 or more employees,51,7.52,12,1.97,37,7.03,,,,,,,,
Unionization,,,,,,,,,,,,,,
Companies(1) with unionized employees,46,10.82,14,3.02,40,9.88,,,,,,,,
Companies(1) with no unionized employees,48,3.60,12,1.07,41,3.43,,,,,,,,
"Souce: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 21",,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,
