Federal Jurisdiction Workplace Survey 2004 Table 3: Unionization (3),,,,,,,,,,
Area,Sector,Size, Number of employees working for companies (1) under federal jurisdiction ,Q, Number of employees unionized ,Q, Number of companies (1) under federal jurisdiction with unionized employees ,Q,,
Canada,Total all sectors,Total all size categories,840103,11.5%,271880,23.6%,1045,3.2%,,
,,1-5 employees,14192,2.6%,315,11.6%,167,10.6%,,
,,6-19 employees,29083,2.5%,2026,7.3%,218,6.9%,,
,,20-99 employees,73135,2.9%,10375,7.2%,321,6.2%,,
,,100+ employees,723692,13.3%,259164,24.7%,339,4.8%,,
,Air transport,Total all size categories,100217,45.0%,59456,49.1%,159,7.6%,,
,,1-5 employees,1580,5.3%,21,30.6%,7,36.4%,,
,,6-19 employees,3630,4.9%,382,14.8%,38,14.3%,,
,,20-99 employees,9394,6.9%,1866,18.9%,49,14.6%,,
,,100+ employees,85613,52.8%,57186,51.1%,64,13.8%,,
,Rail transport,Total all size categories,52105,16.6%,42074,17.0%,30,7.5%,,
,,1-5 employees,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,,
,,100+ employees,51944,16.6%,42026,17.0%,26,8.1%,,
,Road transport,Total all size categories,104179,4.6%,24012,8.1%,352,6.9%,,
,,1 employee,2024,5.9%,33,26.4%,33,26.4%,,
,,1-5 employees,8231,4.0%,121,20.7%,77,19.0%,,
,,6-19 employees,13809,4.4%,777,14.8%,78,15.4%,,
,,20-99 employees,35233,4.8%,3807,12.6%,115,12.3%,,
,,100+ employees,46906,9.8%,19308,9.8%,83,9.4%,,
,Maritime transport,Total all size categories,15863,17.5%,8070,30.3%,154,7.5%,,
,,1-5 employees,638,6.5%,108,18.0%,46,16.6%,,
,,6-19 employees,1589,7.2%,339,18.1%,36,14.8%,,
,,20-99 employees,5753,8.7%,2396,14.7%,59,11.7%,,
,,100+ employees,7883,35.4%,5228,47.1%,13,26.2%,,
,Postal services and pipelines,Total all size categories,116749,45.4%,70034,70.4%,56,10.4%,,
,,1-5 employees,651,5.1%,26,16.3%,22,16.4%,,
,,6-19 employees,954,7.6%,22,39.1%,3,39.1%,,
,,20-99 employees,3198,11.4%,46,17.4%,9,19.5%,,
,,100+ employees,111946,47.4%,69939,70.5%,21,19.8%,,
,Banks,Total all size categories,249734,16.0%,3121,47.7%,14,17.1%,,
,,1-5 employees,46,23.5%,0,0.0%,0,0.0%,,
,,6-19 employees,169,18.5%,0,0.0%,0,0.0%,,
,,20-99 employees,1337,15.9%,91,29.2%,5,29.2%,,
,,100+ employees,248181,16.1%,3030,49.1%,9,22.1%,,
,"Feed, flour, seed and grain",Total all size categories,12166,16.1%,3157,19.7%,95,8.1%,,
,,1-5 employees,259,6.6%,0,0.0%,0,0.0%,,
,,6-19 employees,1714,5.4%,204,12.0%,33,11.3%,,
,,20-99 employees,3888,10.4%,976,21.3%,35,17.0%,,
,,100+ employees,6305,31.0%,1977,31.0%,26,20.8%,,
,Telecommunications and broadcasting,Total all size categories,153203,34.3%,52525,52.4%,136,8.4%,,
