Federal Jurisdiction Workplace Survey 2004 Table 32: Compensation for work on a public holiday as at survey date,,,,,,,,,,,,,,,,,,,,,,
, Number of companies (1) from the employer’s perspective giving compensatory time off at regular rates ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving compensatory time off at regular rates ,Q, Number of companies (1) from the employer’s perspective giving compensatory time off at premium rates ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving compensatory time off at premium rates ,Q, Number of companies (1) from the employer’s perspective giving pay at regular rates ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving pay at regular rates ,Q, Number of companies (1) from the employer’s perspective giving pay at premium rates ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving pay at premium rates ,Q, Number of companies (1) from the employer’s perspective requiring employees to work on public holidays ,Q, Number of employees from the employer’s perspective working (8) for companies (1) requiring employees to work on public holidays ,Q,,
Overall,2898,3.0%,330069,12.6%,762,4.4%,293166,26.7%,1695,4.2%,58115,37.4%,3088,2.3%,688216,13.9%,6704,1.8%,806738,12.0%,,
Region,,,,,,,,,,,,,,,,,,,,,,
Atlantic,243,5.7%,25041,14.0%,83,9.2%,24572,25.5%,295,6.3%,3149,9.0%,321,4.8%,53538,16.9%,755,3.2%,61213,14.8%,,
Quebec,992,5.8%,59465,16.8%,148,7.3%,51794,55.0%,583,8.4%,8679,8.6%,669,3.8%,135426,29.3%,1999,3.7%,174042,22.8%,,
Ontario,772,5.2%,129858,23.4%,212,7.9%,144193,49.9%,393,9.0%,20398,84.2%,893,4.3%,284246,27.8%,1719,3.3%,327157,24.5%,,
West and Territories,891,5.3%,115705,23.0%,318,8.0%,72607,13.7%,425,8.0%,25889,51.4%,1204,4.4%,215006,16.2%,2232,3.4%,244327,14.2%,,
Sector,,,,,,,,,,,,,,,,,,,,,,
Air transport,437,4.8%,20295,82.3%,202,6.9%,59348,64.8%,156,8.6%,8374,152.1%,507,3.9%,93159,48.5%,898,2.8%,98386,45.9%,,
Rail transport,19,14.8%,41124,21.2%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,24,7.9%,50804,17.0%,29,7.3%,51504,16.8%,,
Road transport,1228,5.7%,51071,8.3%,155,14.7%,9883,18.0%,1129,5.9%,14721,8.4%,1084,5.1%,49720,6.1%,3199,3.3%,91571,5.2%,,
Maritime transport,154,7.0%,8509,31.8%,54,15.3%,7240,38.8%,108,9.3%,1689,24.6%,258,5.4%,13242,20.8%,440,3.9%,15518,17.9%,,
Postal services and pipelines,76,8.2%,33942,52.2%,45,12.2%,51322,80.1%,60,9.0%,360,12.3%,169,5.3%,109496,48.4%,269,4.2%,110199,48.1%,,
Banks,40,9.8%,101167,24.2%,22,13.4%,51841,38.5%,5,25.5%,4584,59.7%,89,4.2%,201320,18.6%,105,3.0%,245941,16.2%,,
"Feed, flour, seed and grain",99,6.5%,4371,5.0%,35,16.1%,491,21.9%,39,11.0%,550,14.4%,184,5.3%,10298,19.1%,275,3.7%,11698,16.8%,,
Telecommunications and broadcasting,448,6.1%,48611,43.1%,179,8.4%,99503,50.7%,89,14.5%,23147,74.9%,506,5.0%,138174,38.0%,844,3.8%,150095,35.0%,,
Others: fisheries and mines,399,8.5%,20979,14.4%,69,6.3%,13537,11.5%,108,12.5%,4689,13.9%,267,9.9%,22003,13.7%,645,6.6%,31827,10.2%,,
Company size,,,,,,,,,,,,,,,,,,,,,,
1 employee (road transport only),99,27.3%,99,27.3%,60,31.3%,60,31.3%,277,16.0%,277,16.0%,27,40.9%,27,40.9%,455,12.2%,455,12.2%,,
1 to 5 employees,1111,6.6%,2874,7.2%,142,15.9%,317,13.8%,879,6.8%,2046,7.0%,572,7.9%,1596,7.4%,2512,4.1%,6219,4.3%,,
6 to 19 employees,690,4.6%,7689,4.7%,214,7.8%,2339,7.9%,491,6.6%,4870,6.5%,1064,4.2%,11674,4.1%,2002,3.0%,21442,2.9%,,
20 to 99 employees,757,4.1%,33365,4.4%,162,8.1%,8298,8.6%,256,8.9%,10179,10.2%,931,3.6%,43149,3.9%,1530,2.8%,66427,3.1%,,
100 or more employees,340,5.2%,286142,14.6%,243,5.6%,282212,27.8%,70,13.8%,41019,52.9%,520,3.8%,631796,15.1%,661,3.3%,712650,13.6%,,
Unionization,,,,,,,,,,,,,,,,,,,,,,
Companies(1) with unionized employees,294,6.4%,151062,23.5%,227,6.1%,183058,41.0%,109,11.8%,19689,107.6%,722,3.6%,391495,22.8%,903,3.3%,411894,21.7%,,
Companies(1) with no unionized employees,2604,3.2%,179007,13.1%,534,5.7%,110107,21.9%,1587,4.5%,38426,12.7%,2366,2.9%,296721,12.8%,5801,2.1%,394844,10.4%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 30",,,,,,,,,,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,,,,,,,,,
