Federal Jurisdiction Workplace Survey 2004 Table 33: Vacation leave most frequently given to permanent employees working 30 or more hours per week with 1 year of continuous service as at survey date,,,,,,,,,,,,,,
, Number of companies (1) from the employer’s perspective giving ?15 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?15 days of annual vacation ,Q, Number of companies (1) from the employer’s perspective giving ?20 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?20 days of annual vacation ,Q, Number of companies (1) from the employer’s perspective giving ?25 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?25 days of annual vacation ,Q,,
Overall,2054,4.4%,378289,18.5%,138,7.8%,21434,20.1%,8,46.3%,77,41.6%,,
Region,,,,,,,,,,,,,,
Atlantic,169,6.9%,25290,33.2%,5,14.7%,161,16.3%,0,0.0%,0,0.0%,,
Quebec,774,8.9%,50810,20.5%,74,10.7%,13074,25.0%,0,0.0%,0,0.0%,,
Ontario,190,7.3%,178589,36.6%,12,20.5%,2627,21.0%,0,0.0%,0,0.0%,,
West and Territories,922,6.0%,123600,16.5%,46,14.5%,5572,49.4%,8,46.3%,77,41.6%,,
Sector,,,,,,,,,,,,,,
Air transport,248,7.1%,43048,20.7%,27,17.9%,238,17.6%,0,0.0%,0,0.0%,,
Rail transport,13,13.8%,33542,25.6%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Road transport,818,9.9%,10712,11.0%,18,27.9%,740,30.6%,0,0.0%,0,0.0%,,
Maritime transport,193,6.6%,3918,14.2%,17,16.1%,467,22.8%,0,0.0%,0,0.0%,,
Postal services and pipelines,89,7.8%,67032,66.8%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Banks,62,6.6%,114111,28.3%,6,28.2%,4768,57.5%,0,0.0%,0,0.0%,,
"Feed, flour, seed and grain",19,24.6%,299,20.7%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Telecommunications and broadcasting,335,6.5%,77419,52.6%,38,17.9%,11532,28.2%,8,46.3%,77,41.6%,,
Others: fisheries and mines,276,8.8%,28208,11.4%,30,8.6%,3689,16.9%,0,0.0%,0,0.0%,,
Company size,,,,,,,,,,,,,,
1 employee (road transport only),207,22.8%,207,22.8%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
1 to 5 employees,1131,7.2%,2611,7.9%,8,40.6%,23,40.6%,0,0.0%,0,0.0%,,
6 to 19 employees,457,7.4%,4412,6.9%,71,11.1%,684,10.7%,8,46.3%,77,41.6%,,
20 to 99 employees,213,6.4%,10567,6.9%,41,14.2%,1730,15.8%,0,0.0%,0,0.0%,,
100 or more employees,254,5.5%,360698,19.4%,18,16.5%,18997,22.7%,0,0.0%,0,0.0%,,
Unionization,,,,,,,,,,,,,,
Companies(1) with unionized employees,270,6.1%,196952,31.3%,9,21.1%,2605,21.3%,0,0.0%,0,0.0%,,
Companies(1) with no unionized employees,1785,5.0%,181337,18.2%,128,8.2%,18829,22.7%,8,46.3%,77,41.6%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 31",,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,
