"Federal Jurisdiction Workplace Survey 2004 Table 34: Vacation leave most frequently given to permanent employees working 30 or more hours per week with 3 years of continuous service as at survey date,(Averages weighted by companies)",,,,,,,,,,,,,,
, Number of companies (1) from the employer’s perspective giving ?15 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?15 days of annual vacation ,Q, Number of companies (1) from the employer’s perspective giving ?20 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?20 days of annual vacation ,Q, Number of companies (1) from the employer’s perspective giving ?25 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?25 days of annual vacation ,Q,,
Overall,3897,3.1%,607707,15.0%,1074,7.4%,66180,34.7%,18,34.4%,284,44.0%,,
Region,,,,,,,,,,,,,,
Atlantic,318,4.5%,45821,18.5%,75,10.5%,893,18.0%,0,0.0%,0,0.0%,,
Quebec,1580,6.1%,118387,33.4%,690,10.8%,25534,39.1%,0,0.0%,0,0.0%,,
Ontario,563,6.1%,255070,30.8%,90,14.3%,30397,67.5%,10,49.2%,207,58.4%,,
West and Territories,1435,4.4%,188429,11.8%,218,10.7%,9356,30.0%,8,46.3%,77,41.6%,,
Sector,,,,,,,,,,,,,,
Air transport,428,5.1%,71293,56.8%,92,10.7%,1256,28.1%,3,46.8%,22,46.8%,,
Rail transport,20,9.5%,38837,22.0%,3,28.2%,582,3.6%,0,0.0%,0,0.0%,,
Road transport,1753,6.2%,18186,8.0%,598,12.5%,1818,15.4%,7,65.0%,185,65.0%,,
Maritime transport,373,4.3%,6534,10.5%,121,8.2%,748,18.5%,0,0.0%,0,0.0%,,
Postal services and pipelines,137,6.2%,103119,48.7%,10,30.2%,41,31.8%,0,0.0%,0,0.0%,,
Banks,103,3.2%,214373,17.3%,20,14.5%,44455,51.1%,0,0.0%,0,0.0%,,
"Feed, flour, seed and grain",40,14.4%,957,22.5%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
Telecommunications and broadcasting,581,4.8%,122127,42.3%,49,14.8%,11690,27.8%,8,46.3%,77,41.6%,,
Others: fisheries and mines,462,7.5%,32282,10.1%,181,12.7%,5590,12.2%,0,0.0%,0,0.0%,,
Company size,,,,,,,,,,,,,,
1 employee (road transport only),664,12.4%,664,12.4%,408,16.5%,408,16.5%,0,0.0%,0,0.0%,,
1 to 5 employees,2210,5.0%,4443,5.2%,727,10.3%,1086,9.5%,0,0.0%,0,0.0%,,
6 to 19 employees,858,5.4%,8473,5.0%,244,10.3%,2121,9.3%,10,36.3%,99,34.1%,,
20 to 99 employees,425,5.1%,19770,5.2%,64,13.2%,2311,13.8%,7,65.0%,185,65.0%,,
100 or more employees,403,4.0%,575021,15.8%,39,11.2%,60662,37.9%,0,0.0%,0,0.0%,,
Unionization,,,,,,,,,,,,,,
Companies(1) with unionized employees,451,4.5%,326633,26.0%,24,19.5%,3346,16.8%,0,0.0%,0,0.0%,,
Companies(1) with no unionized employees,3446,3.5%,281073,12.7%,1050,7.6%,62834,36.6%,18,34.4%,284,44.0%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 31",,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,
