Federal Jurisdiction Workplace Survey 2004 Table 36: Vacation leave most frequently given to permanent employees working 30 or more hours per week with 10 years of continuous service as at survey date,,,,,,,,,,,,,,
, Number of companies (1) from the employer’s perspective giving ?15 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?15 days of annual vacation ,Q, Number of companies (1) from the employer’s perspective giving ?20 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?20 days of annual vacation ,Q, Number of companies (1) from the employer’s perspective giving ?25 days of annual vacation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ?25 days of annual vacation ,Q,,
Overall,10506,1.6%,823930,11.5%,5918,2.1%,712878,13.0%,721,4.5%,18974,17.0%,,
Region,,,,,,,,,,,,,,
Atlantic,979,2.8%,64578,14.0%,615,3.6%,58571,15.4%,42,16.4%,708,14.0%,,
Quebec,3628,3.1%,178984,22.2%,1971,4.3%,150639,26.4%,201,6.3%,4938,9.0%,,
Ontario,2457,3.0%,329073,24.4%,1283,3.4%,283901,27.8%,254,8.4%,5135,11.9%,,
West and Territories,3442,2.9%,251295,12.2%,2049,3.7%,219766,11.6%,223,8.8%,8194,38.2%,,
Sector,,,,,,,,,,,,,,
Air transport,1172,2.5%,94573,44.6%,919,2.9%,87502,48.3%,221,7.5%,2291,18.9%,,
Rail transport,37,6.1%,52105,16.6%,27,8.5%,44452,18.4%,6,27.3%,5497,56.2%,,
Road transport,5718,2.7%,96206,4.8%,2479,4.3%,60654,4.5%,174,11.6%,3976,12.1%,,
Maritime transport,566,3.3%,15608,17.8%,523,3.6%,14214,20.1%,74,7.6%,1201,13.3%,,
Postal services and pipelines,407,3.4%,116362,45.5%,242,4.7%,104989,47.8%,52,12.0%,232,12.9%,,
Banks,118,2.2%,249734,16.0%,107,2.9%,222553,16.8%,7,30.1%,836,29.6%,,
"Feed, flour, seed and grain",317,3.2%,11799,16.6%,203,4.5%,4638,11.3%,16,16.2%,144,30.3%,,
Telecommunications and broadcasting,1272,2.8%,152857,34.4%,881,3.8%,141674,37.1%,99,12.3%,1521,11.6%,,
Others: fisheries and mines,899,5.3%,34686,9.4%,537,6.8%,32201,10.1%,71,16.5%,3274,17.1%,,
Company size,,,,,,,,,,,,,,
1 employee (road transport only),1712,6.6%,1712,6.6%,740,11.2%,740,11.2%,0,0.0%,0,0.0%,,
1 to 5 employees,5725,2.7%,12005,2.9%,2729,4.0%,5600,3.5%,246,7.1%,583,7.9%,,
6 to 19 employees,2479,2.7%,26034,2.7%,1458,3.5%,14931,3.5%,315,7.6%,2966,7.5%,,
20 to 99 employees,1659,2.6%,71662,2.9%,1184,3.1%,52054,3.4%,139,9.3%,5665,10.2%,,
100 or more employees,644,3.3%,714228,13.3%,548,3.6%,640292,14.5%,22,14.7%,9760,32.4%,,
Unionization,,,,,,,,,,,,,,
Companies(1) with unionized employees,1005,3.3%,408562,21.5%,787,3.6%,365946,23.5%,53,12.6%,8498,36.9%,,
Companies(1) with no unionized employees,9502,1.8%,415368,9.9%,5131,2.4%,346932,11.1%,668,4.8%,10476,7.2%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 31",,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,
