Federal Jurisdiction Workplace Survey 2004 Table 39: Annual paid family-related and/or personal leave most frequently given to permanent employees working 30 or more hours per week as at survey date,,,,,,,,,,,,,,,,,,,,,,
, Number of companies (1) from the employer’s perspective giving 0 days of annual paid family-related and/or personal leave ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving 0 days of annual paid family-related and/or personal leave ,Q, Number of companies (1) from the employer’s perspective giving ? 5 days of annual paid family-related and/or personal leave ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ? 5 days of annual paid family-related and/or personal leave ,Q, Number of companies (1) from the employer’s perspective giving ? 10 days of annual paid family-related and/or personal leave ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ? 10 days of annual paid family-related and/or personal leave ,Q, Number of companies (1) from the employer’s perspective giving ? 15 days of annual paid family-related and/or personal leave ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving ? 15 days of annual paid family-related and/or personal leave ,Q, Number of companies (1) from the employer’s perspective giving >15 days of annual paid family-related and/or personal leave ,Q, Number of employees from the employer’s perspective working (8) for companies (1) giving >15 days of annual paid family-related and/or personal leave ,Q,,
Overall,10070,1.7%,580238,14.3%,11532,1.5%,828343,11.6%,11767,1.5%,839468,11.5%,11874,1.5%,839898,11.5%,41,37.1%,205,33.9%,,
Region,,,,,,,,,,,,,,,,,,,,,,
Atlantic,1030,2.9%,48784,18.7%,1239,2.4%,65844,13.7%,1257,2.4%,65902,13.7%,1257,2.4%,65902,13.7%,0,0.0%,0,0.0%,,
Quebec,3404,3.3%,136545,27.0%,3653,3.1%,179815,22.1%,3682,3.1%,180605,22.0%,3725,3.0%,180834,22.0%,0,0.0%,0,0.0%,,
Ontario,2501,3.1%,224780,30.6%,3066,2.7%,325681,24.6%,3111,2.6%,335530,23.9%,3114,2.6%,335599,23.9%,34,44.8%,136,49.9%,,
West and Territories,3134,3.2%,170129,16.1%,3573,2.9%,257003,13.5%,3717,2.8%,257432,13.5%,3779,2.8%,257563,13.5%,7,21.3%,69,21.3%,,
Sector,,,,,,,,,,,,,,,,,,,,,,
Air transport,965,3.0%,27891,63.0%,1217,2.5%,99819,45.2%,1253,2.4%,100094,45.1%,1256,2.4%,100109,45.1%,6,43.7%,108,61.3%,,
Rail transport,36,6.5%,45975,17.8%,37,6.1%,52105,16.6%,37,6.1%,52105,16.6%,37,6.1%,52105,16.6%,0,0.0%,0,0.0%,,
Road transport,5993,2.6%,88650,5.0%,6510,2.5%,103285,4.6%,6546,2.5%,103989,4.6%,6603,2.5%,104151,4.6%,28,53.2%,28,53.2%,,
Maritime transport,507,3.7%,13910,20.2%,574,3.3%,15263,18.2%,600,3.2%,15863,17.5%,600,3.2%,15863,17.5%,0,0.0%,0,0.0%,,
Postal services and pipelines,445,3.3%,87470,58.0%,511,3.1%,116544,45.5%,520,3.0%,116680,45.4%,520,3.0%,116680,45.4%,7,21.3%,69,21.3%,,
Banks,68,5.8%,171218,20.5%,118,2.2%,249734,16.0%,118,2.2%,249734,16.0%,118,2.2%,249734,16.0%,0,0.0%,0,0.0%,,
"Feed, flour, seed and grain",326,3.2%,11598,16.9%,364,2.9%,12166,16.1%,364,2.9%,12166,16.1%,364,2.9%,12166,16.1%,0,0.0%,0,0.0%,,
Telecommunications and broadcasting,1033,3.3%,124207,41.9%,1296,2.7%,152831,34.4%,1320,2.6%,153003,34.3%,1345,2.6%,153203,34.3%,0,0.0%,0,0.0%,,
Others: fisheries and mines,697,6.2%,9319,10.2%,904,5.2%,26596,6.7%,1008,5.1%,35836,9.2%,1030,5.0%,35887,9.1%,0,0.0%,0,0.0%,,
Company size,,,,,,,,,,,,,,,,,,,,,,
1 employee (road transport only),1849,6.3%,1849,6.3%,1969,6.0%,1969,6.0%,1969,6.0%,1969,6.0%,1997,6.0%,1997,6.0%,28,53.2%,28,53.2%,,
1 to 5 employees,5880,2.7%,12474,2.9%,6479,2.5%,13751,2.7%,6628,2.5%,13978,2.6%,6714,2.5%,14164,2.6%,28,53.2%,28,53.2%,,
6 to 19 employees,2323,2.9%,23992,2.9%,2710,2.6%,28227,2.6%,2770,2.6%,28824,2.6%,2788,2.6%,28998,2.5%,10,20.1%,85,19.4%,,
20 to 99 employees,1397,3.0%,59909,3.3%,1672,2.6%,71743,2.9%,1696,2.6%,72975,2.9%,1699,2.6%,73043,2.9%,3,71.7%,92,71.7%,,
100 or more employees,470,4.0%,483863,17.2%,670,3.3%,714620,13.5%,673,3.3%,723692,13.3%,673,3.3%,723692,13.3%,0,0.0%,0,0.0%,,
Unionization,,,,,,,,,,,,,,,,,,,,,,
Companies(1) with unionized employees,765,4.0%,280572,27.4%,1007,3.3%,405722,22.0%,1037,3.2%,415514,21.5%,1042,3.2%,415598,21.5%,3,71.7%,92,71.7%,,
Companies(1) with no unionized employees,9304,1.8%,299667,11.8%,10525,1.7%,422620,9.7%,10730,1.6%,423955,9.7%,10833,1.6%,424300,9.7%,38,39.6%,113,19.7%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 32",,,,,,,,,,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,,,,,,,,,
