Federal Jurisdiction Workplace Survey 2004 Table 44: Companies with specified policies/programs as at survey date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Number of companies (1) from the employer’s perspective with employee performance evaluation ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with employee performance evaluation ,Q, Number of companies (1) from the employer’s perspective with workplace health and safety program ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with workplace health and safety program ,Q, Number of companies (1) from the employer’s perspective with physical health or fitness promotion ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with physical health or fitness promotion ,Q, Number of companies (1) from the employer’s perspective with mental or psychological health promotion ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with mental or psychological health promotion ,Q, Number of companies (1) from the employer’s perspective with program on psychological harassment in the workplace ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with program on psychological harassment in the workplace ,Q, Number of companies (1) from the employer’s perspective with policy on sexual harassment in the workplace ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with policy on sexual harassment in the workplace ,Q, Number of companies (1) from the employer’s perspective with appeal process against decision related to harassment ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with appeal process against decision related to harassment ,Q, Number of companies (1) from the employer’s perspective with appeal process against dismissal ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with appeal process against dismissal ,Q, Number of companies (1) from the employer’s perspective with dispute or grievance review process ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with dispute or grievance review process ,Q, Number of companies (1) from the employer’s perspective with progressive disciplinary procedure ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with progressive disciplinary procedure ,Q, Number of companies (1) from the employer’s perspective with severance pay entitlement for laid-off employees ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with severance pay entitlement for laid-off employees ,Q, Number of companies (1) from the employer’s perspective with none of the previous policies ,Q, Number of employees from the employer’s perspective working (8) for companies (1) with none of the previous policies ,Q,,
Overall,3846,2.3%,700107,13.3%,5991,1.9%,766409,11.3%,746,4.1%,325906,21.3%,730,4.3%,405255,18.1%,1765,2.8%,589142,15.7%,2640,2.3%,729646,13.0%,1476,3.0%,567878,15.2%,1027,3.8%,357030,20.4%,1463,3.1%,540681,16.1%,2237,2.5%,569673,14.4%,1929,2.7%,459861,14.9%,5165,2.9%,37010,47.1%,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,385,4.5%,39397,21.6%,687,3.2%,60217,15.1%,88,8.6%,22872,22.4%,62,9.4%,24612,17.2%,195,5.7%,32215,15.4%,339,4.5%,43671,11.7%,175,5.9%,36826,13.8%,138,6.9%,27309,19.0%,154,5.9%,35778,14.1%,223,5.2%,38553,13.3%,200,5.9%,34661,18.1%,531,4.7%,5084,15.2%,,
Quebec,914,5.2%,143659,26.3%,1456,4.0%,165552,24.0%,156,6.4%,60191,40.3%,148,6.3%,68924,35.5%,465,4.2%,126213,31.5%,511,3.9%,147487,27.0%,267,5.3%,94730,27.3%,236,7.3%,72057,39.5%,338,6.2%,101667,28.1%,627,4.2%,132097,30.1%,493,4.8%,98044,39.5%,1998,5.3%,9729,8.7%,,
Ontario,1213,4.0%,304646,26.4%,1671,3.3%,302740,23.3%,280,8.2%,168067,38.1%,237,7.7%,200094,33.9%,474,5.6%,256132,30.9%,814,4.3%,311998,25.8%,443,5.4%,242678,32.1%,264,8.7%,127766,48.4%,393,6.1%,204701,37.3%,622,5.1%,221750,30.3%,590,5.3%,182368,28.6%,1304,5.3%,7608,21.5%,,
West and Territories,1334,4.0%,212405,12.1%,2177,3.5%,237900,12.7%,222,7.3%,74777,14.1%,284,8.1%,111625,12.6%,631,5.6%,174581,14.8%,976,4.2%,226490,13.4%,591,5.6%,193644,13.3%,389,6.5%,129898,19.1%,578,5.3%,198535,15.2%,765,4.4%,177273,14.0%,646,4.7%,144789,14.9%,1332,6.0%,14589,118.6%,,
Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air transport,508,4.2%,68671,58.8%,908,3.0%,96862,46.6%,78,11.8%,7732,49.2%,129,9.4%,51003,75.1%,282,5.8%,82052,55.0%,426,4.7%,89055,50.5%,264,6.0%,72160,59.9%,142,9.0%,34129,72.8%,245,6.3%,83583,53.9%,322,5.3%,87320,51.6%,362,5.0%,81665,53.3%,273,6.2%,1554,7.5%,,
Rail transport,33,8.9%,44847,21.2%,32,9.4%,48582,18.8%,27,8.1%,40498,21.6%,25,8.0%,40478,21.6%,25,11.5%,47766,19.2%,28,10.1%,48348,18.9%,23,9.2%,44311,18.9%,22,9.6%,38181,20.6%,25,8.6%,38763,20.3%,27,10.9%,42218,20.6%,24,8.6%,40394,20.7%,3,64.2%,2842,54.4%,,
Road transport,1472,4.9%,49431,8.2%,2773,3.5%,86366,5.5%,141,11.4%,16614,12.4%,157,13.8%,18832,11.2%,486,6.6%,37335,11.3%,833,5.1%,53364,8.2%,333,7.0%,32290,13.0%,340,7.5%,27144,14.3%,461,6.8%,33607,12.4%,976,4.4%,58113,7.7%,664,5.6%,40726,10.5%,3610,4.0%,14172,7.0%,,
Maritime transport,220,5.6%,8279,9.4%,420,4.1%,14607,19.0%,92,9.4%,8973,31.8%,46,12.9%,2088,15.5%,103,8.5%,9683,29.3%,164,6.9%,10909,26.1%,88,9.1%,9709,28.4%,87,10.3%,7824,34.9%,101,9.1%,9649,28.6%,120,7.8%,9905,28.7%,99,9.0%,9341,29.4%,154,7.4%,1026,15.5%,,
Postal services and pipelines,192,5.2%,102772,48.8%,246,4.4%,104083,48.2%,49,10.8%,76491,61.8%,43,11.1%,69253,68.6%,98,7.0%,77952,60.6%,166,5.3%,98344,50.6%,77,8.2%,71054,66.7%,48,10.9%,67103,70.7%,70,9.0%,85037,58.9%,121,6.2%,79881,59.1%,98,6.9%,41462,57.1%,230,5.0%,12150,142.5%,,
Banks,118,2.2%,249734,16.0%,102,3.2%,248418,16.1%,28,12.5%,72465,34.2%,37,10.4%,127398,26.0%,72,5.7%,173026,21.3%,105,3.2%,248791,16.1%,80,4.8%,189942,18.3%,53,7.3%,107011,20.0%,67,5.6%,167034,18.5%,74,5.3%,193770,18.5%,63,6.5%,124141,24.7%,0,0.0%,0,0.0%,,
"Feed, flour, seed and grain",138,6.4%,3133,10.2%,280,3.6%,11363,17.3%,40,14.0%,1334,18.6%,30,15.8%,1033,21.4%,106,7.2%,8445,23.1%,131,6.8%,9230,21.3%,63,13.0%,7283,27.1%,41,16.7%,1302,22.2%,90,9.2%,8091,24.2%,114,6.6%,3024,10.3%,96,8.4%,2688,12.2%,68,6.8%,541,6.5%,,
Telecommunications and broadcasting,670,4.3%,140495,37.4%,650,4.5%,121872,29.2%,179,10.4%,73871,58.6%,183,8.7%,68723,32.4%,356,5.9%,122104,43.0%,496,4.6%,139850,37.5%,310,6.1%,114555,39.0%,160,9.3%,60656,71.2%,265,7.1%,94769,47.2%,328,6.8%,67813,48.5%,413,5.8%,93101,37.6%,450,6.3%,3503,11.6%,,
Others: fisheries and mines,496,6.5%,32745,10.0%,581,6.1%,34256,9.6%,112,9.4%,27930,11.7%,82,5.2%,26447,12.3%,236,9.6%,30778,10.6%,289,8.2%,31755,10.3%,239,10.6%,26575,11.9%,133,13.5%,13679,20.6%,138,11.2%,20148,15.1%,155,7.6%,27628,11.7%,110,9.6%,26343,12.2%,378,9.5%,1221,9.5%,,
Company size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employee (road transport only),174,17.7%,174,17.7%,525,12.0%,525,12.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,33,26.4%,33,26.4%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,33,26.4%,33,26.4%,46,21.3%,46,21.3%,17,52.0%,17,52.0%,1488,7.2%,1488,7.2%,,
1 to 5 employees,1132,5.7%,2865,6.6%,2095,4.3%,4787,4.4%,159,12.0%,448,12.8%,108,15.5%,292,13.9%,286,8.5%,749,8.9%,449,7.4%,1200,8.2%,204,10.3%,548,11.5%,243,10.1%,666,11.5%,284,9.6%,735,12.4%,377,8.3%,939,10.1%,309,8.9%,916,10.4%,4349,3.4%,8568,3.6%,,
6 to 19 employees,1263,3.9%,13087,3.7%,1918,3.2%,20516,3.2%,173,9.6%,1792,9.8%,146,11.3%,1451,10.2%,533,6.4%,5438,5.6%,841,4.7%,8937,4.4%,447,6.8%,4697,6.1%,304,7.4%,3348,7.5%,365,6.5%,4188,6.5%,652,4.9%,7368,5.1%,609,4.9%,6551,4.8%,604,6.2%,5870,6.0%,,
20 to 99 employees,942,3.8%,44304,4.0%,1332,3.1%,60114,3.3%,223,6.6%,11489,6.7%,209,7.4%,11146,7.0%,490,4.7%,22610,5.0%,766,3.8%,37275,4.1%,386,5.3%,19628,5.6%,245,7.4%,11827,8.3%,391,6.0%,18666,6.1%,748,4.1%,35079,4.4%,616,4.7%,29329,4.9%,202,8.6%,6892,9.9%,,
100 or more employees,508,3.7%,639851,14.5%,646,3.4%,680992,12.8%,191,6.3%,312178,22.3%,268,5.6%,392366,18.7%,456,4.2%,560344,16.5%,585,3.5%,682234,13.9%,440,4.3%,543006,15.9%,235,5.6%,341189,21.3%,422,4.1%,517092,16.8%,461,3.9%,526287,15.6%,395,4.5%,423065,16.3%,11,31.9%,15680,111.0%,,
Unionization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companies(1) with unionized employees,515,4.3%,337453,25.2%,871,3.4%,373879,20.9%,185,6.7%,224170,29.9%,226,6.1%,235923,28.3%,473,4.4%,313757,26.8%,627,3.7%,382475,22.8%,477,4.5%,320316,25.0%,372,5.2%,242857,29.5%,617,4.0%,329248,25.1%,607,4.0%,308451,24.6%,524,4.4%,248151,24.3%,121,13.0%,15315,113.5%,,
Companies(1) with no unionized employees,3331,2.6%,362654,11.3%,5120,2.2%,392530,10.5%,560,5.1%,101736,19.9%,505,5.6%,169332,19.6%,1292,3.6%,275385,14.4%,2013,2.8%,347170,11.8%,999,4.0%,247563,14.2%,654,5.3%,114173,13.2%,846,4.6%,211433,14.5%,1630,3.1%,261222,13.0%,1404,3.3%,211711,15.9%,5044,3.0%,21695,5.0%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Question 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
