Federal Jurisdiction Workplace Survey 2004 Table 5: Number of employees by length of service with company (1) (3),,,,,,,,,,,,,,
Area,Sector,Size, Less than 1 year ,Q, 1 year or more but less than 5 years ,Q, 5 years or more but less than 10 years ,Q, 10 years or more ,Q, Total ,Q,,
Canada,Total all sectors,Total all size categories,103178,13.1%,250350,10.9%,146081,12.4%,340493,14.2%,840103,11.5%,499610,
,,1-5 employees,2948,5.3%,4419,4.4%,2782,5.0%,4043,4.4%,14192,2.6%,59.5%,
,,6-19 employees,6758,3.7%,11227,3.2%,5843,3.3%,5256,3.7%,29083,2.5%,,
,,20-99 employees,16104,3.9%,28325,3.3%,13290,3.6%,15417,3.8%,73135,2.9%,,
,,100+ employees,77368,17.4%,206380,13.3%,124167,14.6%,315776,15.3%,723692,13.3%,,
,Air transport,Total all size categories,12740,37.6%,27678,47.4%,20047,36.0%,39752,62.2%,100217,45.0%,,
,,1-5 employees,293,8.8%,518,7.9%,397,8.9%,371,8.9%,1580,5.3%,,
,,6-19 employees,901,6.7%,1455,6.3%,655,7.6%,619,7.7%,3630,4.9%,,
,,20-99 employees,1914,7.8%,3883,8.2%,2020,8.8%,1577,11.6%,9394,6.9%,,
,,100+ employees,9632,49.7%,21823,60.2%,16974,42.6%,37185,66.6%,85613,52.8%,,
,Rail transport,Total all size categories,1018,22.5%,6217,15.0%,6310,16.1%,38560,17.6%,52105,16.6%,,
,,1-5 employees,...,...,...,...,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,1001,23.0%,6157,15.2%,6249,16.2%,38538,17.6%,51944,16.6%,,
,Road transport,Total all size categories,23245,4.4%,36684,3.8%,18525,5.6%,25726,10.4%,104179,4.6%,,
,,1 employee,328,14.0%,418,13.4%,375,15.5%,903,9.8%,2024,5.9%,,
,,1-5 employees,1868,7.7%,2398,7.4%,1407,8.3%,2558,6.3%,8231,4.0%,,
