Federal Jurisdiction Workplace Survey 2008 Table 11.2b: Various types of combined paid and unpaid leave given to permanent employees working 30 or more hours per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sectors,Types of paid/unpaid leave,Days of leave - 3,Number of regional companies under federal jurisdiction,CV,Total employees working for regional companies under federal jurisdiction,CV,Average weeks,CV,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Combined long-term care giving (paid and unpaid),Employers offering 0 days,"7,713",4.2%,"531,390",9.4%,0.92,24.8%,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering less than 3 weeks,336,16.0%,"8,430",37.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 3 to 8 weeks,235,32.7%,"161,284",16.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 9 to 12 weeks,71,35.3%,"31,881",27.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 13 to 17 weeks,26,34.5%,"53,290",25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering more than 17 weeks,99,36.2%,"33,942",18.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air transport,Combined long-term care giving (paid and unpaid),Employers offering 0 days,789,3.0%,"82,067",18.7%,0.97,11.9%,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering less than 3 weeks,59,15.5%,860,12.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 3 to 8 weeks,40,13.0%,"2,659",26.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 9 to 12 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 13 to 17 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering more than 17 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail transport,Combined long-term care giving (paid and unpaid),Employers offering 0 days,8,17.4%,"16,806",29.0%,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering less than 3 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 3 to 8 weeks,5,21.3%,"19,162",28.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 9 to 12 weeks,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 13 to 17 weeks,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering more than 17 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
