Federal Jurisdiction Workplace Survey 2008 Table 16b: Implementation of policy or program to improve working conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sectors,Working Conditions,Number of regional companies that have a policy or program in place,CV,Number of regional companies that plan to put in place in next 12 months,CV,Number of regional companies that have no plan to put in place in next 12 months,CV,Number of employees working for regional companies that have a policy or program in place,CV,Number of employees working for regional companies that plan to put in place in next 12 months,CV,Number of employees working for regional companies that have no plan to put in place in next 12 months,CV,,,,,,,,,,,,,,,,,,,,
Total all sectors,Workplace health and safety,"3,736",5.7%,533,14.0%,"4,212",6.6%,"718,694",7.5%,"61,744",25.2%,"39,779",19.2%,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,929,10.0%,181,27.7%,"7,371",4.3%,"530,032",9.7%,"59,232",26.1%,"230,953",8.7%,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,694,11.6%,268,11.3%,"7,519",4.3%,"470,163",10.9%,"81,538",20.0%,"268,516",8.2%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,738,16.2%,218,18.0%,"7,525",4.2%,"469,505",10.3%,"70,448",22.5%,"280,263",9.9%,,,,,,,,,,,,,,,,,,,,
,Child care support,119,21.6%,43,50.2%,"8,318",4.0%,"311,069",16.4%,580,21.4%,"508,567",5.7%,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,"1,568",10.4%,261,17.7%,"6,652",4.5%,"477,014",10.5%,"67,770",23.8%,"275,432",9.1%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,"2,020",6.2%,259,15.3%,"6,201",5.1%,"712,090",7.7%,"56,538",27.3%,"51,587",4.8%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,"1,115",6.3%,106,25.4%,"7,259",4.5%,"667,952",8.2%,"51,912",29.6%,"100,352",3.7%,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,"1,242",5.8%,293,16.0%,"6,946",4.7%,"663,211",8.2%,"63,402",24.5%,"93,602",6.8%,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,"1,053",5.5%,168,25.1%,"7,259",4.5%,"627,830",8.7%,"54,830",28.1%,"137,556",7.6%,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,692,10.2%,171,19.8%,"7,617",4.3%,"524,446",9.7%,"51,091",30.1%,"244,679",9.4%,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,938,10.0%,292,13.0%,"7,251",4.4%,"622,649",8.8%,"52,980",29.0%,"144,588",5.6%,,,,,,,,,,,,,,,,,,,,
Air transport,Workplace health and safety,574,3.8%,127,10.6%,205,9.6%,"45,169",12.0%,"48,940",31.4%,945,9.7%,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,89,11.5%,35,15.4%,783,3.1%,"9,830",13.6%,"47,404",32.4%,"37,821",14.2%,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,93,10.1%,27,13.8%,787,3.0%,"15,946",12.6%,"48,570",31.6%,"30,538",17.0%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,84,12.5%,21,25.8%,801,3.0%,"17,648",29.1%,"47,822",32.1%,"29,585",7.9%,,,,,,,,,,,,,,,,,,,,
,Child care support,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,254,6.4%,29,20.5%,623,3.9%,"22,725",23.1%,"47,342",32.5%,"24,988",8.2%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,305,4.9%,33,18.9%,568,4.2%,"39,862",13.6%,"49,492",31.1%,"5,701",5.7%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,159,6.5%,17,17.7%,730,3.3%,"30,799",17.5%,"48,028",32.0%,"16,228",9.1%,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,156,5.1%,42,11.1%,708,3.3%,"31,682",17.2%,"51,537",29.8%,"11,835",9.5%,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,137,7.3%,32,13.0%,737,3.2%,"27,483",19.3%,"48,207",31.9%,"19,365",8.6%,,,,,,,,,,,,,,,,,,,,
Rail transport,Workplace health and safety,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
