Federal Jurisdiction Workplace Survey 2008 Table 20a: Pre-retirement Arrangements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regions,Pre-retirement Arrangements,Number of regional companies that have arrangements in place,CV,Number of regional companies that plan to put in place in next 12 months,CV,Number of regional companies that have no plan to put in place in next 12 months,CV,Number of employees working for regional companies that have arrangements in place,CV,Number of employees working for regional companies that plan to put in place in next 12 months,CV,Number of employees working for regional companies that have no plan to put in place in next 12 months,CV,,,,,,,,,,,,,,,,,,,,
Canada,Early retirement without penalty in pension benefits,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Retirement preparation training,349,12.8%,149,7.7%,"7,982",4.1%,"335,969",12.6%,"122,605",20.4%,"361,642",9.0%,,,,,,,,,,,,,,,,,,,,
,Work shorter week without penalty in future pension benefits,297,28.5%,196,33.2%,"7,988",4.0%,"264,664",17.0%,"43,469",15.8%,"512,083",7.1%,,,,,,,,,,,,,,,,,,,,
,Work part-time while collecting partial pension,336,21.4%,184,28.0%,"7,961",4.1%,"77,442",19.2%,"64,345",24.2%,"678,428",7.9%,,,,,,,,,,,,,,,,,,,,
,Other,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
Atlantic,Early retirement without penalty in pension benefits,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Retirement preparation training,54,20.1%,20,20.3%,672,4.9%,"23,949",9.7%,"7,237",50.0%,"38,504",7.9%,,,,,,,,,,,,,,,,,,,,
,Work shorter week without penalty in future pension benefits,X,X,X,X,X,X,X,X,X,X,"47,597",7.2%,,,,,,,,,,,,,,,,,,,,
,Work part-time while collecting partial pension,60,13.0%,8,32.4%,677,4.9%,"9,593",1.0%,"1,969",63.9%,"58,128",7.8%,,,,,,,,,,,,,,,,,,,,
,Other,X,X,0,,X,X,X,X,0,,X,X,,,,,,,,,,,,,,,,,,,,
Quebec,Early retirement without penalty in pension benefits,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Retirement preparation training,91,14.1%,35,17.9%,"1,634",6.7%,"85,399",16.5%,"14,797",35.6%,"67,016",15.6%,,,,,,,,,,,,,,,,,,,,
,Work shorter week without penalty in future pension benefits,125,14.8%,X,X,X,X,"58,610",19.0%,X,X,"101,641",14.1%,,,,,,,,,,,,,,,,,,,,
,Work part-time while collecting partial pension,108,17.7%,42,19.8%,"1,611",6.9%,"22,654",38.1%,"15,743",47.2%,"128,814",10.9%,,,,,,,,,,,,,,,,,,,,
,Other,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
Ontario,Early retirement without penalty in pension benefits,X,X,15,233.3%,X,X,X,X,"2,658",35.2%,X,X,,,,,,,,,,,,,,,,,,,,
,Retirement preparation training,120,19.1%,49,13.4%,"2,324",7.6%,"126,070",29.4%,"52,964",35.9%,"142,329",19.1%,,,,,,,,,,,,,,,,,,,,
,Work shorter week without penalty in future pension benefits,80,70.9%,38,152.2%,"2,374",7.2%,"112,477",36.2%,"12,019",20.6%,"196,868",14.3%,,,,,,,,,,,,,,,,,,,,
,Work part-time while collecting partial pension,101,56.3%,33,145.7%,"2,359",7.3%,"17,576",38.5%,"24,842",44.0%,"278,947",16.8%,,,,,,,,,,,,,,,,,,,,
,Other,X,X,0,,X,X,X,X,0,,X,X,,,,,,,,,,,,,,,,,,,,
West and Territories,Early retirement without penalty in pension benefits,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Retirement preparation training,84,41.2%,46,12.3%,"3,352",7.5%,"100,550",14.1%,"47,608",31.1%,"113,792",12.5%,,,,,,,,,,,,,,,,,,,,
,Work shorter week without penalty in future pension benefits,X,X,X,X,"3,332",7.4%,X,X,X,X,"165,978",10.8%,,,,,,,,,,,,,,,,,,,,
,Work part-time while collecting partial pension,67,57.7%,101,16.0%,"3,313",7.6%,"27,620",36.2%,"21,791",37.5%,"212,539",9.7%,,,,,,,,,,,,,,,,,,,,
,Other,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV:,0.00% - 4.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.00% - 9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.00% - 14.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.00% - 24.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.00 - 34.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greater than 35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbols:                      , … not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
