Table 21   Labour Relations,,,,,,,,,,,,,,,,,,,,,,,,,,
Regions,Size,Unionization,Number of regional Companies under federal jurisdiction ,CV,Very good (Companies),CV,Good (Companies),CV,Fair (Companies),CV,Poor (Companies) ,CV,Very poor (Companies),CV,Total employees working for regional Companies under federal jurisdiction,CV,Very good (Employees),CV,Good (Employees),CV,Fair (Employees),CV,Poor (Employees),CV,Very poor (Employees),CV
Canada,Total all size categories,Total,"8,480",3.9%,"5,319",5.7%,"2,664",5.9%,408,18.8%,9,125.0%,81,62.9%,"820,216",6.9%,"344,595",9.6%,"349,813",9.3%,"125,358",28.9%,124,88.6%,325,41.3%
,,Less than 20% of employees covered by a collective agreement,"7,896",4.2%,"5,087",6.0%,"2,360",6.6%,x,x,7,143.6%,x,x,"423,166",9.1%,"218,465",12.4%,"196,866",14.7%,x,x,74,147.1%,x,x
,,From 20% to less than 60% covered,170,8.7%,x,x,85,10.6%,x,x,0,0.0%,0,0.0%,"57,558",9.1%,x,x,"27,089",11.5%,x,x,0,0.0%,0,0.0%
,,60% or more covered,414,6.7%,x,x,219,9.0%,x,x,x,x,x,x,"339,492",12.5%,x,x,"125,859",12.0%,x,x,x,x,x,x
,1-5 employees,Total,"4,511",7.0%,"3,169",9.1%,"1,096",13.2%,x,x,0,0.0%,x,x,"10,037",7.8%,"6,915",10.2%,"2,724",14.7%,x,x,0,0.0%,x,x
,,Less than 20% of employees covered by a collective agreement,"4,460",7.1%,"3,149",9.2%,"1,065",13.6%,x,x,0,0.0%,x,x,"9,896",7.9%,"6,861",10.3%,"2,637",15.2%,x,x,0,0.0%,x,x
,,From 20% to less than 60% covered,12,59.7%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,37,60.8%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,39,19.2%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,105,21.7%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,6-19 employees,Total,"2,129",4.6%,"1,232",7.7%,x,x,x,x,x,x,x,x,"21,394",4.4%,"12,424",7.0%,x,x,x,x,x,x,x,x
,,Less than 20% of employees covered by a collective agreement,"2,035",4.9%,"1,187",8.0%,693,7.4%,148,13.3%,7,143.6%,0,0.0%,"20,287",4.6%,"11,908",7.2%,"6,847",8.8%,"1,458",14.6%,74,147.1%,0,0.0%
,,From 20% to less than 60% covered,20,26.5%,14,34.3%,7,40.6%,0,0.0%,0,0.0%,0,0.0%,263,27.6%,174,35.3%,88,43.4%,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,73,18.9%,31,39.5%,x,x,x,x,0,0.0%,x,x,844,22.4%,342,49.4%,x,x,x,x,0,0.0%,x,x
,20-99 employees,Total,"1,259",3.6%,677,5.8%,528,5.9%,x,x,x,x,0,0.0%,"53,861",4.0%,"26,835",6.5%,"24,535",6.3%,x,x,x,x,0,0.0%
,,Less than 20% of employees covered by a collective agreement,"1,070",4.0%,605,6.2%,427,6.5%,38,29.2%,0,0.0%,0,0.0%,"44,615",4.4%,"23,147",6.8%,"19,630",7.2%,"1,839",33.7%,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,69,13.5%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,"3,161",18.2%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,120,15.0%,x,x,x,x,x,x,x,x,0,0.0%,"6,084",15.5%,x,x,x,x,x,x,x,x,0,0.0%
,100+ employees,Total,581,4.0%,240,6.7%,x,x,x,x,0,0.0%,x,x,"734,924",7.7%,"298,421",11.1%,x,x,x,x,0,0.0%,x,x
,,Less than 20% of employees covered by a collective agreement,330,5.6%,146,8.8%,175,8.1%,9,25.3%,0,0.0%,0,0.0%,"348,369",11.1%,"176,549",15.4%,"167,753",17.2%,"4,067",23.8%,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,69,11.5%,34,19.6%,x,x,x,x,0,0.0%,0,0.0%,"54,097",9.7%,"27,781",15.3%,x,x,x,x,0,0.0%,0,0.0%
,,60% or more covered,182,8.2%,60,14.1%,x,x,x,x,0,0.0%,x,x,"332,458",12.8%,"94,091",20.1%,x,x,x,x,0,0.0%,x,x
Atlantic,Total all size categories,Total,745,4.4%,473,6.6%,258,8.8%,x,x,x,x,0,0.0%,"69,690",6.7%,"39,527",11.5%,"22,823",11.1%,x,x,x,x,0,0.0%
,,Less than 20% of employees covered by a collective agreement,668,5.0%,432,7.2%,228,9.9%,x,x,x,x,0,0.0%,"30,684",12.8%,"21,111",17.7%,"9,487",23.4%,x,x,x,x,0,0.0%
,,From 20% to less than 60% covered,28,16.3%,18,21.0%,9,33.2%,0,0.0%,0,0.0%,0,0.0%,"22,133",7.6%,"12,479",13.7%,"9,654",0.8%,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,49,10.2%,23,16.7%,21,15.9%,6,29.0%,0,0.0%,0,0.0%,"16,873",14.8%,"5,937",37.2%,"3,682",34.6%,"7,254",2.4%,0,0.0%,0,0.0%
,1-5 employees,Total,x,x,290,9.9%,x,x,x,x,0,0.0%,0,0.0%,x,x,626,10.7%,x,x,x,x,0,0.0%,0,0.0%
,,Less than 20% of employees covered by a collective agreement,404,7.9%,290,9.9%,x,x,x,x,0,0.0%,0,0.0%,944,7.8%,626,10.7%,x,x,x,x,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,x,x,0,0.0%,x,x,0,0.0%,0,0.0%,0,0.0%,x,x,0,0.0%,x,x,0,0.0%,0,0.0%,0,0.0%
,6-19 employees,Total,164,5.6%,99,8.3%,x,x,x,x,x,x,0,0.0%,"1,660",6.7%,967,9.8%,x,x,x,x,x,x,0,0.0%
,,Less than 20% of employees covered by a collective agreement,146,6.0%,88,9.2%,x,x,x,x,x,x,0,0.0%,"1,428",7.3%,844,11.0%,x,x,x,x,x,x,0,0.0%
,,From 20% to less than 60% covered,7,36.3%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,101,38.0%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,11,17.8%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,132,18.0%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,20-99 employees,Total,117,9.8%,54,19.5%,59,10.7%,4,31.8%,0,0.0%,0,0.0%,"5,473",12.3%,"2,628",23.8%,"2,651",11.9%,194,34.3%,0,0.0%,0,0.0%
,,Less than 20% of employees covered by a collective agreement,84,12.9%,36,27.4%,x,x,x,x,0,0.0%,0,0.0%,"3,768",17.0%,"1,714",35.2%,x,x,x,x,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,14,25.1%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,659,23.3%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,20,17.3%,x,x,x,x,x,x,0,0.0%,0,0.0%,"1,046",19.1%,x,x,x,x,x,x,0,0.0%,0,0.0%
,100+ employees,Total,x,x,31,16.2%,x,x,x,x,0,0.0%,0,0.0%,x,x,"35,305",12.8%,x,x,x,x,0,0.0%,0,0.0%
,,Less than 20% of employees covered by a collective agreement,34,14.9%,17,24.4%,17,23.4%,0,0.0%,0,0.0%,0,0.0%,"24,545",15.9%,"17,926",20.6%,"6,619",33.4%,0,0.0%,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,7,39.2%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,"21,373",8.0%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,x,x,x,x,6,30.6%,x,x,0,0.0%,0,0.0%,x,x,x,x,"3,108",40.7%,x,x,0,0.0%,0,0.0%
Quebec,Total all size categories,Total,"1,761",6.3%,"1,291",8.3%,450,11.2%,x,x,0,0.0%,x,x,"167,212",10.4%,"76,817",18.0%,"65,862",16.6%,x,x,0,0.0%,x,x
,,Less than 20% of employees covered by a collective agreement,"1,583",7.0%,"1,223",8.8%,346,14.3%,13,43.0%,0,0.0%,0,0.0%,"80,956",15.9%,"47,919",20.2%,"32,697",28.9%,340,85.7%,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,57,12.3%,18,26.3%,39,13.8%,0,0.0%,0,0.0%,0,0.0%,"9,398",25.9%,"1,926",31.9%,"7,473",31.8%,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,121,12.3%,50,24.3%,65,14.3%,x,x,0,0.0%,x,x,"76,857",15.7%,"26,973",36.7%,"25,692",21.4%,x,x,0,0.0%,x,x
,1-5 employees,Total,x,x,x,x,x,x,x,x,0,0.0%,0,0.0%,x,x,x,x,x,x,x,x,0,0.0%,0,0.0%
,,Less than 20% of employees covered by a collective agreement,806,13.0%,650,15.6%,x,x,x,x,0,0.0%,0,0.0%,"1,887",12.7%,"1,470",15.4%,x,x,x,x,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,x,x,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,x,x,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,6-19 employees,Total,536,6.5%,x,x,x,x,x,x,0,0.0%,x,x,"5,543",7.4%,x,x,x,x,x,x,0,0.0%,x,x
,,Less than 20% of employees covered by a collective agreement,492,7.2%,400,8.4%,x,x,x,x,0,0.0%,0,0.0%,"5,047",8.0%,"4,029",9.2%,x,x,x,x,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,7,38.8%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,91,42.2%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,37,29.4%,x,x,x,x,0,0.0%,0,0.0%,x,x,405,38.2%,x,x,x,x,0,0.0%,0,0.0%,x,x
,20-99 employees,Total,290,6.1%,166,9.1%,118,11.5%,6,54.1%,0,0.0%,0,0.0%,"12,067",8.2%,"6,575",11.5%,"5,152",14.2%,340,84.9%,0,0.0%,0,0.0%
,,Less than 20% of employees covered by a collective agreement,222,7.9%,142,10.2%,x,x,x,x,0,0.0%,0,0.0%,"8,933",10.7%,"5,335",13.6%,x,x,x,x,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,34,16.5%,6,54.4%,28,16.5%,0,0.0%,0,0.0%,0,0.0%,"1,552",19.2%,303,69.3%,"1,249",17.1%,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,34,19.4%,18,26.9%,x,x,x,x,0,0.0%,0,0.0%,"1,583",20.2%,937,21.1%,x,x,x,x,0,0.0%,0,0.0%
,100+ employees,Total,x,x,55,15.5%,x,x,x,x,0,0.0%,0,0.0%,x,x,"64,541",21.4%,x,x,x,x,0,0.0%,0,0.0%
,,Less than 20% of employees covered by a collective agreement,63,16.6%,30,22.5%,33,25.0%,0,0.0%,0,0.0%,0,0.0%,"65,089",19.7%,"37,083",26.0%,"28,005",33.7%,0,0.0%,0,0.0%,0,0.0%
,,From 20% to less than 60% covered,15,21.2%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,"7,756",31.3%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,x,x,x,x,x,x,x,x,0,0.0%,0,0.0%,x,x,x,x,x,x,x,x,0,0.0%,0,0.0%
Ontario,Total all size categories,Total,"2,493",7.2%,"1,503",10.6%,842,13.0%,122,21.7%,x,x,x,x,"321,364",15.0%,"127,504",18.9%,"132,966",18.9%,"60,627",59.2%,x,x,x,x
,,Less than 20% of employees covered by a collective agreement,"2,355",7.6%,"1,458",10.9%,768,14.2%,x,x,x,x,x,x,"168,788",18.1%,"80,353",24.8%,"87,030",27.5%,x,x,x,x,x,x
,,From 20% to less than 60% covered,31,23.6%,x,x,18,30.5%,x,x,0,0.0%,0,0.0%,"11,179",28.5%,x,x,"2,865",25.5%,x,x,0,0.0%,0,0.0%
,,60% or more covered,107,12.5%,x,x,57,19.6%,x,x,0,0.0%,x,x,"141,397",26.9%,x,x,"43,071",17.8%,x,x,0,0.0%,x,x
,1-5 employees,Total,"1,280",13.6%,x,x,x,x,x,x,0,0.0%,x,x,"2,751",16.7%,x,x,x,x,x,x,0,0.0%,x,x
,,Less than 20% of employees covered by a collective agreement,"1,270",13.7%,891,17.3%,x,x,x,x,0,0.0%,x,x,"2,723",16.9%,"1,968",20.5%,x,x,x,x,0,0.0%,x,x
,,From 20% to less than 60% covered,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
,,60% or more covered,10,50.3%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%,29,56.2%,x,x,x,x,0,0.0%,0,0.0%,0,0.0%
,6-19 employees,Total,569,6.6%,x,x,x,x,x,x,x,x,0,0.0%,"5,866",7.7%,x,x,x,x,x,x,x,x,0,0.0%
,,Less than 20% of employees covered by a collective agreement,559,6.7%,284,12.4%,223,13.2%,x,x,x,x,0,0.0%,"5,749",7.8%,"3,101",12.9%,"2,253",16.1%,x,x,x,x,0,0.0%
,,From 20% to less than 60% covered,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
