Table 22  Number of Worksites in operation,,,,,,,,,,,
Regions,Sectors,Size,Number of worksites,CV,Total number of Employees on Sept 30th 2007,CV,,,,,
Canada,Total all sectors,Total all size categories,"29,895",6.7%,"782,200",6.6%,,,,,
,,1-5 employees,"4,198",8.1%,"10,358",7.7%,,,,,
,,6-19 employees,"3,348",8.5%,"19,796",4.8%,,,,,
,,20-99 employees,"3,530",6.2%,"51,384",4.1%,,,,,
,,100+ employees,"18,819",10.4%,"700,662",7.4%,,,,,
,Air transport,Total all size categories,"2,684",4.3%,"93,225",17.4%,,,,,
,,1-5 employees,520,6.9%,"1,062",7.5%,,,,,
,,6-19 employees,397,6.4%,"2,262",4.6%,,,,,
,,20-99 employees,814,7.7%,"7,064",4.3%,,,,,
,,100+ employees,953,9.9%,"82,837",19.6%,,,,,
,Rail transport,Total all size categories,436,15.2%,"40,595",16.8%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,x,x,x,x,,,,,
,,20-99 employees,x,x,x,x,,,,,
,,100+ employees,x,x,x,x,,,,,
,Road transport,Total all size categories,"4,899",6.0%,"86,622",5.8%,,,,,
,,1 employee,588,22.0%,938,22.4%,,,,,
,,1-5 employees,"1,475",15.3%,"4,614",12.5%,,,,,
,,6-19 employees,"1,586",9.9%,"9,284",7.7%,,,,,
,,20-99 employees,972,8.8%,"22,447",8.2%,,,,,
,,100+ employees,866,10.4%,"50,277",9.8%,,,,,
,Maritime transport,Total all size categories,861,5.0%,"16,847",11.1%,,,,,
,,1-5 employees,156,7.8%,393,7.1%,,,,,
,,6-19 employees,145,12.8%,910,6.4%,,,,,
,,20-99 employees,189,6.5%,"3,145",7.6%,,,,,
,,100+ employees,370,10.0%,"12,399",15.0%,,,,,
,Postal services and pipelines,Total all size categories,"6,390",24.6%,"118,335",23.5%,,,,,
,,1-5 employees,303,13.3%,634,12.5%,,,,,
,,6-19 employees,141,22.7%,645,8.2%,,,,,
,,20-99 employees,177,32.3%,"1,078",14.7%,,,,,
,,100+ employees,"5,769",27.3%,"115,977",24.0%,,,,,
,Banks,Total all size categories,"7,238",15.1%,"216,245",14.4%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,x,x,x,x,,,,,
,,20-99 employees,x,x,x,x,,,,,
,,100+ employees,x,x,x,x,,,,,
,"Feed, flour, seed and grain",Total all size categories,"1,386",6.7%,"15,536",6.5%,,,,,
,,1-5 employees,167,15.4%,452,17.6%,,,,,
,,6-19 employees,400,11.0%,"2,322",7.4%,,,,,
,,20-99 employees,373,16.0%,"4,857",8.8%,,,,,
,,100+ employees,445,12.7%,"7,905",12.3%,,,,,
,Telecommunications and broadcasting,Total all size categories,"3,347",8.1%,"146,957",15.3%,,,,,
,,1-5 employees,284,9.5%,772,9.8%,,,,,
,,6-19 employees,297,9.0%,"2,203",6.2%,,,,,
,,20-99 employees,417,15.0%,"6,192",6.4%,,,,,
,,100+ employees,"2,349",11.4%,"137,790",16.3%,,,,,
,Others: fisheries and mines,Total all size categories,"2,654",16.8%,"47,838",18.4%,,,,,
,,1-5 employees,"1,264",19.3%,"2,372",21.8%,,,,,
,,6-19 employees,325,69.3%,"1,834",30.9%,,,,,
,,20-99 employees,464,34.8%,"4,308",17.5%,,,,,
,,100+ employees,602,43.3%,"39,324",22.3%,,,,,
Atlantic,Total all sectors,Total all size categories,"3,018",8.1%,"69,840",6.7%,,,,,
,,1-5 employees,309,9.8%,"1,044",12.2%,,,,,
,,6-19 employees,233,14.0%,"1,518",7.1%,,,,,
,,20-99 employees,355,19.4%,"4,984",13.5%,,,,,
,,100+ employees,"2,121",12.5%,"62,294",7.5%,,,,,
