Federal Jurisdiction Workplace Survey 2008 Table 23c: Distribution of drivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of regional companies employing drivers who are bus drivers only,CV,Number of regional companies employing drivers who are city truck drivers only,CV,Number of regional companies employing drivers who are highway truck drivers only,CV,Number of regional companies employing drivers who are both city and highway truck drivers,CV,Total Number of Employees working for regional companies employing drivers who are bus drivers only,CV,Total Number of Employees working for regional companies employing drivers who are city truck drivers only,CV,Total Number of Employees working for regional companies employing drivers who are highway truck drivers only,CV,Total Number of Employees working for regional companies employing drivers who are both city and highway truck drivers,CV,Total number of drivers employed as bus drivers only,CV,Total number of drivers employed as city truck drivers only,CV,Total number of drivers  employed as highway truck drivers only,CV,Total number of drivers employed as both city and highway truck drivers,CV,Total number of drivers,CV,,,,,,,
Total all size categories,135,24.0%,754,10.2%,"1,604",10.2%,972,12.6%,"10,898",39.6%,"52,010",16.6%,"64,096",14.1%,"63,662",13.5%,"5,807",32.0%,"13,110",22.2%,"17,266",11.0%,"18,938",9.7%,"55,121",8.2%,,,,,,,
1-5 employees,67,38.6%,188,33.1%,668,22.9%,242,45.3%,318,26.3%,549,37.7%,"1,515",27.5%,655,46.9%,193,28.3%,319,32.0%,891,38.7%,303,67.1%,"1,706",23.8%,,,,,,,
6-19 employees,32,51.5%,239,15.8%,594,8.9%,364,13.8%,320,68.9%,"2,676",17.0%,"5,492",11.6%,"3,922",13.8%,215,74.2%,758,13.3%,"2,884",14.3%,"1,603",15.0%,"5,461",9.1%,,,,,,,
20-99 employees,15,45.8%,241,9.2%,246,10.7%,266,10.8%,862,33.8%,"9,618",11.3%,"10,204",13.0%,"11,137",13.7%,529,44.0%,"1,709",15.9%,"4,810",14.1%,"4,938",18.4%,"11,986",9.5%,,,,,,,
100+ employees,21,37.2%,85,16.3%,96,14.3%,100,9.6%,"9,398",45.8%,"39,167",22.0%,"46,886",19.0%,"47,949",17.7%,"4,870",37.7%,"10,324",28.1%,"8,680",20.1%,"12,093",13.3%,"35,968",12.4%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV:,0.00% - 4.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.00% - 9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.00% - 14.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.00% - 24.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.00 - 34.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greater than 35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbols:                      , … not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
