Federal Jurisdiction Workplace Survey 2008 Table 29c: Government Incentives to Promote Policy or Program on Work Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Government Incentives,Number of regional companies that say the incentive is not helpful,CV,Number of regional companies that say the incentive is somewhat helpful,CV,Number of regional companies that say the incentive is very helpful,CV,Number of employees working for regional companies that say the incentive is not helpful,CV,Number of employees working for regional companies that say the incentive is somewhat helpful,CV,Number of employees working for regional companies that say the incentive is very helpful,CV,,,,,,,,,,,,,,,,,,,,
Total all size categories,Printed information,"1,619",11.6%,"2,711",5.9%,"1,668",9.1%,"106,923",14.0%,"390,373",11.9%,"305,552",10.9%,,,,,,,,,,,,,,,,,,,,
,Internet-based information,"1,430",12.6%,"2,575",7.3%,"1,994",6.2%,"37,937",21.9%,"320,447",10.4%,"444,465",10.6%,,,,,,,,,,,,,,,,,,,,
,Training program,"1,886",10.4%,"2,329",7.4%,"1,783",7.0%,"202,174",14.2%,"373,045",12.6%,"227,629",9.2%,,,,,,,,,,,,,,,,,,,,
,Conducting research,"3,012",7.1%,"2,132",7.7%,854,12.0%,"98,972",10.2%,"269,320",10.7%,"434,557",11.4%,,,,,,,,,,,,,,,,,,,,
,Labour/management/government discussion forum,"3,334",7.0%,"1,985",7.0%,679,12.5%,"384,745",11.9%,"296,956",11.1%,"121,148",13.7%,,,,,,,,,,,,,,,,,,,,
,Help from government agents,"2,585",7.7%,"2,343",7.3%,"1,070",11.3%,"254,760",11.3%,"355,197",12.2%,"192,892",14.4%,,,,,,,,,,,,,,,,,,,,
,Other,124,36.5%,28,33.7%,38,174.9%,921,22.8%,742,18.5%,"1,451",32.7%,,,,,,,,,,,,,,,,,,,,
1-5 employees,Printed information,999,17.3%,"1,170",12.4%,515,27.2%,"2,350",18.7%,"2,689",13.0%,"1,341",25.9%,,,,,,,,,,,,,,,,,,,,
,Internet-based information,975,16.8%,"1,093",16.1%,615,18.0%,"2,407",17.1%,"2,397",17.9%,"1,577",18.0%,,,,,,,,,,,,,,,,,,,,
,Training program,"1,213",14.7%,897,18.1%,573,19.6%,"2,985",14.6%,"2,239",18.1%,"1,155",24.7%,,,,,,,,,,,,,,,,,,,,
,Conducting research,"1,629",11.9%,660,23.1%,394,24.7%,"3,960",12.6%,"1,663",23.1%,757,25.1%,,,,,,,,,,,,,,,,,,,,
,Labour/management/government discussion forum,"1,625",13.3%,x,x,x,x,"4,247",13.4%,x,x,x,x,,,,,,,,,,,,,,,,,,,,
,Help from government agents,"1,393",13.6%,901,16.4%,389,28.5%,"3,421",13.4%,"2,123",18.3%,835,32.0%,,,,,,,,,,,,,,,,,,,,
