Table 33  Previous Fiscal Year Competitivity Productivity Rating,,,,,,,,
Regions,Rating Productivity,Number of regional companies under federal jurisdiction,CV,Number employees working for regional companies under federal jurisdiction,CV,,,
Canada,Total,"8,695",3.8%,"820,216",6.9%,,,
,Much better,806,15.1%,"60,226",15.3%,,,
,Better,"2,237",7.6%,"448,209",11.4%,,,
,About the same,"3,361",6.9%,"178,123",11.3%,,,
,Worse,478,13.0%,"62,135",25.5%,,,
,Much worse,100,52.1%,762,51.8%,,,
,Don't know,"1,712",11.2%,"70,760",15.7%,,,
Atlantic,Total,782,4.3%,"69,690",6.7%,,,
,Much better,52,12.9%,"2,516",21.6%,,,
,Better,189,11.0%,"48,674",7.9%,,,
,About the same,374,8.1%,"11,474",24.2%,,,
,Worse,x,x,x,x,,,
,Much worse,x,x,x,x,,,
,Don't know,136,12.0%,"4,626",41.1%,,,
Quebec,Total,"1,778",6.2%,"167,212",10.4%,,,
,Much better,105,14.8%,"4,384",68.9%,,,
,Better,380,10.5%,"89,723",14.4%,,,
,About the same,673,15.2%,"35,517",15.5%,,,
,Worse,x,x,x,x,,,
,Much worse,x,x,x,x,,,
,Don't know,429,13.9%,"22,928",35.1%,,,
Ontario,Total,"2,629",6.9%,"321,364",15.0%,,,
,Much better,305,24.5%,"18,671",17.9%,,,
,Better,638,14.2%,"173,830",25.9%,,,
,About the same,"1,228",10.9%,"80,182",22.1%,,,
,Worse,51,20.3%,"22,583",48.1%,,,
,Much worse,8,106.2%,531,58.7%,,,
,Don't know,397,28.0%,"25,566",22.9%,,,
West,Total,"3,506",7.2%,"261,950",9.0%,,,
,Much better,344,27.6%,"34,655",23.2%,,,
,Better,"1,030",13.1%,"135,981",14.7%,,,
,About the same,"1,086",14.4%,"50,950",13.7%,,,
,Worse,283,20.8%,"22,693",38.6%,,,
,Much worse,12,401.5%,30,798.5%,,,
,Don't know,751,19.2%,"17,640",25.4%,,,
,,,,,,,,
CV,0.00% - 4.99%,A - excellent,   ,,,,,
,5.00% - 9.99%,B - very good,   ,,,,,
,10.00% - 14.99%,C - good,   ,,,,,
,15.00% - 24.99%,D - acceptable,   ,,,,,
,25.00 - 34.99%,E - use with caution,   ,,,,,
,Greater than 35%,F - unreliable, ,,,,,
,,,,,,,,
Symbols:                       … not applicable,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,
,0  true zero or value rounded to zero,,,,,,,
,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,
,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,
