Federal Jurisdiction Workplace Survey 2008 Table 35b: Employee Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sectors,Number of regional companies under federal jurisdiction,CV,Number of regional companies where employees departed,CV,Resignations (no special incentives),CV,Temporary lay-offs,CV,Permanent lay-offs (no recall expected),CV,Special workforce reductions,CV,Dismissal for cause,CV,Retirement (no special incentives),CV,Other reason for permanent separation,CV,Number of employees deparated,CV,Number of employees that were hired less than 12 months ago,CV,,,,,,,,,,,
Total all sectors,"8,480",3.9%,"4,636",4.2%,"76,570",6.7%,"12,313",13.5%,"12,122",8.8%,"2,310",11.1%,"13,998",8.5%,"12,413",11.3%,"14,510",10.7%,"144,237",5.9%,"40,443",7.4%,,,,,,,,,,,
Air transport,906,2.6%,609,3.5%,"7,269",8.3%,"1,098",9.5%,"1,122",13.3%,216,30.9%,"1,317",12.2%,"1,802",28.1%,769,21.9%,"13,593",8.5%,"3,090",7.9%,,,,,,,,,,,
Rail transport,20,8.4%,16,9.9%,"1,633",18.1%,"3,844",20.7%,x,x,x,x,543,22.6%,"1,782",17.5%,250,23.7%,"8,063",16.4%,924,22.9%,,,,,,,,,,,
Road transport,"3,734",6.2%,"1,966",7.4%,"14,506",7.6%,"1,364",14.4%,"2,014",12.2%,267,29.7%,"3,287",10.2%,711,12.0%,"2,446",14.0%,"24,595",6.2%,"8,366",9.7%,,,,,,,,,,,
Maritime transport,349,3.2%,194,4.4%,967,11.5%,"2,079",11.6%,326,12.7%,x,x,226,11.7%,x,x,517,16.7%,"4,470",8.4%,369,11.6%,,,,,,,,,,,
Postal services and pipelines,422,6.8%,267,8.1%,"10,440",16.3%,220,27.6%,790,30.3%,120,28.5%,"3,700",20.4%,"3,560",31.7%,"3,335",33.5%,"22,163",18.1%,"7,933",19.8%,,,,,,,,,,,
Banks,141,2.5%,116,3.4%,"22,755",13.9%,x,x,"1,498",13.8%,x,x,"2,084",17.6%,"2,550",18.8%,"2,815",24.8%,"32,288",14.1%,"11,630",14.6%,,,,,,,,,,,
"Feed, flour, seed and grain",544,6.1%,321,6.2%,"1,518",9.7%,x,x,x,x,x,x,285,10.8%,x,x,301,16.7%,"4,274",10.1%,760,14.0%,,,,,,,,,,,
Telecommunications and broadcasting,766,2.9%,547,3.7%,"14,684",22.6%,57,33.9%,"3,124",21.0%,671,18.4%,"2,296",32.6%,867,21.4%,"3,026",22.5%,"24,725",20.6%,"6,223",26.8%,,,,,,,,,,,
Others: fisheries and mines,"1,598",14.3%,601,19.9%,"2,800",26.4%,"3,087",46.0%,"2,176",31.6%,25,29.9%,259,34.8%,668,33.6%,"1,050",23.8%,"10,067",21.3%,"1,148",23.8%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV:,0.00% - 4.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.00% - 9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.00% - 14.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.00% - 24.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.00 - 34.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greater than 35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbols:                      , … not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
