"Federal Jurisdiction Workplace Survey 2008 Table 42c: Revenue, expenditures and foreign interests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Gross operating revenue for the regional companies,CV,Gross operating expenditure for the regional companies,CV,Percentage of the assets of the regional companies held by foreign interests,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total all size categories,"203,593,186,866",6.2%,"147,724,587,330",6.5%,3.01%,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5 employees,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-19 employees,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-99 employees,"16,536,714,791",6.8%,"13,913,262,463",7.2%,5.63%,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
100+ employees,"176,857,980,869",7.1%,"124,768,237,504",7.7%,11.77%,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0.00% - 4.99%,A - excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.00% - 9.99%,B - very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.00% - 14.99%,C - good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.00% - 24.99%,D - acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.00 - 34.99%,E - use with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greater than 35%,F - unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE,0 - 2.49,A - excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5 - 4.99,B - very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 - 7.49,C - good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.5 - 9.99,D - acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 - 15,E - use with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=15,F - unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbols:  … not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
