Table 6  Number of employees by hours of work (full time),,,,,,,,,
Sectors,Hours of work,Number of male employees working for regional companies under federal jurisdiction,CV,Number of female employees working for regional companies under federal jurisdiction,CV,Total male and female employees working for regional companies under federal jurisdiction,CV,,
Total all sectors,Total,"464,219",6.3%,"355,997",8.3%,"820,216",6.9%,,
,No time worked,"15,969",8.7%,"27,735",11.1%,"43,704",9.5%,,
,Less than 15 hours,"14,134",18.6%,"22,224",20.1%,"36,357",19.5%,,
,15 to 29 hours,"26,317",8.9%,"46,969",10.5%,"73,286",9.4%,,
,30 to 34 hours,"12,156",8.3%,"16,949",9.4%,"29,105",7.5%,,
,35 to 40 hours,"344,201",6.9%,"235,364",8.1%,"579,566",7.1%,,
,Over 40 hours,"51,442",7.3%,"6,755",10.4%,"58,197",6.9%,,
Air transport,Total,"61,669",15.4%,"33,385",19.4%,"95,054",16.7%,,
,No time worked,"4,647",21.6%,"4,020",24.3%,"8,667",22.8%,,
,Less than 15 hours,974,12.2%,790,12.5%,"1,763",11.0%,,
,15 to 29 hours,"5,957",19.9%,"11,583",26.0%,"17,540",23.8%,,
,30 to 34 hours,"1,263",12.9%,747,12.5%,"2,010",11.8%,,
,35 to 40 hours,"46,247",16.0%,"15,649",16.6%,"61,896",16.1%,,
,Over 40 hours,"2,581",13.1%,597,12.6%,"3,178",12.8%,,
Rail transport,Total,"35,770",17.3%,"4,723",14.7%,"40,493",16.8%,,
,No time worked,524,26.4%,305,26.9%,829,26.5%,,
,Less than 15 hours,104,19.5%,60,22.7%,164,20.3%,,
,15 to 29 hours,535,18.8%,207,20.5%,741,19.0%,,
,30 to 34 hours,964,21.1%,196,21.8%,"1,160",20.3%,,
,35 to 40 hours,"32,591",18.2%,"3,779",16.4%,"36,370",17.9%,,
,Over 40 hours,"1,053",18.2%,176,25.1%,"1,229",17.7%,,
Road transport,Total,"73,365",5.8%,"14,202",6.8%,"87,567",5.7%,,
,No time worked,"1,482",13.3%,568,23.6%,"2,051",12.4%,,
,Less than 15 hours,"1,359",14.2%,"1,024",14.0%,"2,383",10.6%,,
,15 to 29 hours,"2,621",10.1%,"1,071",11.5%,"3,692",8.7%,,
,30 to 34 hours,"2,016",12.6%,628,18.9%,"2,645",11.9%,,
,35 to 40 hours,"31,727",9.3%,"9,448",8.2%,"41,174",8.5%,,
,Over 40 hours,"34,159",7.5%,"1,463",14.7%,"35,622",7.5%,,
Maritime transport,Total,"13,260",9.8%,"4,551",14.9%,"17,811",11.0%,,
,No time worked,x,x,x,x,"2,471",21.3%,,
,Less than 15 hours,x,x,x,x,806,14.2%,,
,15 to 29 hours,921,22.5%,571,23.7%,"1,492",22.9%,,
,30 to 34 hours,779,22.2%,401,21.3%,"1,179",21.9%,,
,35 to 40 hours,"5,408",12.3%,"2,033",14.0%,"7,441",12.6%,,
,Over 40 hours,"3,908",10.7%,513,15.2%,"4,421",10.8%,,
Postal services and pipelines,Total,"80,552",24.6%,"60,172",26.4%,"140,724",25.2%,,
,No time worked,"1,244",26.3%,655,26.0%,"1,899",25.5%,,
,Less than 15 hours,"7,195",35.8%,"13,741",32.1%,"20,936",33.4%,,
,15 to 29 hours,"7,957",22.2%,"9,231",29.4%,"17,187",25.1%,,
,30 to 34 hours,"3,448",21.4%,"2,521",22.0%,"5,969",18.4%,,
,35 to 40 hours,"57,537",26.0%,"32,969",24.7%,"90,507",25.5%,,
,Over 40 hours,"3,172",80.9%,"1,055",29.4%,"4,226",61.6%,,
Banks,Total,"66,573",14.9%,"153,883",14.1%,"220,456",14.3%,,
,No time worked,"3,116",15.0%,"17,772",15.4%,"20,888",15.3%,,
,Less than 15 hours,822,14.7%,"3,496",15.7%,"4,317",15.4%,,
,15 to 29 hours,"2,367",13.4%,"18,323",14.3%,"20,690",14.2%,,
,30 to 34 hours,"1,090",14.2%,"10,153",14.1%,"11,243",14.0%,,
,35 to 40 hours,"58,464",15.0%,"103,286",14.2%,"161,751",14.4%,,
,Over 40 hours,715,38.3%,853,34.7%,"1,568",36.1%,,
"Feed, flour, seed and grain",Total,"11,868",6.6%,"4,128",7.8%,"15,996",6.7%,,
,No time worked,x,x,x,x,323,17.9%,,
,Less than 15 hours,x,x,x,x,392,10.9%,,
,15 to 29 hours,388,10.4%,268,15.9%,656,10.2%,,
,30 to 34 hours,254,11.7%,183,12.7%,437,10.0%,,
,35 to 40 hours,"8,961",7.9%,"3,249",9.1%,"12,210",8.0%,,
,Over 40 hours,"1,763",9.1%,215,13.9%,"1,978",9.0%,,
Telecommunications and broadcasting,Total,"87,717",15.3%,"63,948",15.8%,"151,666",15.5%,,
,No time worked,"1,356",32.6%,"2,678",35.4%,"4,035",34.4%,,
,Less than 15 hours,"2,379",19.6%,"2,145",18.0%,"4,523",18.6%,,
,15 to 29 hours,"4,535",17.3%,"4,849",17.4%,"9,384",17.2%,,
,30 to 34 hours,"2,009",26.7%,"1,589",21.7%,"3,599",24.3%,,
,35 to 40 hours,"74,649",15.4%,"51,407",15.6%,"126,057",15.5%,,
,Over 40 hours,"2,789",23.9%,"1,280",34.2%,"4,068",26.2%,,
Others: fisheries and mines,Total,"33,443",19.7%,"17,006",18.0%,"50,449",18.1%,,
,No time worked,"1,627",29.4%,915,24.5%,"2,542",26.3%,,
,Less than 15 hours,528,26.4%,545,23.7%,"1,073",21.0%,,
,15 to 29 hours,"1,036",43.2%,867,35.8%,"1,903",34.1%,,
,30 to 34 hours,333,18.3%,531,21.4%,864,17.0%,,
,35 to 40 hours,"28,616",21.2%,"13,544",19.1%,"42,160",19.6%,,
,Over 40 hours,"1,302",27.9%,604,38.2%,"1,906",27.6%,,
,,,,,,,,,
CV,0.00% - 4.99%,A - excellent,   ,,,,,,
,5.00% - 9.99%,B - very good,   ,,,,,,
,10.00% - 14.99%,C - good,   ,,,,,,
,15.00% - 24.99%,D - acceptable,   ,,,,,,
,25.00 - 34.99%,E - use with caution,   ,,,,,,
,Greater than 35%,F - unreliable, ,,,,,,
,,,,,,,,,
Symbols:                       … not applicable,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,
,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,
,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,
