Table 6   Number of employees by hours of work (full time),,,,,,,,,
Size,Hours of work,Number of male employees working for regional companies under federal jurisdiction,CV,Number of female employees working for regional companies under federal jurisdiction,CV,Total male and female employees working for regional companies under federal jurisdiction,CV,,
Total all size categories,Total,"464,219",6.3%,"355,997",8.3%,"820,216",6.9%,,
,No time worked,"15,969",8.7%,"27,735",11.1%,"43,704",9.5%,,
,Less than 15 hours,"14,134",18.6%,"22,224",20.1%,"36,357",19.5%,,
,15 to 29 hours,"26,317",8.9%,"46,969",10.5%,"73,286",9.4%,,
,30 to 34 hours,"12,156",8.3%,"16,949",9.4%,"29,105",7.5%,,
,35 to 40 hours,"344,201",6.9%,"235,364",8.1%,"579,566",7.1%,,
,Over 40 hours,"51,442",7.3%,"6,755",10.4%,"58,197",6.9%,,
1-5 employees,Total,"6,280",9.0%,"3,757",10.1%,"10,037",7.8%,,
,No time worked,196,35.0%,21,43.8%,217,32.1%,,
,Less than 15 hours,280,38.5%,867,16.1%,"1,148",16.5%,,
,15 to 29 hours,472,21.9%,754,16.5%,"1,227",13.1%,,
,30 to 34 hours,251,17.3%,304,33.4%,555,21.7%,,
,35 to 40 hours,"2,776",11.9%,"1,515",17.9%,"4,290",11.3%,,
,Over 40 hours,"2,304",17.8%,296,56.7%,"2,600",17.5%,,
6-19 employees,Total,"15,669",4.6%,"5,725",6.2%,"21,394",4.4%,,
,No time worked,301,26.1%,249,21.6%,550,18.0%,,
,Less than 15 hours,840,14.9%,505,14.1%,"1,345",11.1%,,
,15 to 29 hours,694,13.9%,600,11.3%,"1,293",10.2%,,
,30 to 34 hours,563,14.9%,357,22.3%,920,15.0%,,
,35 to 40 hours,"7,335",5.4%,"3,674",7.9%,"11,008",5.2%,,
,Over 40 hours,"5,936",8.8%,341,19.0%,"6,277",8.7%,,
20-99 employees,Total,"41,228",4.3%,"12,632",5.0%,"53,861",4.0%,,
,No time worked,"1,187",11.4%,313,11.4%,"1,500",10.3%,,
,Less than 15 hours,"1,245",11.5%,685,11.2%,"1,930",9.3%,,
,15 to 29 hours,"2,147",17.3%,888,10.8%,"3,034",13.0%,,
,30 to 34 hours,"1,206",13.0%,528,15.2%,"1,734",11.7%,,
,35 to 40 hours,"21,133",4.6%,"9,105",5.1%,"30,237",4.3%,,
,Over 40 hours,"14,311",8.0%,"1,115",13.4%,"15,426",7.9%,,
100+ employees,Total,"401,042",7.3%,"333,883",8.9%,"734,924",7.7%,,
,No time worked,"14,285",9.6%,"27,152",11.3%,"41,437",10.0%,,
,Less than 15 hours,"11,768",22.3%,"20,167",22.1%,"31,934",22.1%,,
,15 to 29 hours,"23,004",10.1%,"44,728",11.0%,"67,732",10.2%,,
,30 to 34 hours,"10,136",9.8%,"15,760",10.0%,"25,896",8.4%,,
,35 to 40 hours,"312,958",7.6%,"221,071",8.6%,"534,029",7.7%,,
,Over 40 hours,"28,890",12.6%,"5,004",13.2%,"33,895",11.4%,,
,,,,,,,,,
CV,0.00% - 4.99%,A - excellent,   ,,,,,,
,5.00% - 9.99%,B - very good,   ,,,,,,
,10.00% - 14.99%,C - good,   ,,,,,,
,15.00% - 24.99%,D - acceptable,   ,,,,,,
,25.00 - 34.99%,E - use with caution,   ,,,,,,
,Greater than 35%,F - unreliable, ,,,,,,
,,,,,,,,,
Symbols:                       … not applicable,,,,,,,,,
,x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,
,0  true zero or value rounded to zero,,,,,,,,
,,,,,,,,,
Note: Data may not add to totals as a result of rounding.,,,,,,,,,
,,,,,,,,,
"Source:  Federal Jurisdiction Workplace Survey, 2008",,,,,,,,,
