Federal Jurisdiction Workplace Survey 2008 Table 9.3a: Various types of paid leave given to permanent employees working 30 or more hours per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regions,Types of paid  leave - 1c,Days of leave - 3,Number of regional companies under federal jurisdiction,CV,Total employees working for regional companies under federal jurisdiction,CV,Average weeks,CV,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Paid supplementary maternity/parental/adoption leave,Employers offering 0 days,"7,923",4.1%,"244,933",6.0%,0.92,8.0%,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering less than 3 weeks,163,34.5%,"9,800",42.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 3 to 8 weeks,142,16.1%,"237,197",13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 9 to 12 weeks,17,18.8%,344,24.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 13 to 17 weeks,113,9.6%,"173,902",16.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering more than 17 weeks,122,11.1%,"154,039",23.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paid long term care giving leave,Employers offering 0 days,"8,338",3.9%,"782,993",7.2%,0.17,26.8%,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering less than 3 weeks,67,39.2%,"16,237",32.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 3 to 8 weeks,15,300.4%,"13,179",33.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 9 to 12 weeks,30,70.5%,630,34.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 13 to 17 weeks,10,22.0%,926,32.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering more than 17 weeks,19,25.4%,"6,252",36.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,Paid supplementary maternity/parental/adoption leave,Employers offering 0 days,685,4.8%,"15,909",13.6%,1.52,15.7%,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering less than 3 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 3 to 8 weeks,15,22.3%,"19,015",19.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 9 to 12 weeks,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 13 to 17 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering more than 17 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paid long term care giving leave,Employers offering 0 days,734,4.5%,"68,306",6.8%,0.12,19.0%,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering less than 3 weeks,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 3 to 8 weeks,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employers offering between 9 to 12 weeks,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
