,,,,
Table 19a,"Overtime compensation rate policy, 2015",,,
Size of the company,Proportion of industrial companies,,,
,"Overtime compensated time and a half
",Quality indicator,"Overtime compensated double time
",Quality indicator
,%,SE,%,SE
All sizes,26.3,B,3.6,A
1 to 5 employees,12.5,B,0.9,A
6 to 19 employees,32.9,B,3.8,A
20 to 99 employees,74.9,A,11.3,A
100 employees and more,90.2,A,25.7,A
,,,,
,,,,
Table 19b,"Overtime compensation rate policy, 2015",,,
Industry,Proportion of industrial companies,,,
,"Overtime compensated time and a half
",Quality indicator,"Overtime compensated double time
",Quality indicator
,%,SE,%,SE
All industries,26.3,B,3.6,A
Air transportation,56.1,A,11.4,A
Rail transportation,73.8,C,31.1,C
Road transportion,19.9,B,1.3,A
Maritime transportation,54.1,A,21.6,A
Postal and pipelines,36.3,A,8.7,A
Banks,78.6,A,12.7,A
"Feed, flour, seed and grain",61.0,E,8.2,A
Telecommunications and broadcasting,50.8,A,9.4,A
Other,28.2,C,15.7,C
,,,,
,,,,
"Note:
",,,,
Totals and sub-totals have been rounded to the nearest hundredth.,,,,
Components may not add up to the totals as a result of the rounding.,,,,
,,,,
Reliability Indicators,,,,
Coefficient of variation (CV),,,Standard error (SE),
,,,,
A = 0.00% - 5.00%   excellent,,,A = 0.00% - 2.50%   excellent,
B = 5.01% - 10.00%    very Good,,,B = 2.51% - 5.00%    very Good,
C = 10.01% - 15.00%  good,,,C = 5.01% - 7.50%  good,
D = 15.01% - 20.00%  acceptable,,,D = 7.51% - 10.00%  acceptable,
E = 20.01 - 25.00%  use with caution,,,E = 10.01% - 12.50%  use with caution,
F = Greater than 25.00%   too unreliable to be published,,,F = 12.51% or more  too unreliable to be published,
,,,,
Symbols:                      ,,,,
 … not applicable,,,,
x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,
,,,,
Source:  ,"Federal Jurisdiction Workplace Survey, 2015",,,
