,,,,,,,,
Table 2a,"Board of directors members by gender, December 2015",,,,,,,
Size of the company,"Proportion of industrial companies with a board of directors
",Quality indicator,"Average number of directors
",Quality indicator,"Average number of male directors
",Quality indicator,"Average number of female directors
",Quality indicator
,,,,,,,,
,%,SE,Average,SE,Average,SE,Average,SE
"All sizes
",46.9,B,4,B,2,B,1,B
"1 to 5 employees
",44.1,C,2,B,1,B,1,B
"6 to 19 employees
",46.7,C,4,B,3,B,1,B
"20 to 99 employees
",55.1,A,6,A,4,A,2,A
"100 employees and more
",71.5,A,10,A,7,A,2,A
,,,,,,,,
,,,,,,,,
Table 2b,"Board of directors members by gender, December 2015",,,,,,,
Industry,"Proportion of industrial companies with a board of directors
",Quality indicator,"Average number of directors
",Quality indicator,"Average number of male directors
",Quality indicator,"Average number of female directors
",Quality indicator
,,,,,,,,
,%,SE,Average,SE,Average,SE,Average,SE
All industries,46.9,B,4,B,2,B,1,B
Air transportation,54.4,A,5,A,4,A,1,A
Rail transportation,81.5,B,28,F,17,F,11,F
Road transportion,42.8,C,2,B,1,B,1,B
Maritime transportation,62.0,A,7,A,5,B,2,B
Postal and pipelines,41.1,A,6,B,5,C,2,B
Banks,78.8,A,10,A,7,A,3,A
"Feed, flour, seed and grain",67.7,D,5,C,4,D,1,B
Telecommunications and broadcasting,71.6,A,7,A,4,A,2,A
Other ,68.0,D,7,C,5,D,2,E
,,,,,,,,
,,,,,,,,
"Note:
",,,,,,,,
Totals and sub-totals have been rounded to the nearest hundredth.,,,,,,,,
Components may not add up to the totals as a result of the rounding.,,,,,,,,
,,,,,,,,
Reliability Indicators,,,,,,,,
Coefficient of variation (CV),,,Standard error (SE),,,,,
,,,,,,,,
A = 0.00% - 5.00%   excellent,,,A = 0.00% - 2.50%   excellent,,,,,
B = 5.01% - 10.00%    very Good,,,B = 2.51% - 5.00%    very Good,,,,,
C = 10.01% - 15.00%  good,,,C = 5.01% - 7.50%  good,,,,,
D = 15.01% - 20.00%  acceptable,,,D = 7.51% - 10.00%  acceptable,,,,,
E = 20.01 - 25.00%  use with caution,,,E = 10.01% - 12.50%  use with caution,,,,,
F = Greater than 25.00%   too unreliable to be published,,,F = 12.51% or more  too unreliable to be published,,,,,
,,,,,,,,
Symbols:                      ,,,,,,,,
 … not applicable,,,,,,,,
x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,,
,,,,,,,,
Source:  ,"Federal Jurisdiction Workplace Survey, 2015",,,,,,,
