,,,,,
,,,,,
Table 20a,"Weekly hours worked before being compensate for overtime, 2015",,,,
Size of the company,Number of hours ,"Proportion of industrial companies where employees needed to work before being paid time and a half

",Quality indicator,"Proportion of industrial companies where employees needed to work before being paid double time
",Quality indicator
,,%,SE,%,SE
All sizes,38 hours per week or less,8.6,B,6.3,A
,More than 38 hours and at most 40 hours,40.2,B,13.6,A
,More than 40 hours and at most 44 hours,15.2,B,3.0,A
,More than 44 hours and at most 48 hours,3.6,A,5.9,A
,More than 48 hours,11.9,B,6.0,A
,Cannot report in hours,20.5,C,65.1,B
1 to 5 employees,38 hours per week or less,12.1,D,5.7,B
,More than 38 hours and at most 40 hours,13.3,C,X,X
,More than 40 hours and at most 44 hours,23.6,F,0.0,A
,More than 44 hours and at most 48 hours,0.8,A,X,X
,More than 48 hours,18.6,F,X,X
,Cannot report in hours,31.6,F,82.5,D
6 to 19 employees,38 hours per week or less,5.9,B,5.3,A
,More than 38 hours and at most 40 hours,51.8,C,X,X
,More than 40 hours and at most 44 hours,14.6,B,2.9,A
,More than 44 hours and at most 48 hours,6.6,B,X,X
,More than 48 hours,4.5,B,X,X
,Cannot report in hours,16.5,C,72.2,D
20 to 99 employees,38 hours per week or less,4.9,A,5.4,A
,More than 38 hours and at most 40 hours,51.9,A,17.2,B
,More than 40 hours and at most 44 hours,11.6,A,4.0,A
,More than 44 hours and at most 48 hours,3.8,A,9.3,B
,More than 48 hours,14.0,A,5.1,A
,Cannot report in hours,13.9,A,58.9,B
100 employees and more,38 hours per week or less,13.0,A,8.2,A
,More than 38 hours and at most 40 hours,54.6,A,19.9,A
,More than 40 hours and at most 44 hours,5.4,A,3.5,A
,More than 44 hours and at most 48 hours,4.2,A,3.1,A
,More than 48 hours,5.8,A,7.5,A
,Cannot report in hours,17.1,A,57.7,A
,,,,,
,,,,,
Table 20b,"Weekly hours worked before being compensate for overtime, 2015",,,,
Industry,Number of hours worked per week before needed before being paid overtime,Proportion of industrial companies where employees needed to work before being paid time and a half,Quality indicator,Proportion of industrial companies where employees needed to work before being paid double time,Quality indicator
,,,,,
,,%,SE,%,SE
All industries,38 hours per week or less,8.6,B,6.3,A
,More than 38 hours and at most 40 hours,40.2,B,13.6,A
,More than 40 hours and at most 44 hours,15.2,B,3.0,A
,More than 44 hours and at most 48 hours,3.6,A,5.9,A
,More than 48 hours,11.9,B,6.0,A
,Cannot report in hours,20.5,C,65.1,B
Air transportation,38 hours per week or less,4.1,A,5.1,A
,More than 38 hours and at most 40 hours,73.9,A,15.9,B
,More than 40 hours and at most 44 hours,5.6,A,3.4,A
,More than 44 hours and at most 48 hours,X,X,4.6,A
,More than 48 hours,X,X,3.5,A
,Cannot report in hours,13.9,A,67.5,B
Rail transportation,38 hours per week or less,32.1,C,0.0,A
,More than 38 hours and at most 40 hours,67.9,C,X,X
,More than 40 hours and at most 44 hours,0.0,A,0.0,A
,More than 44 hours and at most 48 hours,0.0,A,0.0,A
,More than 48 hours,0.0,A,X,X
,Cannot report in hours,0.0,A,X,X
Road transportion,38 hours per week or less,7.5,C,X,X
,More than 38 hours and at most 40 hours,26.2,C,12.5,C
,More than 40 hours and at most 44 hours,17.8,D,X,X
,More than 44 hours and at most 48 hours,4.7,A,X,X
,More than 48 hours,19.3,D,8.2,A
,Cannot report in hours,24.4,D,70.7,D
Maritime transportation,38 hours per week or less,11.2,A,9.6,A
,More than 38 hours and at most 40 hours,45.3,A,9.9,A
,More than 40 hours and at most 44 hours,8.4,A,0.0,A
,More than 44 hours and at most 48 hours,3.3,A,X,X
,More than 48 hours,2.7,A,X,X
,Cannot report in hours,29.2,A,72.6,B
Postal and pipelines,38 hours per week or less,X,X,17.6,B
,More than 38 hours and at most 40 hours,45.2,B,14.3,B
,More than 40 hours and at most 44 hours,16.6,A,0.0,A
,More than 44 hours and at most 48 hours,6.9,A,X,X
,More than 48 hours,X,X,X,X
,Cannot report in hours,20.9,A,52.4,B
Banks,38 hours per week or less,51.3,A,57.0,B
,More than 38 hours and at most 40 hours,41.6,A,0.0,A
,More than 40 hours and at most 44 hours,X,X,X,X
,More than 44 hours and at most 48 hours,0.0,A,0.0,A
,More than 48 hours,0.0,A,0.0,A
,Cannot report in hours,X,X,X,X
"Feed, flour, seed and grain",38 hours per week or less,X,X,0.0,A
,More than 38 hours and at most 40 hours,77.7,C,16.9,B
