,,,,,,,
Table 33a,"Leaves offered by category of employees, 2015",,,,,,
,,Proportion of industrial companies with a set number of working days of leave for permanent employees with one year of continuous service working 30 hours or more per week,Quality indicator,Proportion of industrial companies offering leave to permanent employees working less than 30 hours per week,Quality indicator,Proportion of industrial companies offering leave to Non-permanent employees,Quality indicator
,,%,SE,%,SE,%,SE
All sizes,None,58.8,B,4.2,A,9.4,A
,Paid sick leave,13.6,A,0.5,A,1.5,A
,Unpaid sick leave,19.5,B,2.2,A,4.8,A
,Paid bereavement leave,19.8,A,0.7,A,3.6,A
,Paid family-related and/ or personal leave,8.6,A,0.4,A,0.9,A
,Unpaid family-related and/ or personal leave,21.1,B,2.2,A,4.1,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),7.0,A,0.3,A,…,
,Long-term care giving leave (paid or unpaid),3.7,A,0.5,A,…,
,Education leave (paid or unpaid),2.6,A,0.4,A,…,
1 to 5 employees,None,70.2,C,6.1,B,8.4,B
,Paid sick leave,4.6,A,0.0,A,0.1,A
,Unpaid sick leave,16.4,B,2.3,A,0.7,A
,Paid bereavement leave,5.0,A,X,X,0.5,A
,Paid family-related and/ or personal leave,3.5,A,X,X,0.1,A
,Unpaid family-related and/ or personal leave,16.5,B,2.3,A,0.4,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),4.8,A,X,X,…,
,Long-term care giving leave (paid or unpaid),0.8,A,X,X,…,
,Education leave (paid or unpaid),0.8,A,0.1,A,…,
6 to 19 employees,None,48.6,C,0.2,A,10.2,B
,Paid sick leave,19.3,B,0.3,A,2.1,A
,Unpaid sick leave,21.3,B,0.5,A,9.1,A
,Paid bereavement leave,32.2,C,X,X,6.6,A
,Paid family-related and/ or personal leave,11.9,A,X,X,1.4,A
,Unpaid family-related and/ or personal leave,26.8,C,0.5,A,8.2,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),7.7,B,X,X,…,
,Long-term care giving leave (paid or unpaid),4.7,A,X,X,…,
,Education leave (paid or unpaid),2.5,A,0.3,A,…,
20 to 99 employees,None,25.8,A,0.5,A,12.9,A
,Paid sick leave,37.8,A,1.0,A,4.3,A
,Unpaid sick leave,32.0,A,1.3,A,11.5,A
,Paid bereavement leave,64.2,A,1.4,A,9.1,A
,Paid family-related and/ or personal leave,23.0,A,0.8,A,2.2,A
,Unpaid family-related and/ or personal leave,33.2,A,1.3,A,10.1,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),10.5,A,0.6,A,…,
,Long-term care giving leave (paid or unpaid),11.6,A,0.8,A,…,
,Education leave (paid or unpaid),7.9,A,0.6,A,…,
100 employees and more,None,10.7,A,1.6,A,11.4,A
,Paid sick leave,64.4,A,7.2,A,14.2,A
,Unpaid sick leave,28.8,A,9.0,A,30.2,A
,Paid bereavement leave,82.6,A,10.9,A,25.0,A
,Paid family-related and/ or personal leave,37.0,A,4.6,A,8.6,A
,Unpaid family-related and/ or personal leave,35.5,A,9.1,A,27.8,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),29.0,A,5.1,A,…,
,Long-term care giving leave (paid or unpaid),24.4,A,7.5,A,…,
