,,,,,,,
Table 6a,"Occupation and gender distribution of employees, December 2015",,,,,,
Size of the company,Occupation,Number of employees,,,,,
,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,SUM,CV,SUM,CV,SUM,CV
All sizes,All occupations,"554,100",A,341000,A,"895,100",A
,Senior managers,"20,082",B,"5,991",B,"26,073",B
,Middle and other managers,"49,711",A,"32,148",A,"81,859",A
,Supervisors,"25,907",B,"21,844",B,"47,750",B
,Professionals,"83,714",B,"65,710",A,"149,425",A
,Technical / Trades,"95,283",B,"21,084",B,"116,370",B
,"Marketing, sales and services","39,211",A,"68,979",A,"108,194",A
,Clerical / Administrative,"47,609",B,"77,309",A,"124,880",A
,Truck and bus drivers / Manual labourer with no trade certification,"132,988",A,"12,019",B,"145,001",B
,Other Occupations,"59,592",C,"35,913",C,"95,502",C
1 to 5 employees,All occupations,"16,300",C,"4,200",D,"20,500",C
,Senior managers,"4,510",E,625,F,"5,135",D
,Middle and other managers,250,F,779,F,"1,029",F
,Supervisors,138,F,166,F,304,F
,Professionals,210,E,141,F,352,F
,Technical / Trades,"1,362",F,25,F,"1,386",F
,"Marketing, sales and services",100,D,145,E,246,D
,Clerical / Administrative,"1,181",F,"2,094",F,"3,235",E
,Truck and bus drivers / Manual labourer with no trade certification,"6,692",D,109,F,"6,801",D
,Other Occupations,"1,847",F,160,C,"2,008",F
6 to 19 employees,All occupations,"22,400",C,"7,000",C,"29,400",C
,Senior managers,"2,519",D,544,D,"3,061",C
,Middle and other managers,"1,351",E,771,E,"2,120",D
,Supervisors,926,F,197,D,"1,122",F
,Professionals,525,C,185,D,709,C
,Technical / Trades,"1,759",B,232,D,"1,991",B
,"Marketing, sales and services",602,E,472,E,"1,073",E
,Clerical / Administrative,"1,170",E,"2,656",D,"3,825",C
,Truck and bus drivers / Manual labourer with no trade certification,"10,456",D,952,F,"11,403",C
,Other Occupations,"3,111",F,"1,013",F,"4,123",F
20 to 99 employees,All occupations,"54,800",A,"12,100",A,"67,000",A
,Senior managers,"2,775",A,736,A,"3,510",A
,Middle and other managers,"2,626",A,"1,036",A,"3,661",A
,Supervisors,"2,269",A,775,B,"3,044",A
,Professionals,"2,213",B,718,B,"2,933",B
,Technical / Trades,"5,471",A,759,B,"6,229",A
,"Marketing, sales and services","1,482",A,"1,005",A,"2,487",A
,Clerical / Administrative,"2,167",B,"4,639",A,"6,805",A
,Truck and bus drivers / Manual labourer with no trade certification,"30,631",B,"1,276",B,"31,907",B
,Other Occupations,"5,185",B,"1,193",B,"6,377",B
100 employees and more,All occupations,"460,600",A,"317,600",A,"778,200",A
,Senior managers,"10,278",B,"4,086",B,"14,365",B
,Middle and other managers,"45,484",A,"29,562",A,"75,048",A
,Supervisors,"22,574",B,"20,706",B,"43,280",B
,Professionals,"80,766",B,"64,666",A,"145,430",A
,Technical / Trades,"86,691",B,"20,068",B,"106,763",B
,"Marketing, sales and services","37,028",A,"67,357",A,"104,389",A
,Clerical / Administrative,"43,092",C,"67,920",A,"111,015",B
,Truck and bus drivers / Manual labourer with no trade certification,"85,210",B,"9,682",C,"94,891",B
,Other Occupations,"49,448",D,"33,547",D,"82,994",C
,,,,,,,
,,,,,,,
