Sheet_name,Table_name,Flavour a,Flavour b,Flavour c,Variable x1,Type x1,Variable x2,Type x2,Variable x3,Type x3,Variable x4,Type x4,Variable x5,Type x5,Variable x6,Type x6,Variable y,Question number related to
Table_01,"Industrial companies and employees under federal labour jurisdiction, December 2015     
",Detailed  sizes,All industries,All sizes x all industries,"Number of industrial companies under federal labour jurisdiction, December 2015",,"Number of employees in industrial companies under federal jurisdiction, December 2015",,"Number of employees in industrial companies under federal jurisdiction, December 2014",,,,,,,,,5
Table_02,"Board of directors members by gender, December 2015",All sizes,All industries,,Proportion of industrial companies with a board of directors,,Average number of directors,,Average number of male directors,,Average number of female directors,,,,,,,"72, 73"
Table_03,"Collective agreements, December 2015",Detailed  sizes,All industries,All sizes x all industries,Proportion of industrial companies with collective agreements,,Proportion of employees in industrial companies under federal jurisdiction covered by collective agreements,,,,,,,,,,,6
Table_04,"Age and gender distribution of employees, December 2015",All sizes,All industries,,Number of employees,Gender,,,,,,,,,,,Age group,7 
Table_05,"Experience and gender distribution of employees, December 2015",All sizes,All industries,,Number of employees,Gender,,,,,,,,,,,Continuous employment,8
Table_06,"Occupation and gender distribution of employees, December 2015",All sizes,All industries,,Number of employees,Gender,,,,,,,,,,,Occupation,9
Table_07,"Work schedule and gender distribution of employees, December 2015",All sizes,All industries,,Number of employees,Gender,,,,,,,,,,,Work schedule,10
Table_08,"Hourly rate and gender distribution of employees, December 2015",All sizes,All industries,,Number of employees,Gender,,,,,,,,,,,Hourly rate,11
Table_09,"Weekly scheduled hours and gender distribution of employees, December 2015",All sizes,All industries,,Number of employees,Gender,,,,,,,,,,,Weekly scheduled hours,"12,13,14"
Table_10a,"Characteristics of bus or truck drivers in the road transportation, December 2015","All sizes, road transportation industry",,,Number of industrial companies with truck drivers,,Number of bus or truck drivers,,Average weekly scheduled work hours,,Proportion of drivers covered by a collective agreement,,,,,,Type of driver,15-18
Table_10b,"Characteristics of bus or truck drivers in the road transportation sector, December 2015","All sizes, Non-road transportation industry",,,Number of industrial companies with truck drivers,,Number of bus or truck drivers,,Average weekly scheduled work hours,,Proportion of drivers covered by a collective agreement,,,,,,Type of driver,15-18
