Year,TOTAL_GALLONS,TOTAL_COST,Flight_Miles_sm,Flight Miles (flight-sm/gal),Payload_Miles_sm,Payload Miles (payload-sm/gal)
1990,16092712891,12564091199,4302977450,0.267386703481579,199823127963099,12417
1991,15181390234,10501394306,4208149233,0.277191295931218,195812483328748,12898
1992,15639136043,9940873244,4454637318,0.28483909250178,209755853164757,13412
1993,16057567749,9732779950,4628220257,0.288226730806615,215116323130979,13397
1994,16797312751,9378125746,4800722659,0.285803016837571,226139381958879,13463
1995,17306221289,9679169026,5075831809,0.293295210100327,235711081997358,13620
1996,17802437194,11840180569,5275772161,0.29635111774348,245287988982946,13778
1997,18574420148,11972279094,5476309150,0.294830692229693,256132373602945,13790
1998,18169158058,9283230376,5570828758,0.306609075677402,256692487805899,14128
1999,19746878161,10502262316,5939763397,0.300795059784741,276346122975414,13994
2000,20326158469,16397723660,6262543306,0.308102650855113,293389732349512,14434
2001,19153830967,14943581708,6216558934,0.324559559114334,302802915056021,15809
2002,17944111783,12839692287,6011726077,0.335025001499123,300251184992154,16733
2003,18248114859,15432398758,6665478979,0.365269455530228,322604580728390,17679
2004,19631390625,22688221563,7451421581,0.37956667071312,349630452953472,17810
2005,19913728641,33106360924,7669067786,0.385114607327244,363046261775747,18231
2006,19704071404,38753833060,7667220903,0.389118611366965,361069898679062,18325
2007,19883775121,41855951630,7727486075,0.388632743429024,370633549961765,18640
2008,18822371292,57706345577,7394577102,0.392861079365855,355698475266774,18898
2009,16990973649,32199268368,6846059341,0.402923309895365,332222820019160,19553
2010,17268304404,39270388228,7003668358,0.405579389507269,342425242066537,19830
2011,17533465241,53430169356,7063847517,0.402878006138912,348085812871696,19853
2012,16926952335,53347199033,6640131052,0.392281547238137,339847922864403,20077
2013,16820232372,50615185462,6697161430,0.398161052825198,341244452122378,20288
2014,16774137108,48017581706,6818974324,0.406517144822184,352746431741941,21029
2015,17338934894,32165282188,7024939456,0.405154036216545,372622669878823,21491
2016,17666037276,25738072016,7127726772,0.403470606375505,389540070677796,22050
2017,18028882571,30630171098,7084426411,0.392948724531354,407423162021511,22598
2018,18735633871,40453288603,7380574628,0.3939324753471,426871255994002,22784
2019,19179928283,38479270333,7597396387,0.396111824554313,447958849450868,23356
2020,11478176287,16454314543,4578077097,0.39885056497913,321652081910281,28023
2021,15118867931,29935000118,6235744086,0.412447817816711,402515443842472,26623
2022,17933373272,60419558279,7193703367,0.401134982130316,454220451803299,25328
2023,19719045637,56464321564,7849924225,0.3980884455316,485132557995931,24602
2024,20336209034,52062045444,8141052808,0.400323029449049,499172287458743,24546
2025M1-3,4758719808,11614653509,1940706618,0.40782115701316,115689906635286,24311
