Department Family                                 ,Entity                                            ,Date                   ,Expense Type                                      ,Expense Area                                      ,Supplier                                          ,Transaction Number                                ,Amount               ,VAT Registration Number                           
--------------------------------------------------,--------------------------------------------------,-----------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,---------------------,--------------------------------------------------
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Appleton Woods Ltd                                ,CADPINVSM0000012394                               ,             146.2500,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Appleton Woods Ltd                                ,CADPINVSM0000012394                               ,             157.9500,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Appleton Woods Ltd                                ,CADPINVSM0000012394                               ,             161.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Appleton Woods Ltd                                ,CADPINVSM0000012394                               ,             343.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Appleton Woods Ltd                                ,CADPINVSM0000012394                               ,             350.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Appleton Woods Ltd                                ,CADPINVSM0000012394                               ,             660.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Azpack Limited                                    ,CADPINVSM0000012383                               ,              45.3300,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Azpack Limited                                    ,CADPINVSM0000012383                               ,             132.1600,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Azpack Limited                                    ,CADPINVSM0000012383                               ,             263.2000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Azpack Limited                                    ,CADPINVSM0000012383                               ,             305.2000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Azpack Limited                                    ,CADPINVSM0000012383                               ,             380.8000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Azpack Limited                                    ,CADPINVSM0000012383                               ,             470.4000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Illumina UK Ltd                                   ,CADPINVSM0000012391                               ,             206.5100,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Illumina UK Ltd                                   ,CADPINVSM0000012391                               ,             419.0800,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Illumina UK Ltd                                   ,CADPINVSM0000012391                               ,            2519.6400,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Illumina UK Ltd                                   ,CADPINVSM0000012391                               ,            5113.2600,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Promega Ltd                                       ,CADPINVSM0000012374                               ,              22.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Promega Ltd                                       ,CADPINVSM0000012374                               ,             840.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables - Alcohol                         ,Sci Facilities Conservation Unit                  ,Preservation Equipment Ltd                        ,CADPINVSM0000012373                               ,              10.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,Lab Consumables - Alcohol                         ,Sci Facilities Conservation Unit                  ,Preservation Equipment Ltd                        ,CADPINVSM0000012373                               ,            2895.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000012403                               ,            8819.2000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,MF - IT Equipment < £5k                           ,Sci Facilities Imaging & Analytical               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000012404                               ,              19.9400,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,MF - IT Equipment < £5k                           ,Sci Facilities Imaging & Analytical               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000012404                               ,            1593.9000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Advertising Costs                           ,DIR Comms Marketing                               ,Qudos Animations                                  ,CADPINVSM0000012405                               ,            2250.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,              40.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,              50.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,              95.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,             150.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,             200.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,             280.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,             300.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Education Costs                             ,Tring Administration                              ,D Frampton                                        ,CADPINVSM0000012387                               ,             500.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-10 00:00:00.000,P/L - Equip & Related Costs                       ,Sci Earth Research                                ,Appleton Woods Ltd                                ,CADPINVSM0000012385                               ,               3.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Irrecoverable VAT                                 ,Sci Life Dept Mgmt                                ,Emcor Facility Services Ltd                       ,CADPINVSM0000012492                               ,             132.7300,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Irrecoverable VAT                                 ,Sci Life Dept Mgmt                                ,Godfrey Syrett                                    ,CADPINVSM0000012486                               ,              34.2300,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,PCS Business Systems                              ,CADPINVSM0000012431                               ,               6.4800,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Irrecoverable VAT                                 ,Sci Earth Dept Mgmt                               ,Wex Photographic                                  ,CADPINVSM0000012428                               ,              41.3100,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Lab Consumables                                   ,Sci Life Research                                 ,Bioline Reagents Limited                          ,CADPINVSM0000012417                               ,             106.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Lab Consumables                                   ,Sci Life Research                                 ,Bioline Reagents Limited                          ,CADPINVSM0000012417                               ,             530.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Conservation by Design Ltd                        ,CADPINVSM0000012420                               ,            2320.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Conservation by Design Ltd                        ,CADPINVSM0000012429                               ,             405.0000,                                                  
DCMS                                              ,NHM                                               ,2014-03-14 00:00:00.000,Lab Consumables                                   ,Sci Life Curation                                 ,Conservation by Design Ltd                        ,CADPINVSM0000012429                               ,            2800.0000,                                                  
