"title-titre-eng","title-titre-fra","referenceNumber-numeroReference","amendmentNumber-numeroModification","procurementNumber-numeroApprovisionnement","solicitationNumber-numeroSollicitation","contractNumber-numeroContrat","numberOfRecords-nombreEnregistrements","publicationDate-datePublication","contractAwardDate-dateAttributionContrat","amendmentDate-dateModification","contractStartDate-contratDateDebut","contractEndDate-dateFinContrat","contractAmount-montantContrat","totalContractValue-valeurTotaleContrat","contractCurrency-contratMonnaie","contractStatus-statutContrat-eng","contractStatus-statutContrat-fra","gsin-nibs","gsinDescription-nibsDescription-eng","gsinDescription-nibsDescription-fra","unspsc","unspscDescription-eng","unspscDescription-fra","procurementCategory-categorieApprovisionnement","noticeType-avisType-eng","noticeType-avisType-fra","procurementMethod-methodeApprovisionnement-eng","procurementMethod-methodeApprovisionnement-fra","selectionCriteria-criteresSelection-eng","selectionCriteria-criteresSelection-fra","limitedTenderingReason-raisonAppelOffresLimite-eng","limitedTenderingReason-raisonAppelOffresLimite-fra","tradeAgreements-accordsCommerciaux-eng","tradeAgreements-accordsCommerciaux-fra","regionsOfDelivery-regionsLivraison-eng","regionsOfDelivery-regionsLivraison-fra","supplierLegalName-nomLegalFournisseur-eng","supplierLegalName-nomLegalFournisseur-fra","supplierStandardizedName-nomNormaliseFournisseur-eng","supplierStandardizedName-nomNormaliseFournisseur-fra","supplierOperatingName-nomCommercialFournisseur-eng","supplierOperatingName-nomCommercialFournisseur-fra","supplierEmployeeCount-fournisseurNombreEmployes-eng","supplierEmployeeCount-fournisseurNombreEmployes-fra","supplierAddressLine-ligneAdresseFournisseur-eng","supplierAddressLine-ligneAdresseFournisseur-fra","supplierAddressCity-fournisseurAdresseVille-eng","supplierAddressCity-fournisseurAdresseVille-fra","supplierAddressProvince-fournisseurAdresseProvince-eng","supplierAddressProvince-fournisseurAdresseProvince-fra","supplierAddressPostalCode-fournisseurAdresseCodePostal","supplierAddressCountry-fournisseurAdressePays-eng","supplierAddressCountry-fournisseurAdressePays-fra","contractingEntityName-nomEntitContractante-eng","contractingEntityName-nomEntitContractante-fra","contractingEntityAddressLine-ligneAdresseEntiteContractante-eng","contractingEntityAddressLine-ligneAdresseEntiteContractante-fra","contractingEntityAddressCity-entiteContractanteAdresseVille-eng","contractingEntityAddressCity-entiteContractanteAdresseVille-fra","contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng","contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra","contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal","contractingEntityAddressCountry-entiteContractanteAdressePays-eng","contractingEntityAddressCountry-entiteContractanteAdressePays-fra","endUserEntitiesName-nomEntitesUtilisateurFinal-eng","endUserEntitiesName-nomEntitesUtilisateurFinal-fra","endUserEntitiesOfficeName-bureauNomEntitesUtilisateurFinal-eng","endUserEntitiesOfficeName-bureauNomEntitesUtilisateurFinal-fra","endUserEntitiesAddress-adresseEntitesUtilisateurFinal-eng","endUserEntitiesAddress-adresseEntitesUtilisateurFinal-fra","contactInfoName-informationsContactNom","contactInfoEmail-informationsContactCourriel","contactInfoPhone-contactInfoTelephone","contactInfoFax","contactInfoAddressLine-contactInfoAdresseLigne-eng","contactInfoAddressLine-contactInfoAdresseLigne-fra","contactInfoCity-contacterInfoVille-eng","contactInfoCity-contacterInfoVille-fra","contactInfoProvince-contacterInfoProvince-eng","contactInfoProvince-contacterInfoProvince-fra","contactInfoPostalcode","contactInfoCountry-contactInfoPays-eng","contactInfoCountry-contactInfoPays-fra","percentageOfGoodsByCountry-pourcentageDeBiensParPays","tenderDescription-descriptionAppelOffres-eng","tenderDescription-descriptionAppelOffres-fra"
"LANSDOWNE TECHNOLOGIES INC (9F052-160448/003/MTB~001)","LANSDOWNE TECHNOLOGIES INC (9F052-160448/003/MTB~001)","9F052-160448/003/MTB","001","9F052-160448","","9F052-160448/003/MTB","5","2025-11-06","2019-10-25","","","2020-11-09","0.00","0.00","CAD","","","","","","","","","*SRV","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*None","*Aucun","","","THE LANSDOWNE CONSULTING GROUP INC.","THE LANSDOWNE CONSULTING GROUP INC.","LANSDOWNE TECHNOLOGIES INC","LANSDOWNE TECHNOLOGIES INC","Lansdowne Technologies Inc.","Lansdowne Technologies Inc.","10 to 19 employees","10 à 19 employés","275 Slater St<br>Suite 203,","275 Slater St<br>Suite 203,","Ottawa","Ottawa","Ontario","Ontario","K1P5H9","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Canadian Space Agency","Agence spatiale canadienne","EXPLORATION DEVELOPMENT","DEVELOPPEMENT DE L EXPLORATION","6767 ROUTE DE L AEROPORT,ST HUBERT,Quebec,J3Y8Y9,Canada","6767 ROUTE DE L AEROPORT,ST HUBERT,Quebec,J3Y8Y9,Canada","","","","","","","","","","","","","","","",""
"MARITIME FENCE LTD (21C11-186378/001/PEI~003)","MARITIME FENCE LTD (21C11-186378/001/PEI~003)","21C11-186378/001/PEI","003","21C11-186378","","21C11-186378/001/PEI","4","","2019-04-26","","","2019-05-31","0.00","327297.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Traditional","Concurrentielle - Traditionnelle","Lowest Price","Prix le plus bas","","","*Canada-Chile Free Trade Agreement (CCFTA)
*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)","*Accord de libre-échange Canada-Chili (ALECC)
*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)","","","MARITIME FENCE LTD.","MARITIME FENCE LTD.","MARITIME FENCE LTD","MARITIME FENCE LTD","MARITIME FENCE LTD","MARITIME FENCE LTD","50 to 99 employees","50 à 99 employés","554 WEST RIVER ROAD<br>P.O. BOX 7365","554 WEST RIVER ROAD<br>P.O. BOX 7365","GRAND-FALLS","GRAND-FALLS","New Brunswick","New Brunswick","E3Z3E7","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Correctional Service of Canada","Service correctionnel du Canada","CORCAN NHQ-PWGSC","N/D","CORCAN NQH<br>340 LAURIER AVENUE WEST,OTTAWA,Ontario,K1A0P9,Canada","CORCAN NQH<br>340 LAURIER AVENUE WEST,OTTAWA,Ontario,K1A0P9,Canada","","","","","","","","","","","","","","","",""
"GROUPE MACADAM INC (EE520-173239/001/QCM~001)","GROUPE MACADAM INC (EE520-173239/001/QCM~001)","EE520-173239/001/QCM","001","EE520-173239","","EE520-173239/001/QCM","2","","2019-04-01","","","2017-07-21","2327.00","31242.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Traditional","Concurrentielle - Traditionnelle","Rotational Sourcing","Rotation des fournisseurs","","","*None","*Aucun","","","Groupe Macadam inc","Groupe Macadam inc","GROUPE MACADAM INC","GROUPE MACADAM INC","Groupe Macadam inc","Groupe Macadam inc","10 to 19 employees","10 à 19 employés","4550 boul. Ste-Anne","4550 boul. Ste-Anne","Québec","Québec","Quebec","Quebec","G1C2H9","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","CST 2 - PARKS","ESC 2 - PARCS","3, PASSAGE DU CHIEN D'OR,QUEBEC,Quebec,G1R3Z8,Canada","3, PASSAGE DU CHIEN D'OR,QUEBEC,Quebec,G1R3Z8,Canada","","","","","","","","","","","","","","","",""
"PREMIUM CONSTRUCTION (EJ078-191304/001/FG~001)","PREMIUM CONSTRUCTION (EJ078-191304/001/FG~001)","EJ078-191304/001/FG","001","EJ078-191304","","EJ078-191304/001/FG","3","","2020-01-24","","","2019-07-15","46907.00","970806.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","2449214 Ontario Inc","2449214 Ontario Inc","PREMIUM CONSTRUCTION","PREMIUM CONSTRUCTION","Premium Construction","Premium Construction","10 to 19 employees","10 à 19 employés","PO Box - 45057 Kanata South PO","PO Box - 45057 Kanata South PO","Kanata","Kanata","Ontario","Ontario","K2M2Y1","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","PROJECT MANAGEMENT SERVICE LIN","GESTION DE PROJET (SSGP)","112 Kent St., Suite 103,OTTAWA,Ontario,K1A0S5,Canada","112 Kent St., Suite 103,OTTAWA,Ontario,K1A0S5,Canada","","","","","","","","","","","","","","","",""
"COUGAR TECHNICAL SERVICES LTD (EP922-202773/001/PWU~000)","COUGAR TECHNICAL SERVICES LTD (EP922-202773/001/PWU~000)","EP922-202773/001/PWU","000","EP922-202773","","EP922-202773/001/PWU","3","","2020-03-21","","","2020-08-03","93366.00","102846.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Traditional","Concurrentielle - Traditionnelle","Lowest Price","Prix le plus bas","","","*None","*Aucun","","","Cougar Technical Services Ltd.","Cougar Technical Services Ltd.","COUGAR TECHNICAL SERVICES LTD","COUGAR TECHNICAL SERVICES LTD","Cougar Technical Services","Cougar Technical Services","10 to 19 employees","10 à 19 employés","911d 46 Avenue SE","911d 46 Avenue SE","Calgary","Calgary","Alberta","Alberta","T2G2A5","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","PROPERTY FACILITIES MNGMNT","GSTN IMMEUBLES & INSTALLATIONS","HARRY HAYS BUILDING<br>759- 220 4 AVE SE,CALGARY,Alberta,T2G4X3,Canada","HARRY HAYS BUILDING<br>759- 220 4 AVE SE,CALGARY,Alberta,T2G4X3,Canada","","","","","","","","","","","","","","","",""
"CON-PRO INDUSTRIES CANADA LTD (ET025-191514/001/PWZ~003)","CON-PRO INDUSTRIES CANADA LTD (ET025-191514/001/PWZ~003)","ET025-191514/001/PWZ","003","ET025-191514","","ET025-191514/001/PWZ","5","","2019-06-03","","","2019-01-02","-2500.00","266739.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Chile Free Trade Agreement (CCFTA)","*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Chili (ALECC)","","","Con-Pro Industries Canada Ltd.","Con-Pro Industries Canada Ltd.","CON-PRO INDUSTRIES CANADA LTD","CON-PRO INDUSTRIES CANADA LTD","Con-Pro Industries Canada Ltd.","Con-Pro Industries Canada Ltd.","20 to 49 employees","20 à 49 employés","765 Marion Street","765 Marion Street","Winnipeg","Winnipeg","Manitoba","Manitoba","R2J0K6","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","REAL PROPERTY SERVS","N/D","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","","","","","","","","","","","","","","","",""
"CON-PRO INDUSTRIES CANADA LTD (ET025-191514/001/PWZ~004)","CON-PRO INDUSTRIES CANADA LTD (ET025-191514/001/PWZ~004)","ET025-191514/001/PWZ","004","ET025-191514","","ET025-191514/001/PWZ","5","","2019-07-19","","","2019-01-02","-570.00","266739.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Chile Free Trade Agreement (CCFTA)","*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Chili (ALECC)","","","Con-Pro Industries Canada Ltd.","Con-Pro Industries Canada Ltd.","CON-PRO INDUSTRIES CANADA LTD","CON-PRO INDUSTRIES CANADA LTD","Con-Pro Industries Canada Ltd.","Con-Pro Industries Canada Ltd.","20 to 49 employees","20 à 49 employés","765 Marion Street","765 Marion Street","Winnipeg","Winnipeg","Manitoba","Manitoba","R2J0K6","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","REAL PROPERTY SERVS","N/D","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","","","","","","","","","","","","","","","",""
"SASKCON REPAIR SERVICES LTD (EV385-160500/001/PWU~001)","SASKCON REPAIR SERVICES LTD (EV385-160500/001/PWU~001)","EV385-160500/001/PWU","001","EV385-160500","","EV385-160500/001/PWU","4","","2019-10-28","","","2016-12-01","28350.00","234360.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Saskcon Repair Services Ltd","Saskcon Repair Services Ltd","SASKCON REPAIR SERVICES LTD","SASKCON REPAIR SERVICES LTD","Saskcon Repair Services Ltd","Saskcon Repair Services Ltd","20 to 49 employees","20 à 49 employés","3219 Wells Avenue","3219 Wells Avenue","Saskatoon","Saskatoon","Saskatchewan","Saskatchewan","S7K5W4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","REAL PROPERTY SERVICES","N/D","201-1800 11TH AVE,REGINA,Saskatchewan,S4P0H8,Canada","201-1800 11TH AVE,REGINA,Saskatchewan,S4P0H8,Canada","","","","","","","","","","","","","","","",""
"SASKCON REPAIR SERVICES LTD (EV385-160500/001/PWU~002)","SASKCON REPAIR SERVICES LTD (EV385-160500/001/PWU~002)","EV385-160500/001/PWU","002","EV385-160500","","EV385-160500/001/PWU","4","","2019-10-28","","","2016-12-01","-2520.00","234360.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Saskcon Repair Services Ltd","Saskcon Repair Services Ltd","SASKCON REPAIR SERVICES LTD","SASKCON REPAIR SERVICES LTD","Saskcon Repair Services Ltd","Saskcon Repair Services Ltd","20 to 49 employees","20 à 49 employés","3219 Wells Avenue","3219 Wells Avenue","Saskatoon","Saskatoon","Saskatchewan","Saskatchewan","S7K5W4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","REAL PROPERTY SERVICES","N/D","201-1800 11TH AVE,REGINA,Saskatchewan,S4P0H8,Canada","201-1800 11TH AVE,REGINA,Saskatchewan,S4P0H8,Canada","","","","","","","","","","","","","","","",""
"SASKCON REPAIR SERVICES LTD (EV385-160500/001/PWU~003)","SASKCON REPAIR SERVICES LTD (EV385-160500/001/PWU~003)","EV385-160500/001/PWU","003","EV385-160500","","EV385-160500/001/PWU","4","","2019-10-28","","","2016-12-01","4410.00","234360.00","CAD","","","*5112B","*Demolition Work","*Travaux de démolition","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Saskcon Repair Services Ltd","Saskcon Repair Services Ltd","SASKCON REPAIR SERVICES LTD","SASKCON REPAIR SERVICES LTD","Saskcon Repair Services Ltd","Saskcon Repair Services Ltd","20 to 49 employees","20 à 49 employés","3219 Wells Avenue","3219 Wells Avenue","Saskatoon","Saskatoon","Saskatchewan","Saskatchewan","S7K5W4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","REAL PROPERTY SERVICES","N/D","201-1800 11TH AVE,REGINA,Saskatchewan,S4P0H8,Canada","201-1800 11TH AVE,REGINA,Saskatchewan,S4P0H8,Canada","","","","","","","","","","","","","","","",""
