contract-number,amendment_number,award_date,expiry-date,contract-value,gsin,gsin-description_en,gsin-description_fr,competitive-tender_en,competitive-tender_fr,limited-tender-reason,limited-tender-reason-description_en,limited-tender-reason-description_fr,solicitation-procedure,solicitation-procedure-description_en,solicitation-procedure-description_fr,trade-agreement,trade-agreement-description_en,trade-agreement-description_fr,supplier-standardized-name,supplier-operating-name,supplier-legal-name,supplier-address-city,supplier-address-prov-state,supplier-address-postal-code,supplier-address-country,organization-employee-count_en,organization-employee-count_fr,total-contract-value,number-records,end-user-entity_en,end-user-entity_fr,contracting-entity-office-name_en,contracting-entity-office-name_fr,contracting-address-street-1,contracting-address-street-2,contracting-address-city,contracting-address-prov-state,contracting-address-postal-code,contracting-address-country,procurement-entity-name_en,procurement-entity-name_fr,country-percentage,country-description_en,country-description_fr,date-file-published
01044-080031/001/EEM,000,2009-04-15,2009-04-29,1721.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",00,NONE,AUCUNE,"SPSS INC","SPSS INC","SPSS INC",Chicago,Illinois,60606,"United States","5 to 9 employees","5 à 9 employés",1721.00,1,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-080026/001/EE,000,2009-12-18,2009-12-31,169.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",00,NONE,AUCUNE,"ADOBE SYSTEMS CANADA INC","Adobe Systems Canada Incorporated","Adobe Systems Canada Incorporated",Ottawa,Ontario,K1S1N4,Canada,"5000 employees and over","5000 employés et plus",169.00,1,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-080012/001/EEM,000,2009-04-15,2009-04-29,9547.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",00,NONE,AUCUNE,"SPSS INC","SPSS INC","SPSS INC",Chicago,Illinois,60606,"United States","5 to 9 employees","5 à 9 employés",9547.00,1,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-090423/001/EJ,001,2009-08-31,2012-07-18,90839.00,N7025,"ADP Input-Output and Storage Devices","Dispositifs TAD d'entrée-sortie et de mémoire",Yes,Oui,,N/A,N/D,OB,"Open Bidding","Invitation Ouverte",Y,"CETA / WTO-AGP / NAFTA / CFTA / FTAs with Peru / Colombia / Panama / Korea","AECG / OMC-AMP / ALÉNA / ALEC / ALEs avec Pérou / Colombie / Panama / Corée","OCR CANADA LTD","OCR CANADA LTD.","OCR CANADA LTD.",Markham,Ontario,L3R9X4,Canada,"50 to 99 employees","50 à 99 employés",247069.00,4,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-090423/001/EJ,000,2009-06-18,2012-07-18,125246.00,N7025,"ADP Input-Output and Storage Devices","Dispositifs TAD d'entrée-sortie et de mémoire",Yes,Oui,,N/A,N/D,OB,"Open Bidding","Invitation Ouverte",Y,"CETA / WTO-AGP / NAFTA / CFTA / FTAs with Peru / Colombia / Panama / Korea","AECG / OMC-AMP / ALÉNA / ALEC / ALEs avec Pérou / Colombie / Panama / Corée","OCR CANADA LTD","OCR CANADA LTD.","OCR CANADA LTD.",Markham,Ontario,L3R9X4,Canada,"50 to 99 employees","50 à 99 employés",247069.00,4,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-090078/001/EE,000,2010-03-16,2011-03-15,17910.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",I,"Canadian Free Trade Agreement (CFTA)","Accord de libre-échange canadien (ALEC)","MICROSOFT LICENSING, GP","MICROSOFT LICENSING, GP","MICROSOFT LICENSING, GP",Reno,Nevada,89511,"United States","100 to 199 employees","100 à 199 employés",17910.00,1,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-090070/001/EE,001,2010-03-09,2011-03-31,0.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",00,NONE,AUCUNE,"SOFTCHOICE CORPORATION","Softchoice Corporation","Softchoice Corporation",Ottawa,Ontario,K1P5G3,Canada,"500 to 999 employees","500  à  999 employés",3497.00,2,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-090070/001/EE,000,2010-03-09,2010-03-31,3497.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",00,NONE,AUCUNE,"SOFTCHOICE CORPORATION","Softchoice Corporation","Softchoice Corporation",Ottawa,Ontario,K1P5G3,Canada,"500 to 999 employees","500  à  999 employés",3497.00,2,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-090065/001/EE,000,2010-02-24,2011-02-24,160.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",00,NONE,AUCUNE,"SOFTCHOICE CORPORATION","Softchoice Corporation","Softchoice Corporation",Ottawa,Ontario,K1P5G3,Canada,"500 to 999 employees","500  à  999 employés",160.00,1,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
01044-090064/001/EE,000,2010-02-25,2011-02-25,10438.00,N7030,"ADP Software","Logiciel TAI",No,Non,71,"Exclusive Rights","Droits exclusifs",TN,"Traditional Non-Competitive","Méthode non concurrentielle traditionnelle",00,NONE,AUCUNE,"SOFTCHOICE CORPORATION","Softchoice Corporation","Softchoice Corporation",Ottawa,Ontario,K1P5G3,Canada,"500 to 999 employees","500  à  999 employés",10438.00,1,"Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CSB ASSET MGNT&CAPTL PLANNING","GESTION BIENS&ACTIFS","PROCUREMENT DIV.5TH FL.TWR 3","1285 BASELINE RD",OTTAWA,Ontario,K1A0C5,Canada,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",,,,"2023-05-24 22:50:50"
