Year,Site code,Site name,Nation,Number of cases,"Surgery on day of, or day after, admission (n)","Surgery on day of, or day after, admission (d)","Surgery on day of, or day after, admission (%)",Surgery supervised by consultant surgeon and anaesthetist (n),Surgery supervised by consultant surgeon and anaesthetist (d),Surgery supervised by consultant surgeon and anaesthetist (%),General anaesthetic (n),General anaesthetic (d),General anaesthetic (%),General anaesthetic and nerve block (of all GA)(n),General anaesthetic and nerve block (of all GA) (d),General anaesthetic and nerve block (of all GA) (%),Spinal anaesthetic (n),Spinal anaesthetic (d),Spinal anaesthetic (%),Spinal anaesthetic and nerve block (of all SA) (n),Spinal anaesthetic and nerve block (of all SA) (d),Spinal anaesthetic and nerve block (of all SA) (%),Proportion of arthroplasties which are cemented (n),Proportion of arthroplasties which are cemented (d),Proportion of arthroplasties which are cemented (%),Eligible displaced intracapsular fractures treated with THR (n),Eligible displaced intracapsular fractures treated with THR (d),Eligible displaced intracapsular fractures treated with THR (%),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (n),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (d),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (%),Subtrochanteric fractures treated with an IM nail (n),Subtrochanteric fractures treated with an IM nail (d),Subtrochanteric fractures treated with an IM nail (%),Admitted to orthopaedic ward within 4 hours (n),Admitted to orthopaedic ward within 4 hours (d),Admitted to orthopaedic ward within 4 hours (%),Mental test score recorded on admission (n),Mental test score recorded on admission (d),Mental test score recorded on admission (%),Perioperative medical assessment (n),Perioperative medical assessment (d),Perioperative medical assessment (%),Physiotherapy assessment by the day after surgery (n),Physiotherapy assessment by the day after surgery (d),Physiotherapy assessment by the day after surgery (%),Mobilised out of bed by the day after surgery (n),Mobilised out of bed by the day after surgery (d),Mobilised out of bed by the day after surgery (%),Nutritional risk assessment (n),Nutritional risk assessment (d),Nutritional risk assessment (%),Delirium assessment (n),Delirium assessment (d),Delirium assessment (%),Received falls assessment (n),Received falls assessment (d),Received falls assessment (%),Received bone health assessment (n),Received bone health assessment (d),Received bone health assessment (%),Met best practice criteria (n),Met best practice criteria (d),Met best practice criteria (%),Case ascertainment (n),Case ascertainment (n),Case ascertainment (%),Acute length of stay (days),Overall hospital length of stay (days),Documented final discharge destination (n),Documented final discharge destination (d),Documented final discharge destination (%),Discharge to original residence within 120 days (n),Discharge to original residence within 120 days (d),Discharge to original residence within 120 days (%),Hip fractures which were sustained as an inpatient (n),Hip fractures which were sustained as an inpatient (d),Hip fractures which were sustained as an inpatient (%),Documented not to have developed a pressure ulcer (n),Documented not to have developed a pressure ulcer (d),Documented not to have developed a pressure ulcer (%),Documented not to have had a reoperation within 120 days (n),Documented not to have had a reoperation within 120 days (d),Documented not to have had a reoperation within 120 days (%),120 day follow up (n),120 day follow up (d),120 day follow up (%),Crude 30 day mortality rate,Crude 30 day mortality rate,Crude 30 day mortality rate,Adjusted 30 day mortality rate
2016,ADD,Addenbrooke's Hospital,[England],429,349,428,0.815420561,178,428,0.415887851,362,428,0.845794393,296,362,0.817679558,64,428,0.14953271,39,64,0.609375,215,219,0.98173516,20,109,0.183486239,116,131,0.885496183,25,31,0.806451613,127,418,0.303827751,427,429,0.995337995,428,429,0.997668998,425,428,0.992990654,428,428,1,427,429,0.995337995,266,429,0.62004662,428,429,0.997668998,427,429,0.995337995,347,428,0.810747664,432,292,1.479452055,17.1,18.1,339,429,0.79020979,261,429,0.608391608,21,429,0.048951049,256,429,0.596736597,0,429,0,16,392,0.040816327,22,422,0.0521327,0.0524577
2016,AEI,Royal Albert Edward Infirmary,[England],323,242,305,0.793442623,285,305,0.93442623,196,305,0.642622951,98,196,0.5,102,305,0.33442623,32,102,0.31372549,134,134,1,28,47,0.595744681,122,131,0.93129771,15,20,0.75,168,307,0.54723127,323,323,1,301,323,0.931888545,292,305,0.957377049,221,305,0.724590164,293,323,0.907120743,290,323,0.897832817,295,323,0.913312694,319,323,0.987616099,213,305,0.698360656,326,333,0.978978979,15,15.1,304,323,0.941176471,219,323,0.678018576,10,323,0.030959752,320,323,0.990712074,231,323,0.715170279,265,282,0.939716312,39,323,0.120743,0.1030003
2016,AIR,Airedale General Hospital,[England],299,226,296,0.763513514,141,296,0.476351351,144,296,0.486486487,79,144,0.548611111,146,296,0.493243243,75,146,0.51369863,152,153,0.993464052,29,61,0.475409836,77,96,0.802083333,24,28,0.857142857,74,290,0.255172414,286,299,0.956521739,249,299,0.83277592,258,296,0.871621622,277,296,0.935810811,291,299,0.973244147,0,299,0,283,299,0.946488294,284,299,0.949832776,173,296,0.58445946,299,296,1.010135135,14.9,17.2,221,299,0.739130435,176,299,0.588628763,5,299,0.016722408,291,299,0.973244147,0,299,0,*,*,0.003636364,36,299,0.1204013,0.1253295
2016,BAR,Barnsley District General Hospital,[England],277,202,274,0.737226277,154,274,0.562043796,123,274,0.44890511,57,123,0.463414634,145,274,0.52919708,55,145,0.379310345,119,130,0.915384615,16,42,0.380952381,80,87,0.91954023,26,29,0.896551724,122,271,0.450184502,277,277,1,255,277,0.920577617,264,274,0.96350365,257,274,0.937956204,265,277,0.9566787,266,277,0.960288809,272,277,0.981949459,273,277,0.985559567,188,274,0.686131387,279,308,0.905844156,13.8,13.9,194,277,0.700361011,124,277,0.44765343,9,277,0.032490975,269,277,0.971119134,181,277,0.653429603,15,258,0.058139535,17,277,0.0613718,0.0700103
2016,BAS,Basildon Hospital,[England],399,200,394,0.507614213,369,394,0.936548223,103,394,0.26142132,36,103,0.349514563,283,394,0.718274112,258,283,0.911660777,163,185,0.881081081,27,72,0.375,137,141,0.971631206,23,27,0.851851852,22,391,0.056265985,395,399,0.989974937,383,399,0.959899749,380,394,0.964467005,360,394,0.913705584,391,399,0.979949875,377,399,0.944862155,392,399,0.98245614,384,399,0.962406015,189,394,0.479695432,399,415,0.961445783,17.7,18,344,399,0.862155389,247,399,0.619047619,11,399,0.027568922,386,399,0.967418546,328,399,0.822055138,262,350,0.748571429,45,398,0.1130653,0.0947604
2016,BAT,Royal United Hospital Bath,[England],524,369,511,0.722113503,103,511,0.201565558,184,511,0.360078278,128,184,0.695652174,321,511,0.628180039,232,321,0.722741433,276,279,0.989247312,32,125,0.256,172,184,0.934782609,22,24,0.916666667,197,514,0.383268483,522,524,0.996183206,519,524,0.990458015,492,511,0.962818004,378,511,0.739726027,513,524,0.979007634,502,524,0.958015267,515,524,0.982824428,516,524,0.984732824,372,511,0.727984344,525,611,0.859247136,16.2,16.2,486,524,0.927480916,374,524,0.713740458,14,524,0.026717557,512,524,0.977099237,375,524,0.715648855,437,485,0.901030928,42,524,0.0801527,0.0700412
2016,BED,Bedford Hospital,[England],50,32,44,0.727272727,20,44,0.454545455,33,44,0.75,27,36,0.75,10,44,0.227272727,*,*,0.1,28,29,0.965517241,*,*,0.142857143,*,*,0.428571429,*,*,1,24,49,0.489795918,35,50,0.7,31,50,0.62,41,44,0.931818182,31,44,0.704545455,40,50,0.8,*,*,0.02,28,50,0.56,34,50,0.68,8,44,0.181818182,46,157,0.292993631,16.6,16.9,39,50,0.78,32,50,0.64,*,*,0.02,46,50,0.92,0,50,0,0,45,0,*,*,0.0227273,0.0276226
2016,BFH,Broomfield Chelmsford,[England],455,321,448,0.716517857,160,448,0.357142857,329,448,0.734375,126,329,0.382978723,35,448,0.078125,0,35,0,215,231,0.930735931,13,102,0.12745098,146,180,0.811111111,12,14,0.857142857,187,445,0.420224719,414,455,0.90989011,434,455,0.953846154,441,448,0.984375,439,448,0.979910714,442,455,0.971428571,*,*,0.006593407,455,455,1,443,455,0.973626374,252,448,0.5625,412,488,0.844262295,8.8,16.5,446,455,0.98021978,340,455,0.747252747,13,455,0.028571429,447,455,0.982417582,0,455,0,0,350,0,32,411,0.0778589,0.0905037
2016,BLA,Royal Blackburn Hospital,[England],474,332,458,0.72489083,446,458,0.973799127,40,458,0.087336245,25,40,0.625,412,458,0.899563319,258,412,0.626213592,196,204,0.960784314,20,96,0.208333333,133,147,0.904761905,19,27,0.703703704,252,469,0.537313433,473,474,0.997890295,450,474,0.949367089,438,458,0.956331878,389,458,0.849344978,318,474,0.670886076,458,474,0.966244726,470,474,0.991561181,468,474,0.987341772,331,458,0.722707424,476,507,0.938856016,14.2,23.8,446,474,0.94092827,333,474,0.702531646,14,474,0.029535865,465,474,0.981012658,374,474,0.789029536,396,431,0.918793504,34,474,0.07173,0.0628653
2016,BNT,Barnet General Hospital,[England],391,302,386,0.78238342,58,386,0.150259067,328,386,0.849740933,309,328,0.942073171,54,386,0.139896373,17,54,0.314814815,15,192,0.078125,18,69,0.260869565,113,135,0.837037037,29,31,0.935483871,59,263,0.224334601,390,391,0.997442455,378,391,0.966751918,369,386,0.955958549,240,386,0.621761658,387,391,0.989769821,373,391,0.953964194,387,391,0.989769821,389,391,0.994884911,307,386,0.795336788,391,396,0.987373737,15.2,27.6,369,391,0.943734015,311,391,0.795396419,8,391,0.020460358,383,391,0.979539642,214,391,0.547314578,239,360,0.663888889,25,391,0.0639386,0.0749213
