Hospital NHFD code,Hospital name,"When patients present to your ED with a new hip fracture, what type of ward would they normally be placed on until they go to theatre for their hip operation?",Other,"If patients with hip fracture have been started on oral osteoporosis treatment during their admission, how do you support them, so that you know they are able to continue this after discharge?",Are you aware of the requirement to record Peri-Prosthetic Femoral Fracture (PPFF) in the mandatory national audit (NHFD)? ,Do you routinely input details of patients sustaining PPFF into the NHFD?,"If no, why not?","In your hospital, will a senior (ST3+) orthogeriatrician routinely try to review all patients admitted with a PPFF?",How many consultant orthopaedic surgeons or SAS grade surgeons are there within in your hospital who operate on trauma patients when required?,Around a THR: How many consultant orthopaedic surgeons or SAS grade surgeons within your hospital would feel comfortable performing/supervising both a revision and fixation of a PPFF? ,Around a TKR: How many consultant orthopaedic surgeons or SAS grade surgeons within your hospital would feel comfortable performing/supervising both a revision and fixation of a PPFF? ,Around a THR: Do you have a formal process whereby a specialist hip and/or knee surgeon is available to operate on/supervise a PPFF at least every other weekday (Monday to Friday) such as a PPFF rota? ,Around a TKR: Do you have a formal process whereby a specialist hip and/or knee surgeon is available to operate on/supervise a PPFF at least every other weekday (Monday to Friday) such as a PPFF rota? ,"Around a THR: Do you have at least one nominated, dedicated theatre list for urgent primary, urgent revision or periprosthetic fractures each week? ","Around a TKR: Do you have at least one nominated, dedicated theatre list for urgent primary, urgent revision or periprosthetic fractures each week? ",PPFF around a THR: Do you transfer patients from your department to another T&O department at another site/hospital/Trust for definitive surgery? ,PPFF around a THR: How frequently are patients transferred?,PPFF around a THR: Why are patients transferred?,PPFF around a THR: Are patients transferred directly from your emergency department?,PPFF around a THR: Which hospital do you transfer these patients to?,PPFF around a TKR: Do you transfer patients from your department to another T&O department at another site/hospital/Trust for definitive surgery?,PPFF around a TKR: How frequently are patients transferred?,PPFF around a TKR: Why are patients transferred?,PPFF around a TKR: Are patients transferred directly from your emergency department?,PPFF around a TKR: Which hospital do you transfer these patients to?,Patients with Hip Fracture (not PPFF): Do you transfer patients from your department to another T&O department at another site/hospital/Trust for definitive surgery?,Patients with Hip Fracture (not PPFF): How frequently are patients transferred?,Patients with Hip Fracture (not PPFF): Why are patients transferred?,Patients with Hip Fracture (not PPFF): Are patients transferred directly from your emergency department?,Patients with Hip Fracture (not PPFF): Which hospital do you transfer these patients to?,Patients with a PPFF around a THR: Do you receive transfers from a T&O department at another site/hospital/Trust for definitive surgery?,Patients with a PPFF around a THR: Does this follow a formalised process/policy or on an ad hoc basis?,Patients with a PPFF around a THR: Where do you receive patients from?,Patients with a PPFF around a TKR: Do you receive transfers from a T&O department at another site/hospital/Trust for definitive surgery?,Patients with a PPFF around a TKR: Does this follow a formalised process/policy or on an ad hoc basis?,Patients with a PPFF around a TKR: Where do you receive patients from?,Patients with Hip Fracture (not PPFF): Do you receive transfers from a T&O department at another site/hospital/Trust for definitive surgery?,Patients with Hip Fracture (not PPFF): Does this follow a formalised process/policy or on an ad hoc basis?,Patients with Hip Fracture (not PPFF): Where do you receive them from?,For THR: Do you have a local revision MDT (within hospital) for revision arthroplasty (all revisions and not just PPFF)?,For TKR: Do you have a local revision MDT (within hospital) for revision arthroplasty (all revisions and not just PPFF)?,For THR: Do you participate in a regional revision MDT (outside your hospital) for revision arthroplasty (all revisions and not just PPFF)?,For TKR: Do you participate in a regional revision MDT (outside your hospital) for revision arthroplasty (all revisions and not just PPFF),For hips: Do you routinely discuss all PPFF with other sub-specialty surgeons in your hospital either in your local MDT or by other means (formally or informally)?,For knees: Do you routinely discuss all PPFF with other sub-specialty surgeons in your hospital either in your local MDT or by other means (formally or informally)?,For hips: Do you routinely discuss all PPFF in your regional revision MDT (if you have one)?,For knees: Do you routinely discuss all PPFF in your regional revision MDT (if you have one)?,"Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Surgeon availability","Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Theatre availability","Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Kit availability","Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Patient optimisation",Case scenario: How would you manage this patient?,"Case scenario: If you selected revision surgery, (or a combination) what type of implant would you use? (Please select one)",Case scenario: Do you have the system selected above “on the shelf” or would you require loan kit?,"Case scenario: If you selected open reduction and internal fixation (or a combination), what type of plate would you use (brand and name)? ",Case scenario: Do you have the system selected above “on the shelf” or would you require loan kit?,Case scenario: Would you permit the patient to weight bear the day after surgery? (Please select one),Case scenario: Would the operation be performed in your own hospital?,Case scenario: Who would this operation be performed by? (Select one),Case scenario: Would you routinely aspirate prior to revision or fixation?
ADD,Addenbrooke's Hospital,A more general ward designed to accept all types of acute surgical patients,,They are routinely followed-up through an arrangement with our local FLS,Yes,Yes,,Yes,21,6,7,No,No,No,No,No,,,,,No,,,,,No,,,,,Yes,Ad hoc basis,N/A,Yes,Ad hoc basis,N/A,No,,,Yes,Yes,No,No,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Not routinely discussed,Not routinely discussed,1,2,3,4,Open reduction and internal fixation with existing stem,,,NCB Zimmer biomet,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
AEI,Royal Albert Edward Infirmary,Another type of ward,Assesment bed until covid swab back negative,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,12,6,6,Yes,Yes,Yes,Yes,Yes,Occasionally,Transfer to our elective site Wrightington - appropriately trained staff/kit,No,Wrightington Hospital (WRI),Yes,Occasionally,Transferred to our elective site Wrightington,No,Wrightington Hospital (WRI),Yes,Occasionally,Availability of hip surgeon for patients requiring THR,No,Wrightington Hospital (WRI),Yes,Formalised process/policy,"Royal Blackburn Hospital (BLA),Southport and Formby District General (SOU),Chorley Hospital (CHO),North Manchester General Hospital (NMG),Tameside General Hospital (TGA)",Yes,Formalised process/policy,"Royal Blackburn Hospital (BLA),Southport and Formby District General (SOU),Chorley Hospital (CHO),North Manchester General Hospital (NMG),Tameside General Hospital (TGA)",No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),4,1,3,2,Open reduction and internal fixation with existing stem,,,Depuy Synthes Locking plate,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
AIR,Airedale General Hospital,Orthopaedic/trauma ward,,They are routinely followed-up through an arrangement with our local FLS,Yes,Yes,,Yes,15,3,3,No,No,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases post-operatively (XR review),Cases post-operatively (XR review),3,1,2,4,Revision surgery,"An uncemented, tapered fluted modular cementless prosthesis",On the shelf,,,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
ALT,Altnagelvin Hospital,Shared-care orthopaedic/orthogeriatric ward,,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,12,5,5,No,No,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,No,No,No,No,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Not routinely discussed,Not routinely discussed,1,NA,3,2,Open reduction and internal fixation with existing stem,,,Zimmer NCB,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
BAR,Barnsley District General Hospital,Orthopaedic/trauma ward,,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,17,4,4,Yes,Yes,Yes,Yes,Yes,Occasionally,Specific medical reasons e.g. the patient has a pacemaker,No,Northern General Hospital (NGS),Yes,Occasionally,Frequency of fracture,No,Northern General Hospital (NGS),Yes,Occasionally,Number of patients presenting,No,Northern General Hospital (NGS),No,,,No,,,No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Not routinely discussed,Not routinely discussed,3,4,2,1,A combination of both revision and fixation,Long stem cemented prosthesis,On the shelf,AO Synthes,On the shelf,Partial weight bearing,Yes on the same site,Hip specialist with revision practice,No
BAS,Basildon Hospital,Orthopaedic/trauma ward,,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,11,4,4,No,No,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Not routinely discussed,Not routinely discussed,2,1,3,4,A combination of both revision and fixation,Long stem cemented prosthesis,On the shelf,Stryker lateral femoral plate,On the shelf,Partial weight bearing,Yes on the same site,Hip specialist with revision practice,No
BAT,Royal United Hospital Bath,Orthopaedic/trauma ward,,Not done,No,No,Not part of BPT,No,20,4,7,No,No,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,Yes,No,No,Yes,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Not routinely discussed,Not routinely discussed,1,2,4,3,Open reduction and internal fixation with existing stem,,,Zimmer Biomet NCB plate,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
BED,Bedford Hospital,Shared-care orthopaedic/orthogeriatric ward,,They are routinely followed-up through an arrangement with our local FLS,Yes,Yes,,No,10,2,2,No,No,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,Yes,Yes,No,No,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),2,1,3,4,Open reduction and internal fixation with existing stem,,,Hook locking plate - SYNTHES,On the shelf,Yes fully weight bearing,Yes on the same site,General on call T&O surgeon,No
BFH,Broomfield Chelmsford,Orthopaedic/trauma ward,,The GP is routinely asked to provide such support,Yes,Yes,,Yes,21,4,5,No,No,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,Yes,Yes,No,No,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Not routinely discussed,Not routinely discussed,1,2,4,3,Open reduction and internal fixation with existing stem,,,NCB periprosthetic plate,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
BLA,Royal Blackburn Hospital,Shared-care orthopaedic/orthogeriatric ward,,The GP is routinely asked to provide such support,Yes,Yes,,Yes,16,4,4,Yes,Yes,Yes,Yes,Yes,Occasionally,Complex PPFF requing complex revision are transferred to tertiary centre,No,Wrightington Hospital (WRI),Yes,Occasionally,Complex PPFF requing complex revision are transferred to tertiary centre,No,Wrightington Hospital (WRI),No,,,,,No,,,No,,,No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),4,1,2,3,A combination of both revision and fixation,"A long stemmed, distally locked prosthesis",Loan kit from company,AO Trauma,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
