Year,Site code,Site name,Nation,Number of cases,"Surgery on day of, or day after, admission (n)","Surgery on day of, or day after, admission (d)","Surgery on day of, or day after, admission (%)",Surgery supervised by consultant surgeon and anaesthetist (n),Surgery supervised by consultant surgeon and anaesthetist (d),Surgery supervised by consultant surgeon and anaesthetist (%),General anaesthetic (n),General anaesthetic (d),General anaesthetic (%),General anaesthetic and nerve block (of all GA)(n),General anaesthetic and nerve block (of all GA) (d),General anaesthetic and nerve block (of all GA) (%),Spinal anaesthetic (n),Spinal anaesthetic (d),Spinal anaesthetic (%),Spinal anaesthetic and nerve block (of all SA) (n),Spinal anaesthetic and nerve block (of all SA) (d),Spinal anaesthetic and nerve block (of all SA) (%),Proportion of arthroplasties which are cemented (n),Proportion of arthroplasties which are cemented (d),Proportion of arthroplasties which are cemented (%),Eligible displaced intracapsular fractures treated with THR (n),Eligible displaced intracapsular fractures treated with THR (d),Eligible displaced intracapsular fractures treated with THR (%),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (n),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (d),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (%),Subtrochanteric fractures treated with an IM nail (n),Subtrochanteric fractures treated with an IM nail (d),Subtrochanteric fractures treated with an IM nail (%),NICE compliant surgery (n),NICE compliant surgery (d),NICE compliant surgery (%),Admitted to orthopaedic ward within 4 hours (n),Admitted to orthopaedic ward within 4 hours (d),Admitted to orthopaedic ward within 4 hours (%),Mental test score recorded on admission (n),Mental test score recorded on admission (d),Mental test score recorded on admission (%),Perioperative medical assessment (n),Perioperative medical assessment (d),Perioperative medical assessment (%),Physiotherapy assessment by the day after surgery (n),Physiotherapy assessment by the day after surgery (d),Physiotherapy assessment by the day after surgery (%),Mobilised out of bed by the day after surgery (n),Mobilised out of bed by the day after surgery (d),Mobilised out of bed by the day after surgery (%),Nutritional risk assessment (n),Nutritional risk assessment (d),Nutritional risk assessment (%),Delirium assessment (n),Delirium assessment (d),Delirium assessment (%),Not delirious when tested post-op. (n),Not delirious when tested post-op. (d),Not delirious when tested post-op. (%),Received falls assessment (n),Received falls assessment (d),Received falls assessment (%),Received bone health assessment (n),Received bone health assessment (d),Received bone health assessment (%),Met best practice criteria (n),Met best practice criteria (d),Met best practice criteria (%),Case ascertainment: total cases compared to last year (n),Case ascertainment: total cases compared to last year (d),Case ascertainment: total cases compared to last year (%),Acute length of stay (days),Overall hospital length of stay (days),Documented final discharge destination (n),Documented final discharge destination (d),Documented final discharge destination (%),Discharge to original residence within 120 days (n),Discharge to original residence within 120 days (d),Discharge to original residence within 120 days (%),Hip fractures which were sustained as an inpatient (n),Hip fractures which were sustained as an inpatient (d),Hip fractures which were sustained as an inpatient (%),Documented not to have developed a pressure ulcer (n),Documented not to have developed a pressure ulcer (d),Documented not to have developed a pressure ulcer (%),Documented not to have had a reoperation within 120 days (n),Documented not to have had a reoperation within 120 days (d),Documented not to have had a reoperation within 120 days (%),120 day follow up (n),120 day follow up (d),120 day follow up (%),Crude 30 day mortality rate (n),Crude 30 day mortality rate (d),Crude 30 day mortality rate (%),Adjusted 30 day mortality rate (%)
2023,ADD,Addenbrooke's Hospital,England,506,228,484,47,397,484,82,392,484,81,354,392,90,92,484,19,61,92,66,266,266,100,21,143,15,128,167,77,14,23,61,309,482,64,79,498,16,504,506,100,495,506,98,466,484,96,452,484,93,506,506,100,477,484,99,429,484,89,506,506,100,502,506,99,215,484,44,506,517,98,15,15,486,506,96,399,506,79,*,510,*,506,506,100,0,506,0,358,470,76,38,506,8,8
2023,AEI,Royal Albert Edward Infirmary,England,368,226,357,63,297,357,83,121,357,34,21,121,17,243,357,68,58,243,24,193,195,99,11,79,14,80,112,71,16,18,89,252,355,71,*,360,*,364,368,99,355,368,97,355,357,99,287,357,80,363,368,99,355,357,99,257,357,72,364,368,99,363,368,99,213,357,60,368,383,96,17,22,355,368,97,264,368,72,11,368,3,359,368,98,197,368,54,272,331,82,27,368,7,6
2023,AIR,Airedale General Hospital,England,284,233,280,83,163,280,58,131,280,47,116,131,89,159,280,57,121,159,76,152,152,100,9,56,16,75,82,92,15,15,100,223,275,81,11,270,4,281,284,99,172,284,61,277,280,99,203,280,73,284,284,100,278,280,99,260,280,93,217,284,76,274,284,97,139,280,50,284,308,92,16,18,265,284,93,229,284,81,14,284,5,283,284,100,38,284,13,203,272,75,16,284,6,5
2023,BAR,Barnsley District General Hospital,England,354,254,346,73,189,346,55,247,346,71,114,247,46,109,346,32,53,109,49,169,191,89,16,46,35,87,118,74,11,13,85,259,345,75,151,340,44,339,354,96,334,354,94,332,346,96,227,346,66,333,354,94,342,346,99,257,346,74,345,354,98,345,354,98,219,346,63,354,312,114,12,17,340,354,96,286,354,81,11,354,3,301,354,85,287,354,81,172,324,53,32,354,9,9
2023,BAS,Basildon Hospital,England,397,185,395,47,288,395,73,130,395,33,67,130,52,276,395,70,144,276,52,136,177,77,37,77,48,70,92,76,20,21,95,279,389,72,27,376,7,386,397,97,375,397,95,387,395,98,358,395,91,397,397,100,392,395,99,287,395,73,389,397,98,390,397,98,167,395,42,397,395,101,18,18,381,397,96,315,397,79,21,397,5,382,397,96,276,397,70,170,372,46,31,397,8,5
2023,BAT,Royal United Hospital Bath,England,578,295,560,53,199,560,36,207,560,37,141,207,68,363,560,65,252,363,69,319,321,99,24,132,18,142,184,77,13,14,93,393,551,71,173,561,31,560,578,97,566,578,98,551,560,98,488,560,87,558,578,97,547,560,98,393,560,70,573,578,99,561,578,97,262,560,47,578,574,101,16,16,542,578,94,426,578,74,17,578,3,561,578,97,403,578,70,370,547,68,30,578,5,4
2023,BED,Bedford Hospital,England,311,128,304,42,75,304,25,223,304,73,163,223,73,82,304,27,*,80,*,147,154,96,17,68,25,59,101,58,19,20,95,196,299,66,*,300,*,289,311,93,258,311,83,294,304,97,185,304,61,301,311,97,262,304,86,205,304,67,305,311,98,301,311,97,93,304,31,311,329,95,22,25,310,311,100,244,311,79,*,310,*,293,311,94,0,311,0,54,284,19,24,311,8,9
2023,BFH,Broomfield Chelmsford,England,540,295,537,55,210,537,39,455,537,85,109,455,24,103,537,19,11,103,11,256,266,96,35,129,27,108,191,57,16,16,100,299,491,61,22,515,4,431,540,80,518,540,96,531,537,99,527,537,98,502,540,93,398,537,74,283,537,53,536,540,99,526,540,97,196,537,37,540,509,106,14,15,508,540,94,432,540,80,8,540,2,401,540,74,6,540,1,0,513,0,30,540,6,4
2023,BLA,Royal Blackburn Hospital,England,532,159,516,31,459,516,89,76,516,15,31,76,41,468,516,91,188,468,40,256,271,95,49,98,50,145,165,88,38,45,84,412,511,81,10,506,2,500,532,94,468,532,88,515,516,100,477,516,92,532,532,100,514,516,100,317,516,61,528,532,99,529,532,99,151,516,29,532,496,107,13,23,523,532,98,462,532,87,15,532,3,527,532,99,0,532,0,338,506,67,33,532,6,4
2023,BNT,Barnet General Hospital,England,339,228,339,67,243,339,72,219,339,65,16,219,7,130,339,38,0,130,0,154,154,100,27,78,35,67,84,80,27,27,100,268,337,80,7,330,2,334,339,99,299,339,88,335,339,99,268,339,79,329,339,97,326,339,96,229,339,68,339,339,100,336,339,99,186,339,55,339,352,96,18,23,294,339,87,232,339,68,*,340,*,339,339,100,*,340,*,102,319,32,19,339,6,6
